Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598800,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598800,1,OK,49.7066379,9.7189027,48.9955125,-46.3027046,40.955,13.708,-218.568,0.0319076,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598800,1,OK,92.2029003,2.2302358,-92.2045711,-4.4030002,54.598,-33.575,-169.521,0.0479326,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598808,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598808,1,OK,49.6618542,9.6521775,48.9595046,-46.4322517,41.077,13.644,-218.302,0.0225403,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598808,1,OK,92.2033038,2.2308821,-92.2049758,-4.4038150,54.599,-33.573,-169.523,0.0481414,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598816,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598816,1,OK,49.5809382,9.5480927,48.8919207,-46.6294215,41.145,13.521,-217.883,0.0149301,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598816,1,OK,92.2051243,2.2324298,-92.2068000,-4.4074487,54.594,-33.577,-169.529,0.0481191,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598824,1,OK,47.8871087,8.5819695,47.2978741,-23.9226119,39.060,8.925,-222.736,0.0503385,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598824,1,OK,49.5108934,9.4962099,48.8277622,-46.5648240,41.284,13.433,-217.577,0.0202787,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598824,1,OK,92.2059410,2.2324038,-92.2076173,-4.4090880,54.592,-33.576,-169.530,0.0484535,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598832,1,OK,47.7607605,8.5827140,47.1687797,-23.7895319,39.241,8.731,-222.552,0.0475416,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598832,1,OK,49.4410745,9.4036885,48.7697373,-46.5315064,41.398,13.449,-217.299,0.0180623,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598832,1,OK,92.2072111,2.2319532,-92.2088877,-4.4116287,54.590,-33.574,-169.542,0.0481698,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598840,1,OK,47.7077232,8.4232791,47.1367600,-23.7138914,39.334,8.767,-222.158,0.0471550,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598840,1,OK,49.3705495,9.3742579,48.7017959,-46.5540831,41.578,13.364,-217.052,0.0282177,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598840,1,OK,92.2093167,2.2312177,-92.2109937,-4.4158353,54.592,-33.572,-169.548,0.0477618,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598848,1,OK,47.6793462,8.3005919,47.1245577,-23.8291304,39.508,8.592,-221.947,0.0459590,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598848,1,OK,49.3271972,9.3067649,48.6671744,-46.6272269,41.867,13.142,-216.858,0.0263139,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598848,1,OK,92.2106684,2.2309963,-92.2123462,-4.4185213,54.592,-33.570,-169.556,0.0483684,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598856,1,OK,47.6693871,8.2632732,47.1194480,-23.8506326,39.864,8.452,-221.835,0.0417921,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598856,1,OK,49.2967017,9.2065549,48.6503377,-46.6247502,42.133,12.999,-216.625,0.0293758,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598856,1,OK,92.2135321,2.2288443,-92.2152088,-4.4242370,54.595,-33.571,-169.557,0.0486274,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598864,1,OK,47.5849278,8.2574730,47.0341279,-23.9716439,40.184,8.208,-221.650,0.0445209,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598864,1,OK,49.2381002,9.0398707,48.6139817,-46.7212108,42.269,12.891,-216.256,0.0183062,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598864,1,OK,92.2158883,2.2262837,-92.2175629,-4.4289451,54.590,-33.576,-169.553,0.0485901,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598880,1,OK,47.5334074,8.0720504,47.0064166,-23.8862278,40.314,7.922,-220.867,0.0465518,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598880,1,OK,49.1602889,8.9303454,48.5497371,-46.7912155,42.543,12.481,-215.625,0.0168956,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598880,1,OK,92.2222761,2.2241859,-92.2239524,-4.4417258,54.587,-33.589,-169.561,0.0485686,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598888,1,OK,47.5021494,8.0269679,46.9805262,-23.7868740,40.463,7.724,-220.635,0.0415709,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598888,1,OK,49.1552696,8.9489623,48.5420216,-46.6207408,42.689,12.319,-215.489,0.0276025,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598888,1,OK,92.2237601,2.2234694,-92.2254364,-4.4446815,54.587,-33.584,-169.563,0.0482218,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598904,1,OK,47.4347518,7.8521673,46.9346795,-23.7597741,40.646,7.376,-220.016,0.0454595,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598904,1,OK,49.0598508,8.7855835,48.4671018,-46.7437356,42.965,11.951,-214.949,0.0246906,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598904,1,OK,92.2302752,2.2219014,-92.2319541,-4.4576816,54.583,-33.581,-169.563,0.0482481,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598912,1,OK,47.4312371,7.8254143,46.9345454,-23.7721413,41.005,7.260,-219.788,0.0465069,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598912,1,OK,49.0149626,8.6481279,48.4399574,-46.7104087,43.115,11.853,-214.587,0.0294101,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598912,1,OK,92.2326556,2.2207718,-92.2343346,-4.4624290,54.588,-33.576,-169.555,0.0483586,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598920,1,OK,47.3511979,7.6858340,46.8709134,-23.7733801,41.242,7.128,-219.409,0.0472317,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598920,1,OK,48.9227449,8.5051217,48.3650302,-46.8505200,43.350,11.702,-214.122,0.0251336,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598920,1,OK,92.2351659,2.2211515,-92.2368474,-4.4674475,54.586,-33.577,-169.554,0.0481748,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598928,1,OK,47.2535682,7.5767461,46.7853616,-23.7832218,41.483,6.962,-219.085,0.0460040,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598928,1,OK,48.8452860,8.4584668,48.2922354,-47.0061493,43.671,11.553,-213.880,0.0110257,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598928,1,OK,92.2412595,2.2183684,-92.2429413,-4.4796224,54.587,-33.579,-169.553,0.0473827,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598936,1,OK,47.1500236,7.5603510,46.6821578,-23.6534047,41.757,6.859,-218.750,0.0459602,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598936,1,OK,48.7160344,8.4157307,48.1661143,-46.9373922,43.935,11.443,-213.554,0.0149734,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598936,1,OK,92.2464663,2.2169994,-92.2481499,-4.4900381,54.582,-33.586,-169.554,0.0471737,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598944,1,OK,47.0975457,7.3360827,46.6564976,-23.5986611,41.761,7.200,-217.811,0.0511393,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598944,1,OK,48.6033391,8.2888949,48.0679468,-46.9774923,44.033,11.659,-212.814,0.0137865,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598944,1,OK,92.2516839,2.2174623,-92.2533722,-4.5004643,54.582,-33.589,-169.568,0.0476166,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598952,1,OK,46.9681282,7.2765037,46.5323054,-23.6113155,41.990,7.108,-217.400,0.0528397,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598952,1,OK,48.5149909,8.2060145,47.9887413,-47.0399756,44.212,11.607,-212.490,0.0218675,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598952,1,OK,92.2550119,2.2177038,-92.2567030,-4.5071046,54.583,-33.578,-169.566,0.0471463,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598960,1,OK,46.8441144,7.1928076,46.4164967,-23.5859468,42.332,6.795,-217.216,0.0435265,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598960,1,OK,48.4566084,8.0806699,47.9454535,-47.0280644,44.508,11.447,-212.119,0.0276811,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598960,1,OK,92.2619601,2.2156196,-92.2636533,-4.5209689,54.583,-33.578,-169.580,0.0472839,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598968,1,OK,46.7314901,7.0809785,46.3155494,-23.6878635,42.543,6.727,-216.776,0.0429279,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598968,1,OK,48.3562203,7.9538500,47.8594112,-47.1161887,44.781,11.424,-211.678,0.0218363,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598968,1,OK,92.2686721,2.2136624,-92.2703673,-4.5343801,54.581,-33.582,-169.585,0.0473303,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598976,1,OK,46.6337124,6.9629164,46.2302713,-23.6520024,42.901,6.712,-216.284,0.0463433,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598976,1,OK,48.2122663,7.8625506,47.7244504,-47.0927956,45.092,11.325,-211.222,0.0331730,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598976,1,OK,92.2728993,2.2123826,-92.2745956,-4.5428219,54.578,-33.583,-169.597,0.0477567,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598984,1,OK,46.5283426,6.8561335,46.1358423,-23.6472270,43.195,6.620,-215.876,0.0427332,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9598984,1,OK,48.1097428,7.7306964,47.6366227,-47.2837276,45.367,11.299,-210.847,0.0228585,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9598984,1,OK,92.2814517,2.2098363,-92.2831505,-4.5599009,54.575,-33.588,-169.598,0.0479537,0
