Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,139376
1,0,PATTERN_START,0,139376
1, 1, SUCCESS, 0, 8875
1, 2, SUCCESS, 0, 3138
1, 3, SUCCESS, 0, 2828
1, 4, ERROR, 1, 1325
1, 4, ERROR, 2, 1326
1, 4, ERROR, 3, 1327
1, 4, ERROR, 4, 1328
1, 4, ERROR, 5, 1330
1, 4, ERROR, 6, 1333
1, 4, ERROR, 7, 2221
1, 4, ERROR, 8, 2223
1, 4, ERROR, 9, 2223
1, 4, ERROR, 10, 2224
1, 4, ERROR, 11, 2244
1, 4, ERROR, 12, 2251
1, 4, ERROR, 13, 2259
1, 4, ERROR, 14, 2263
1, 4, ERROR, 15, 2270
1, 4, ERROR, 16, 2271
1, 4, ERROR, 17, 2275
1, 4, ERROR, 18, 2288
1, 4, ERROR, 19, 2307
1, 4, ERROR, 20, 2314
1, 4, ERROR, 21, 2321
1, 4, ERROR, 22, 2326
1, 4, ERROR, 23, 2327
1, 4, ERROR, 24, 2333
1, 4, ERROR, 25, 2354
1, 4, ERROR, 26, 2357
1, 4, ERROR, 27, 2360
1, 4, ERROR, 28, 2368
1, 4, ERROR, 29, 2378
1, 4, ERROR, 30, 2379
1, 4, ERROR, 31, 2381
1, 4, ERROR, 32, 2388
1, 4, ERROR, 33, 2430
1, 4, ERROR, 34, 2430
1, 4, ERROR, 35, 2437
1, 4, ERROR, 36, 2453
1, 4, ERROR, 37, 2457
1, 4, ERROR, 38, 2458
1, 4, ERROR, 39, 2475
1, 4, ERROR, 40, 2476
1, 4, ERROR, 41, 2477
1, 4, ERROR, 42, 2478
1, 4, ERROR, 43, 2488
1, 4, ERROR, 44, 2491
1, 4, ERROR, 45, 2494
1, 4, ERROR, 46, 2495
1, 4, ERROR, 47, 2504
1, 4, ERROR, 48, 2530
1, 4, ERROR, 49, 2531
1, 4, ERROR, 50, 2533
1, 4, ERROR, 51, 2536
1, 4, ERROR, 52, 2539
1, 4, ERROR, 53, 2543
1, 4, ERROR, 54, 2544
1, 4, ERROR, 55, 2546
1, 4, ERROR, 56, 2558
1, 4, ERROR, 57, 2558
1, 4, ERROR, 58, 2559
1, 4, ERROR, 59, 2561
1, 4, ERROR, 60, 2562
1, 4, ERROR, 61, 2563
1, 4, ERROR, 62, 2564
1, 4, ERROR, 63, 2568
1, 4, ERROR, 64, 2573
1, 4, ERROR, 65, 2872
1, 4, ERROR, 66, 2876
1, 4, ERROR, 67, 2916
1, 4, SUCCESS, 0, 2932
1, 5, ERROR, 68, 41
1, 5, SUCCESS, 0, 5530
1, 6, SUCCESS, 0, 2709
1,0,PATTERN_FINISH,0,165781
2,0,PATTERN_START,0,170781
2, 1, ERROR, 1, 1934
2, 1, SUCCESS, 0, 1935
2, 2, SUCCESS, 0, 7062
2, 3, SUCCESS, 0, 8364
2, 4, SUCCESS, 0, 1666
2, 5, SUCCESS, 0, 4580
2, 6, SUCCESS, 0, 3256
2,0,PATTERN_FINISH,0,198037
3,0,PATTERN_START,0,203037
3, 1, SUCCESS, 0, 2035
3, 2, SUCCESS, 0, 2296
3, 3, SUCCESS, 0, 1852
3, 4, SUCCESS, 0, 1089
3, 5, ERROR, 1, 691
3, 5, ERROR, 2, 692
3, 5, ERROR, 3, 806
3, 5, ERROR, 4, 807
3, 5, ERROR, 5, 1899
3, 5, ERROR, 6, 1900
3, 5, ERROR, 7, 1902
3, 5, ERROR, 8, 1905
3, 5, ERROR, 9, 1905
3, 5, ERROR, 10, 1907
3, 5, ERROR, 11, 1908
3, 5, ERROR, 12, 1908
3, 5, ERROR, 13, 1913
3, 5, ERROR, 14, 1914
3, 5, ERROR, 15, 1919
3, 5, ERROR, 16, 1921
3, 5, ERROR, 17, 1924
3, 5, ERROR, 18, 1973
3, 5, ERROR, 19, 1989
3, 5, ERROR, 20, 1990
3, 5, SUCCESS, 0, 4489
3, 6, SUCCESS, 0, 3644
3,0,PATTERN_FINISH,0,218838
4,0,PATTERN_START,0,258094
4, 1, SUCCESS, 0, 2124
4, 2, SUCCESS, 0, 3156
4, 3, SUCCESS, 0, 2048
4, 4, ERROR, 1, 1287
4, 4, ERROR, 2, 1287
4, 4, ERROR, 3, 1288
4, 4, ERROR, 4, 1322
4, 4, ERROR, 5, 1335
4, 4, ERROR, 6, 1336
