Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520536,1,OK,54.9648675,3.5815960,54.8862153,17.7056146,64.841,14.903,-260.941,0.0361433,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520536,1,OK,56.2577101,2.5424494,56.2199903,-2.9658019,59.702,18.187,-257.062,0.0164924,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520536,1,OK,58.8307192,-13.0064377,57.9136812,-49.2466486,-56.259,-9.649,-247.324,0.0218211,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520536,1,OK,60.0416844,-9.7861176,59.5528500,18.5153336,-62.485,-13.670,-250.819,0.0272136,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520552,1,OK,54.4061514,3.4108925,54.3333408,17.9674464,65.282,15.069,-259.104,0.0382156,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520552,1,OK,55.6991781,2.3225318,55.6670380,-2.8949823,60.062,18.379,-255.137,0.0205937,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520552,1,OK,58.6390786,-12.9741723,57.7197335,-49.1931847,-56.126,-10.268,-245.701,0.0171818,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520552,1,OK,59.8495697,-9.8399184,59.3514070,19.1170767,-62.404,-14.444,-249.354,0.0400506,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520560,1,OK,54.2048926,3.5015217,54.1275818,18.1193468,64.975,14.793,-257.897,0.0345453,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520560,1,OK,55.4792489,2.4417815,55.4434265,-2.9387982,59.782,18.058,-254.030,0.0212160,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520560,1,OK,58.3558003,-12.9087784,57.4356908,-49.5316450,-55.964,-11.077,-244.393,0.0257983,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520560,1,OK,59.6031082,-9.9023536,59.0934706,19.3761737,-62.435,-15.505,-248.430,0.0367230,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520568,1,OK,54.0411974,3.6878353,53.9549031,18.3090403,64.428,14.227,-256.691,0.0370512,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520568,1,OK,55.3231175,2.5973449,55.2823430,-2.8480439,59.174,17.571,-252.905,0.0173701,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520568,1,OK,58.0512254,-13.0261822,57.1025340,-49.6900500,-56.142,-12.056,-243.056,0.0269900,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520568,1,OK,59.4909369,-9.8856439,58.9807510,19.8260035,-62.555,-15.955,-247.603,0.0303248,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520576,1,OK,53.9618149,3.8529228,53.8673268,18.2685515,63.717,13.456,-255.543,0.0411084,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520576,1,OK,55.2004148,2.7767804,55.1535908,-2.7775369,58.513,16.729,-251.866,0.0259532,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520576,1,OK,58.2257611,-12.9165543,57.2997774,-49.2507756,-55.552,-11.720,-241.652,0.0242480,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520576,1,OK,59.6233018,-9.6922805,59.1357671,19.7320847,-61.743,-15.865,-245.502,0.0262475,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520584,1,OK,53.9415374,4.0273034,53.8382020,18.1160163,63.124,12.323,-254.714,0.0393227,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520584,1,OK,55.2000552,2.9608367,55.1468081,-2.9671790,57.899,15.671,-250.954,0.0212989,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520584,1,OK,57.9617209,-12.8924813,57.0296563,-49.5314691,-55.114,-12.737,-240.333,0.0112107,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520584,1,OK,59.1088216,-9.9407079,58.5849065,20.2725093,-61.449,-17.505,-244.037,0.0323539,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520592,1,OK,53.9774814,4.2144491,53.8644392,17.8698845,62.568,10.894,-254.000,0.0333459,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520592,1,OK,55.2608329,3.1496623,55.2007027,-3.1544005,57.411,14.322,-250.213,0.0209802,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520592,1,OK,57.7630169,-13.0663810,56.7974544,-49.7409572,-54.572,-14.036,-238.986,0.0122317,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520592,1,OK,59.0835225,-9.9307806,58.5601424,20.5114702,-60.587,-18.301,-242.819,0.0255322,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520600,1,OK,54.1098428,4.3480521,53.9900810,17.6150024,62.151,9.673,-253.529,0.0339204,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520600,1,OK,55.3772020,3.2711637,55.3126160,-3.3944170,56.954,13.039,-249.712,0.0177790,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520600,1,OK,57.6512128,-13.1996966,56.6609693,-49.8661618,-53.499,-15.124,-237.930,0.0162076,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520600,1,OK,59.2259615,-10.0107227,58.6970006,20.8835231,-59.393,-18.910,-241.626,0.0256072,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520608,1,OK,54.1796805,4.4033269,54.0571599,17.3441685,61.776,8.561,-253.146,0.0393030,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520608,1,OK,55.4514104,3.3693183,55.3830729,-3.5365555,56.666,11.963,-249.190,0.0216625,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520608,1,OK,57.5606309,-13.5299900,56.5150221,-49.9518624,-52.128,-15.947,-236.884,0.0138108,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520608,1,OK,58.9864968,-10.4299081,58.4060237,20.8133053,-58.153,-20.073,-240.617,0.0281168,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520616,1,OK,54.1679923,4.4726212,54.0415178,17.0354966,61.530,7.529,-252.663,0.0440058,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520616,1,OK,55.4752479,3.4661396,55.4029831,-3.8366710,56.497,11.037,-248.725,0.0204860,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520616,1,OK,57.4161949,-13.9350025,56.2987556,-50.2467023,-50.203,-16.149,-235.356,0.0239033,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520616,1,OK,58.6556224,-10.9045640,58.0117022,20.8887681,-56.351,-20.682,-239.035,0.0324178,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520624,1,OK,54.1180796,4.4617428,53.9919901,16.7710833,61.289,6.724,-251.837,0.0389721,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520624,1,OK,55.4063250,3.4800768,55.3332888,-4.1156656,56.318,10.145,-247.925,0.0241470,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520624,1,OK,57.0676355,-14.3556902,55.8631746,-50.9054854,-48.270,-16.241,-233.150,0.0224348,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520624,1,OK,58.3908966,-11.2098872,57.7025256,21.0269036,-54.242,-20.491,-236.656,0.0287673,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520632,1,OK,53.9462220,4.5066147,53.8167592,16.6703680,61.125,6.064,-250.847,0.0398817,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7520632,1,OK,55.2617498,3.5154039,55.1868167,-4.3883748,56.136,9.581,-246.795,0.0231049,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520632,1,OK,56.7309235,-14.6980275,55.4496577,-51.4064037,-46.789,-16.240,-231.026,0.0153289,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7520632,1,OK,57.9596441,-11.6267711,57.2053273,21.0414006,-52.885,-20.656,-234.584,0.0360488,0
