Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,127952
1,0,PATTERN_START,0,127952
1, 1, SUCCESS, 0, 4103
1, 2, SUCCESS, 0, 5109
1, 3, SUCCESS, 0, 3644
1, 4, SUCCESS, 0, 2864
1, 5, SUCCESS, 0, 4166
1, 6, SUCCESS, 0, 3818
1,0,PATTERN_FINISH,0,152050
2,0,PATTERN_START,0,157050
2, 1, SUCCESS, 0, 3073
2, 2, SUCCESS, 0, 5370
2, 3, ERROR, 1, 116
2, 3, SUCCESS, 0, 2622
2, 4, SUCCESS, 0, 3597
2, 5, SUCCESS, 0, 3768
2, 6, SUCCESS, 0, 4353
2,0,PATTERN_FINISH,0,180227
3,0,PATTERN_START,0,185227
3, 1, SUCCESS, 0, 2485
3, 2, SUCCESS, 0, 2485
3, 3, SUCCESS, 0, 2582
3, 4, SUCCESS, 0, 1867
3, 5, SUCCESS, 0, 2841
3, 6, SUCCESS, 0, 3038
3,0,PATTERN_FINISH,0,200921
4,0,PATTERN_START,0,246566
4, 1, ERROR, 1, 1575
4, 1, ERROR, 2, 1581
4, 1, ERROR, 3, 1583
4, 1, ERROR, 4, 1585
4, 1, ERROR, 5, 1586
4, 1, ERROR, 6, 1587
4, 1, ERROR, 7, 1587
4, 1, ERROR, 8, 1602
4, 1, ERROR, 9, 1603
4, 1, ERROR, 10, 1604
4, 1, ERROR, 11, 1605
4, 1, ERROR, 12, 1606
4, 1, SUCCESS, 0, 5846
4, 2, SUCCESS, 0, 3361
4, 3, SUCCESS, 0, 2411
4, 4, SUCCESS, 0, 1421
4, 5, ERROR, 13, 107
4, 5, ERROR, 14, 108
4, 5, SUCCESS, 0, 3361
4, 6, SUCCESS, 0, 3169
4,0,PATTERN_FINISH,0,266530
5,0,PATTERN_START,0,271531
5, 1, ERROR, 1, 1724
5, 1, ERROR, 2, 1758
5, 1, ERROR, 3, 1799
5, 1, ERROR, 4, 1802
5, 1, ERROR, 5, 1813
5, 1, ERROR, 6, 1827
5, 1, ERROR, 7, 1858
5, 1, ERROR, 8, 1881
5, 1, SUCCESS, 0, 3864
5, 2, ERROR, 9, 124
5, 2, ERROR, 10, 125
5, 2, SUCCESS, 0, 2002
5, 3, SUCCESS, 0, 4173
5, 4, SUCCESS, 0, 1754
5, 5, SUCCESS, 0, 3039
5, 6, SUCCESS, 0, 2417
5,0,PATTERN_FINISH,0,289173
6,0,PATTERN_START,0,294174
6, 1, ERROR, 1, 1869
6, 1, ERROR, 2, 1886
6, 1, ERROR, 3, 1894
6, 1, ERROR, 4, 1933
6, 1, ERROR, 5, 1934
6, 1, ERROR, 6, 1939
6, 1, ERROR, 7, 1947
6, 1, ERROR, 8, 1954
6, 1, ERROR, 9, 1957
6, 1, ERROR, 10, 2032
6, 1, ERROR, 11, 2034
6, 1, ERROR, 12, 2036
6, 1, ERROR, 13, 2039
6, 1, ERROR, 14, 2048
6, 1, ERROR, 15, 2067
6, 1, ERROR, 16, 2123
6, 1, ERROR, 17, 2141
6, 1, ERROR, 18, 2147
6, 1, ERROR, 19, 2148
6, 1, ERROR, 20, 2150
6, 1, ERROR, 21, 2151
6, 1, ERROR, 22, 2152
6, 1, ERROR, 23, 2159
6, 1, ERROR, 24, 2174
6, 1, ERROR, 25, 2192
6, 1, ERROR, 26, 2259
6, 1, ERROR, 27, 2282
6, 1, ERROR, 28, 2285
6, 1, ERROR, 29, 2319
6, 1, ERROR, 30, 2416
6, 1, ERROR, 31, 2455
6, 1, ERROR, 32, 2456
6, 1, SUCCESS, 0, 3058
6, 2, ERROR, 33, 161
6, 2, SUCCESS, 0, 3399
6, 3, SUCCESS, 0, 2428
6, 4, SUCCESS, 0, 2302
6, 5, SUCCESS, 0, 2533
6, 6, SUCCESS, 0, 3047
6,0,PATTERN_FINISH,0,311336
0,0,TASK_FINISH,0,311336

