Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181904,1,OK,47.5052780,4.7533030,47.3238565,-13.8799527,49.663,-15.946,-205.515,0.0473379,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181904,1,OK,49.3213536,5.0718884,49.1274976,-40.4113837,50.746,-11.011,-200.291,0.0267114,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181904,1,OK,91.1442714,5.6135421,-91.1497861,-2.2561643,51.155,-35.874,-169.194,0.0919344,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181912,1,OK,47.6839566,4.7750100,47.5020135,-13.8518222,49.453,-16.212,-205.881,0.0411831,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181912,1,OK,49.4927883,5.1608895,49.2932511,-40.2735657,50.616,-11.339,-200.759,0.0304024,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181912,1,OK,91.0116566,5.6550998,-91.0166049,-1.9958852,51.132,-35.897,-169.183,0.0884160,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181920,1,OK,47.8507083,4.7948299,47.6683178,-13.9477149,49.282,-16.756,-206.559,0.0506339,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181920,1,OK,49.6566569,5.2236300,49.4533988,-40.1691840,50.494,-11.880,-201.372,0.0312290,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181920,1,OK,90.9042500,5.6693089,-90.9086952,-1.7847926,51.225,-35.902,-169.099,0.0816360,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181928,1,OK,48.0827446,4.8874471,47.8947493,-14.0282828,49.140,-17.156,-207.113,0.0501049,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181928,1,OK,49.8842279,5.2642469,49.6794419,-40.0281776,50.288,-12.301,-201.828,0.0244976,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181928,1,OK,90.8141316,5.7039145,-90.8181829,-1.6077848,51.226,-35.881,-169.115,0.0785485,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181944,1,OK,48.5749911,5.0601107,48.3768805,-13.8551806,48.460,-18.032,-208.329,0.0440522,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181944,1,OK,50.4115187,5.4307656,50.1975546,-39.6078962,49.625,-13.215,-202.943,0.0316721,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181944,1,OK,90.7461062,5.7455230,-90.7498735,-1.4746696,51.235,-35.864,-169.049,0.0776013,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181952,1,OK,48.8557103,5.1820938,48.6499343,-13.8108501,48.086,-18.509,-208.956,0.0440461,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181952,1,OK,50.6636801,5.5533974,50.4418943,-39.4249065,49.254,-13.761,-203.598,0.0331337,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181952,1,OK,90.7266656,5.7519519,-90.7303430,-1.4366751,51.245,-35.837,-169.049,0.0764563,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181960,1,OK,49.1566280,5.3213773,48.9418802,-13.7266796,47.553,-18.967,-209.560,0.0487084,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181960,1,OK,50.9694167,5.7077070,50.7376094,-39.2012987,48.744,-14.232,-204.310,0.0328684,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181960,1,OK,90.7014018,5.7613834,-90.7049630,-1.3869267,51.218,-35.772,-168.887,0.0758105,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181968,1,OK,49.4352429,5.4655322,49.2108629,-13.7080748,46.746,-19.515,-210.437,0.0495696,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181968,1,OK,51.2656694,5.8644820,51.0234593,-38.9289175,47.939,-14.717,-204.965,0.0304595,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181968,1,OK,90.6934731,5.7664931,-90.6970003,-1.3712525,51.239,-35.746,-168.868,0.0744944,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181976,1,OK,49.7632972,5.6651135,49.5249236,-13.6429181,46.075,-20.150,-211.335,0.0514819,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181976,1,OK,51.5494957,6.0277412,51.2961209,-38.6915909,47.173,-15.511,-205.837,0.0361840,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181976,1,OK,90.7878663,5.7582877,-90.7918622,-1.5587797,51.210,-35.813,-169.050,0.0677387,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181984,1,OK,50.0606642,5.8072100,49.8127431,-13.5315945,45.646,-20.907,-212.257,0.0522661,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2181984,1,OK,51.8892865,6.2028730,51.6241386,-38.3422582,46.790,-16.199,-206.816,0.0407056,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2181984,1,OK,90.8241637,5.7534559,-90.8283368,-1.6310325,51.202,-35.868,-169.092,0.0621599,0
