Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417456,1,OK,48.0771206,5.4698601,47.8413346,-12.0019188,45.627,-15.843,-204.668,0.0446535,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417456,1,OK,49.7540370,6.1363878,49.4739768,-34.9751760,45.808,-10.849,-199.392,0.0215892,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417456,1,OK,46.7226176,-7.4643003,46.2597715,-31.9945356,-67.531,-17.347,-181.840,0.0342543,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417456,1,OK,50.3280905,-7.2924406,49.9394765,57.1034229,-65.749,-22.690,-187.339,0.0620818,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417464,1,OK,48.2459215,5.4463207,48.0135586,-11.9937367,45.474,-15.921,-205.185,0.0436319,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417464,1,OK,49.9211826,6.1937835,49.6375129,-34.8728038,45.787,-10.964,-199.986,0.0181004,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417464,1,OK,46.7306232,-7.4520086,46.2694471,-32.0910694,-67.478,-17.410,-181.802,0.0376250,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417464,1,OK,50.3328346,-7.2865107,49.9449242,57.1643892,-65.697,-22.756,-187.323,0.0634561,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417472,1,OK,48.3718458,5.5625912,48.1304716,-11.9145279,45.431,-16.020,-205.795,0.0450241,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417472,1,OK,50.0768018,6.2384362,49.7905880,-34.6510840,45.614,-10.987,-200.554,0.0249279,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417472,1,OK,46.7597667,-7.4571555,46.2984203,-32.1121581,-67.445,-17.465,-181.814,0.0355721,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417472,1,OK,50.3527262,-7.2959714,49.9640743,57.1687441,-65.666,-22.819,-187.373,0.0629093,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417480,1,OK,48.4689027,5.6376834,48.2217763,-11.9530601,45.206,-15.951,-206.289,0.0511053,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417480,1,OK,50.1870824,6.3690564,49.8898385,-34.4984238,45.470,-10.940,-201.113,0.0298404,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417480,1,OK,46.7879309,-7.4744883,46.3248736,-32.1204576,-67.379,-17.533,-181.879,0.0300910,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417480,1,OK,50.3868357,-7.3216637,49.9958919,57.0696075,-65.607,-22.868,-187.471,0.0634466,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417488,1,OK,48.5761611,5.7543270,48.3196119,-11.9494607,44.957,-15.901,-206.773,0.0470212,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417488,1,OK,50.2334906,6.3931403,49.9344728,-34.5385525,45.054,-10.974,-201.609,0.0232903,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417488,1,OK,46.8307449,-7.4959716,46.3656947,-32.1380255,-67.281,-17.551,-181.935,0.0294434,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417488,1,OK,50.4112716,-7.3494450,50.0176701,56.9972185,-65.491,-22.907,-187.497,0.0605465,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417496,1,OK,48.7053136,5.8617619,48.4402454,-11.9094616,44.711,-15.801,-207.289,0.0429444,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417496,1,OK,50.3443062,6.5296849,50.0335102,-34.5089031,44.815,-10.935,-201.987,0.0206924,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417496,1,OK,46.8341671,-7.5258573,46.3654164,-32.0943033,-67.181,-17.613,-181.948,0.0356518,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417496,1,OK,50.4284357,-7.3785181,50.0319267,56.8766861,-65.391,-22.949,-187.537,0.0613493,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417504,1,OK,48.7700739,5.9172634,48.5005471,-11.8725782,44.417,-15.838,-207.630,0.0430844,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417504,1,OK,50.4499526,6.5492247,50.1384562,-34.4319395,44.461,-10.828,-202.235,0.0291917,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417504,1,OK,46.8732455,-7.5454657,46.4026702,-32.1029298,-67.104,-17.665,-182.002,0.0347183,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417504,1,OK,50.4493076,-7.3901068,50.0518364,56.8664096,-65.293,-22.997,-187.561,0.0633888,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417512,1,OK,48.8498025,6.0388585,48.5697990,-11.8811953,43.976,-15.878,-208.007,0.0495534,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417512,1,OK,50.5231698,6.6669709,50.2011248,-34.3691212,44.060,-10.873,-202.618,0.0251213,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417512,1,OK,46.9152563,-7.5605781,46.4434723,-32.0739606,-67.047,-17.727,-182.080,0.0312067,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417512,1,OK,50.4959544,-7.4086024,50.0971372,56.8017652,-65.245,-23.044,-187.660,0.0643471,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417520,1,OK,48.9168783,6.1103203,48.6308419,-11.8479224,43.577,-15.953,-208.425,0.0474009,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417520,1,OK,50.6450842,6.7787046,50.3135123,-34.2953823,43.736,-10.898,-203.184,0.0219953,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417520,1,OK,46.9206170,-7.5776106,46.4467704,-31.8999763,-67.000,-17.823,-182.127,0.0293892,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417520,1,OK,50.5220101,-7.4094001,50.1234776,56.8482122,-65.183,-23.116,-187.734,0.0676183,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417528,1,OK,49.0485142,6.2298865,48.7524752,-11.8742655,43.276,-15.875,-208.849,0.0473923,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8417528,1,OK,50.7410843,6.8977692,50.3988393,-34.2470228,43.430,-10.931,-203.597,0.0244790,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417528,1,OK,47.0123472,-7.6147406,46.5353381,-31.4331879,-66.721,-18.090,-182.295,0.0257717,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8417528,1,OK,50.5527581,-7.4174898,50.1537854,56.8751346,-65.125,-23.161,-187.784,0.0657512,0
