Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3824992,1,OK,44.7055061,1.4104135,44.6879600,-30.3630431,56.973,-8.757,-190.900,0.0306715,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3824992,1,OK,43.7754519,2.6796690,43.7099529,-55.7519258,55.979,-2.995,-186.215,0.0394635,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3824992,1,OK,48.8840381,-6.0302064,48.6051798,58.4414197,-68.313,-17.379,-187.620,0.0305637,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3824992,1,OK,45.9017121,-7.3129025,45.4446251,-35.4326680,-69.351,-11.873,-182.121,0.0267539,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825000,1,OK,44.7061626,1.4150863,44.6885003,-30.3186449,56.980,-8.769,-190.909,0.0309448,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825000,1,OK,43.7799723,2.6843647,43.7142537,-55.7150559,55.978,-3.004,-186.211,0.0392600,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825000,1,OK,48.8856310,-6.0395892,48.6059141,58.3981523,-68.324,-17.339,-187.623,0.0318388,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825000,1,OK,45.9105047,-7.3147019,45.4533317,-35.3807853,-69.374,-11.825,-182.126,0.0251860,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825008,1,OK,44.7087463,1.4269787,44.6907875,-30.2720270,57.005,-8.776,-190.906,0.0307020,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825008,1,OK,43.7856445,2.6965781,43.7193387,-55.6586503,55.988,-3.006,-186.220,0.0391166,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825008,1,OK,48.8538788,-6.0375283,48.5740399,58.4711052,-68.325,-17.322,-187.612,0.0359247,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825008,1,OK,45.8980003,-7.3132274,45.4408125,-35.2792706,-69.391,-11.795,-182.117,0.0258912,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825016,1,OK,44.7101841,1.4307456,44.6921312,-30.2472123,57.016,-8.777,-190.909,0.0307604,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825016,1,OK,43.7902758,2.6958645,43.7240159,-55.6388707,55.987,-3.002,-186.209,0.0391690,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825016,1,OK,48.8551817,-6.0432218,48.5748240,58.5317645,-68.351,-17.239,-187.641,0.0325515,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825016,1,OK,45.8658210,-7.3161772,45.4077417,-35.1560807,-69.424,-11.741,-182.121,0.0263369,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825024,1,OK,44.7100489,1.4301468,44.6920110,-30.2296185,57.017,-8.773,-190.907,0.0305094,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825024,1,OK,43.7899163,2.6940490,43.7237449,-55.6324335,55.983,-3.000,-186.204,0.0388709,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825024,1,OK,48.8538632,-6.0513344,48.5727341,58.5719063,-68.374,-17.157,-187.649,0.0283979,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825024,1,OK,45.8298769,-7.3111432,45.3718556,-35.0206568,-69.446,-11.680,-182.143,0.0238722,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825032,1,OK,44.7047901,1.4354165,44.6866156,-30.1990928,57.023,-8.774,-190.913,0.0300663,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825032,1,OK,43.7915983,2.6940795,43.7254293,-55.6222739,55.983,-2.989,-186.207,0.0389754,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825032,1,OK,48.8189289,-6.0610481,48.5365416,58.5970143,-68.392,-17.137,-187.672,0.0325382,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825032,1,OK,45.8289194,-7.3129180,45.3706578,-35.1086715,-69.471,-11.623,-182.162,0.0238446,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825040,1,OK,44.7033471,1.4392275,44.6850750,-30.1910710,57.029,-8.767,-190.914,0.0300128,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825040,1,OK,43.7888273,2.6932108,43.7226946,-55.6069613,55.982,-2.982,-186.205,0.0385277,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825040,1,OK,48.8159133,-6.0603294,48.5335633,58.6344493,-68.399,-17.100,-187.714,0.0330796,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825040,1,OK,45.8389685,-7.3140932,45.3807202,-35.2090606,-69.486,-11.573,-182.185,0.0223349,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825048,1,OK,44.7021750,1.4381927,44.6839284,-30.1892745,57.033,-8.753,-190.916,0.0301870,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825048,1,OK,43.7811239,2.6854336,43.7153554,-55.6370094,55.978,-2.977,-186.197,0.0383693,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825048,1,OK,48.8096004,-6.0563983,48.5275561,58.6943543,-68.386,-17.083,-187.681,0.0329508,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825048,1,OK,45.8179230,-7.3080261,45.3601038,-35.2585140,-69.487,-11.570,-182.177,0.0245312,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825056,1,OK,44.6998697,1.4305686,44.6818147,-30.1723776,57.025,-8.737,-190.911,0.0297638,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825056,1,OK,43.7751513,2.6847720,43.7094015,-55.6397487,55.978,-2.970,-186.188,0.0382597,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825056,1,OK,48.7844221,-6.0714438,48.5007125,58.7173375,-68.397,-17.105,-187.682,0.0360362,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825056,1,OK,45.8249784,-7.3138908,45.3665300,-35.3285211,-69.457,-11.645,-182.085,0.0251272,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825064,1,OK,44.6992705,1.4341905,44.6811236,-30.1534773,57.035,-8.721,-190.918,0.0289411,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3825064,1,OK,43.7678729,2.6840159,43.7021435,-55.6453478,55.981,-2.964,-186.186,0.0385019,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825064,1,OK,48.8040002,-6.0728254,48.5203570,58.7486307,-68.460,-17.263,-187.663,0.0381387,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3825064,1,OK,45.8116195,-7.3182917,45.3523974,-35.2729627,-69.471,-11.633,-182.099,0.0247961,0
