Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,130807
1,0,PATTERN_START,0,130807
1, 1, SUCCESS, 0, 1986
1, 2, SUCCESS, 0, 1862
1, 3, ERROR, 1, 190
1, 3, SUCCESS, 0, 2281
1, 4, SUCCESS, 0, 1520
1, 5, SUCCESS, 0, 1290
1, 6, SUCCESS, 0, 1354
1,0,PATTERN_FINISH,0,141495
2,0,PATTERN_START,0,146495
2, 1, SUCCESS, 0, 1952
2, 2, SUCCESS, 0, 1403
2, 3, SUCCESS, 0, 1011
2, 4, SUCCESS, 0, 1271
2, 5, SUCCESS, 0, 1584
2, 6, SUCCESS, 0, 1713
2,0,PATTERN_FINISH,0,155827
3,0,PATTERN_START,0,160827
3, 1, SUCCESS, 0, 1789
3, 2, SUCCESS, 0, 2006
3, 3, SUCCESS, 0, 1898
3, 4, SUCCESS, 0, 1211
3, 5, SUCCESS, 0, 1968
3, 6, SUCCESS, 0, 1912
3,0,PATTERN_FINISH,0,172006
4,0,PATTERN_START,0,219444
4, 1, SUCCESS, 0, 2733
4, 2, SUCCESS, 0, 1461
4, 3, SUCCESS, 0, 1953
4, 4, SUCCESS, 0, 1491
4, 5, SUCCESS, 0, 2469
4, 6, SUCCESS, 0, 2469
4,0,PATTERN_FINISH,0,232414
5,0,PATTERN_START,0,237414
5, 1, SUCCESS, 0, 2585
5, 2, SUCCESS, 0, 2098
5, 3, SUCCESS, 0, 1925
5, 4, SUCCESS, 0, 1363
5, 5, SUCCESS, 0, 1736
5, 6, SUCCESS, 0, 1285
5,0,PATTERN_FINISH,0,248802
6,0,PATTERN_START,0,253802
6, 1, SUCCESS, 0, 1762
6, 2, SUCCESS, 0, 2092
6, 3, SUCCESS, 0, 1110
6, 4, SUCCESS, 0, 1745
6, 5, SUCCESS, 0, 2362
6, 6, SUCCESS, 0, 2101
6,0,PATTERN_FINISH,0,265367
0,0,TASK_FINISH,0,265368

