Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737720,1,OK,44.6659304,0.8570410,44.6594444,-34.0477898,60.540,-15.554,-191.124,0.0276672,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737720,1,OK,43.5389083,2.0530342,43.5001660,-59.3957664,60.212,-9.731,-186.297,0.0407023,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737720,1,OK,49.1336489,-5.4853094,48.9052056,48.4790501,-68.116,-24.332,-186.799,0.0559435,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737720,1,OK,46.7579352,-7.5602913,46.2835638,-46.8369325,-66.489,-18.590,-181.437,0.0336287,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737728,1,OK,44.8273227,0.7761627,44.8220331,-33.9793213,60.087,-16.450,-190.899,0.0247433,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737728,1,OK,43.7517218,2.0095358,43.7148804,-59.2853954,59.890,-10.583,-186.196,0.0389500,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737728,1,OK,49.0756235,-5.3591986,48.8571707,48.5054554,-68.386,-23.747,-186.866,0.0583722,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737728,1,OK,46.6920624,-7.5155912,46.2222568,-46.9317615,-66.853,-17.987,-181.514,0.0314163,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737736,1,OK,44.7689556,0.8878502,44.7620198,-34.1076451,59.996,-16.343,-190.848,0.0310637,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737736,1,OK,43.6526324,2.1151735,43.6116703,-59.3927510,59.730,-10.578,-186.196,0.0320274,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737736,1,OK,48.9897701,-5.3704166,48.7697297,48.7017091,-68.503,-23.573,-186.849,0.0588302,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737736,1,OK,46.6185345,-7.4823209,46.1517172,-46.9597021,-66.954,-17.770,-181.570,0.0316280,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737744,1,OK,44.7427287,0.9946338,44.7340158,-34.1392198,59.349,-15.934,-190.868,0.0318855,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737744,1,OK,43.6329628,2.2381914,43.5870607,-59.5835376,59.174,-10.161,-186.236,0.0350135,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737744,1,OK,49.0104647,-5.4119638,48.7871514,48.8555894,-68.520,-23.528,-186.872,0.0516776,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737744,1,OK,46.6414607,-7.4821885,46.1750371,-46.9190121,-66.942,-17.718,-181.560,0.0312119,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737752,1,OK,44.7415039,1.0872666,44.7310917,-34.2254041,59.250,-15.829,-190.942,0.0272438,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737752,1,OK,43.6176906,2.3147606,43.5685643,-59.5864004,59.029,-10.074,-186.222,0.0350694,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737752,1,OK,49.0546849,-5.3837747,48.8340498,48.6795533,-68.434,-23.571,-186.820,0.0540397,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737752,1,OK,46.6730771,-7.4998660,46.2049442,-46.7377440,-66.878,-17.809,-181.505,0.0203711,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737760,1,OK,44.7484893,1.1296838,44.7372513,-34.3641614,59.230,-15.916,-190.950,0.0260149,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737760,1,OK,43.6705878,2.3403201,43.6204622,-59.5968687,59.056,-10.063,-186.187,0.0344099,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737760,1,OK,49.0605964,-5.3677838,48.8413229,48.5241174,-68.418,-23.762,-186.825,0.0582516,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737760,1,OK,46.6979282,-7.5264130,46.2268509,-46.7092860,-66.857,-17.988,-181.527,0.0304213,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737768,1,OK,44.7699229,1.1193613,44.7588977,-34.4530669,59.160,-16.067,-190.868,0.0286146,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737768,1,OK,43.6760579,2.2687339,43.6289641,-59.7879167,58.945,-10.281,-186.167,0.0332917,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737768,1,OK,49.0940473,-5.2821651,48.8820001,48.7511837,-68.611,-24.049,-186.728,0.0562495,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737768,1,OK,46.7303840,-7.4509116,46.2693412,-46.5421786,-67.163,-18.268,-181.503,0.0283613,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737776,1,OK,44.8492478,1.1097556,44.8384410,-34.5296401,59.200,-16.290,-190.871,0.0298901,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737776,1,OK,43.7193453,2.2749742,43.6720635,-59.9591136,59.020,-10.515,-186.067,0.0336607,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737776,1,OK,49.0943984,-5.1441196,48.8933458,48.8145336,-69.417,-24.478,-186.852,0.0465882,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737776,1,OK,46.6930134,-7.2472522,46.2565133,-46.2482732,-67.927,-18.734,-181.471,0.0236697,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737784,1,OK,44.8971435,1.0860821,44.8868103,-34.7969042,59.225,-16.544,-190.880,0.0316395,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737784,1,OK,43.7688582,2.3035539,43.7204635,-59.9503028,59.146,-10.759,-186.104,0.0328312,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737784,1,OK,49.1357538,-4.9889263,48.9469808,49.0394735,-69.805,-24.774,-186.737,0.0452831,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737784,1,OK,46.7527000,-7.0955518,46.3353403,-46.0359138,-68.411,-18.972,-181.448,0.0278825,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737792,1,OK,44.9044143,1.0841053,44.8941213,-34.9273113,59.253,-16.612,-190.806,0.0307839,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3737792,1,OK,43.8069566,2.2415258,43.7611968,-60.1961816,59.143,-10.745,-186.063,0.0353813,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737792,1,OK,49.1847754,-4.9693081,48.9978155,49.1369883,-69.911,-24.862,-186.711,0.0403529,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3737792,1,OK,46.7533566,-7.0578197,46.3404767,-46.0132081,-68.554,-19.141,-181.412,0.0254986,0
