Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622472,1,OK,58.7427017,13.1427979,57.8025151,-31.1622962,24.621,-8.311,-250.421,0.0288576,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622472,1,OK,57.5028613,13.9353969,56.3891254,-46.6818484,24.810,-3.807,-244.213,0.0311166,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622472,1,OK,91.2555793,4.7161018,-91.2598454,1.2036357,53.668,-35.298,-168.490,0.0456928,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622480,1,OK,58.7418020,13.1424475,57.8016334,-31.1653128,24.634,-8.323,-250.431,0.0295061,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622480,1,OK,57.5038595,13.9345504,56.3903066,-46.6750114,24.823,-3.814,-244.220,0.0302358,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622480,1,OK,91.2548762,4.7161933,-91.2591401,1.2027800,53.666,-35.299,-168.486,0.0454845,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622488,1,OK,58.7421131,13.1397405,57.8023540,-31.1624619,24.649,-8.328,-250.435,0.0290992,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622488,1,OK,57.5018031,13.9308746,56.3887669,-46.6792621,24.837,-3.820,-244.204,0.0297960,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622488,1,OK,91.2557623,4.7162810,-91.2600293,1.2037084,53.661,-35.303,-168.484,0.0456964,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622496,1,OK,58.7414555,13.1373060,57.8020297,-31.1584930,24.659,-8.329,-250.431,0.0285520,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622496,1,OK,57.5017531,13.9283431,56.3891322,-46.6766962,24.846,-3.817,-244.194,0.0303957,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622496,1,OK,91.2571134,4.7159469,-91.2613845,1.2050506,53.663,-35.303,-168.491,0.0453372,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622504,1,OK,58.7428369,13.1392700,57.8031740,-31.1569160,24.660,-8.319,-250.427,0.0285364,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622504,1,OK,57.5045163,13.9315756,56.3914824,-46.6676157,24.846,-3.802,-244.195,0.0301322,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622504,1,OK,91.2549963,4.7171106,-91.2592623,1.2030465,53.664,-35.297,-168.485,0.0449121,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622512,1,OK,58.7461521,13.1436799,57.8059648,-31.1529026,24.650,-8.304,-250.417,0.0278929,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622512,1,OK,57.5083478,13.9339023,56.3950966,-46.6642691,24.834,-3.787,-244.180,0.0303838,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622512,1,OK,91.2563487,4.7178549,-91.2606206,1.2044968,53.671,-35.298,-168.486,0.0451612,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622520,1,OK,58.7512628,13.1463470,57.8108744,-31.1465778,24.642,-8.289,-250.419,0.0278439,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622520,1,OK,57.5127904,13.9373016,56.3991717,-46.6579797,24.818,-3.773,-244.168,0.0299977,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622520,1,OK,91.2551517,4.7180366,-91.2594198,1.2033038,53.668,-35.297,-168.485,0.0457475,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622528,1,OK,58.7451285,13.1464677,57.8044930,-31.1506283,24.635,-8.307,-250.437,0.0273897,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622528,1,OK,57.5092978,13.9379195,56.3954255,-46.6608036,24.812,-3.778,-244.179,0.0302740,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622528,1,OK,91.2547816,4.7184163,-91.2590492,1.2029509,53.662,-35.300,-168.488,0.0463652,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622536,1,OK,58.7375714,13.1447737,57.7969026,-31.1665147,24.636,-8.323,-250.446,0.0280551,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622536,1,OK,57.5061967,13.9376153,56.3922399,-46.6650325,24.817,-3.788,-244.192,0.0302165,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622536,1,OK,91.2539676,4.7194518,-91.2582343,1.2020927,53.665,-35.296,-168.493,0.0460907,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622544,1,OK,58.7366674,13.1402458,57.7966306,-31.1655602,24.646,-8.332,-250.450,0.0283224,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4622544,1,OK,57.5109638,13.9333637,56.3979150,-46.6622429,24.832,-3.782,-244.176,0.0303168,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4622544,1,OK,91.2525618,4.7203609,-91.2568254,1.2008998,53.669,-35.292,-168.488,0.0459499,0
