Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608936,1,OK,56.8721673,9.8974777,56.3054375,27.6026519,47.165,-2.585,-251.458,0.0331294,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608936,1,OK,58.6156493,10.6815758,57.9972897,7.7489263,40.191,-2.586,-254.345,0.0249490,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608936,1,OK,62.4138430,-15.5398616,61.2719735,40.9561818,-25.258,-67.011,-216.795,0.0285462,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608936,1,OK,59.7909536,-17.0750737,58.2403048,-24.3603567,-25.686,-62.583,-209.973,0.0225259,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608944,1,OK,56.8703768,9.8961294,56.3037649,27.6045703,47.160,-2.588,-251.468,0.0325930,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608944,1,OK,58.6116306,10.6822301,57.9930957,7.7563408,40.194,-2.595,-254.345,0.0249013,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608944,1,OK,62.4142547,-15.5425500,61.2719957,40.9623682,-25.261,-67.008,-216.803,0.0277870,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608944,1,OK,59.7879151,-17.0800114,58.2361349,-24.3822986,-25.691,-62.591,-209.980,0.0232106,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608952,1,OK,56.8668172,9.8930636,56.3004845,27.6067148,47.155,-2.592,-251.472,0.0328249,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608952,1,OK,58.6084417,10.6831195,57.9897240,7.7532218,40.194,-2.603,-254.358,0.0252140,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608952,1,OK,62.4084724,-15.5434289,61.2657955,40.9757706,-25.261,-67.024,-216.792,0.0279072,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608952,1,OK,59.7827694,-17.0809718,58.2304807,-24.3973457,-25.689,-62.598,-209.972,0.0224400,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608960,1,OK,56.8645828,9.8930546,56.2982026,27.6034608,47.154,-2.594,-251.466,0.0327792,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608960,1,OK,58.6077443,10.6822289,57.9891145,7.7441995,40.196,-2.604,-254.355,0.0248773,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608960,1,OK,62.4050921,-15.5397377,61.2628121,40.9721939,-25.254,-67.034,-216.782,0.0274788,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608960,1,OK,59.7794623,-17.0800957,58.2271309,-24.4243309,-25.685,-62.601,-209.962,0.0214927,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608968,1,OK,56.8651499,9.8963548,56.2983981,27.5989718,47.158,-2.594,-251.461,0.0329792,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608968,1,OK,58.6065410,10.6848809,57.9875691,7.7386152,40.199,-2.605,-254.354,0.0240939,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608968,1,OK,62.4037495,-15.5383377,61.2616171,40.9734158,-25.247,-67.034,-216.781,0.0279681,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608968,1,OK,59.7770907,-17.0821445,58.2242192,-24.4286573,-25.690,-62.610,-209.960,0.0208165,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608976,1,OK,56.8610428,9.8980646,56.2940027,27.5994613,47.163,-2.600,-251.456,0.0330526,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608976,1,OK,58.6065311,10.6847827,57.9875705,7.7467410,40.195,-2.602,-254.347,0.0241140,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608976,1,OK,62.4003921,-15.5394963,61.2579182,40.9851780,-25.254,-67.039,-216.781,0.0280709,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608976,1,OK,59.7770046,-17.0805630,58.2244287,-24.4480766,-25.691,-62.605,-209.956,0.0209485,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608984,1,OK,56.8599517,9.8973785,56.2929677,27.6019786,47.158,-2.606,-251.462,0.0330429,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608984,1,OK,58.6045098,10.6850954,57.9854629,7.7432057,40.192,-2.605,-254.352,0.0234983,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608984,1,OK,62.3996604,-15.5354183,61.2577724,40.9863331,-25.248,-67.040,-216.777,0.0282385,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608984,1,OK,59.7775395,-17.0820968,58.2247055,-24.4347142,-25.699,-62.609,-209.960,0.0206964,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608992,1,OK,56.8586238,9.8989182,56.2914317,27.6074410,47.156,-2.611,-251.466,0.0331346,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3608992,1,OK,58.5995262,10.6864959,57.9801921,7.7504508,40.191,-2.617,-254.370,0.0247389,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608992,1,OK,62.4009438,-15.5356208,61.2590879,40.9915536,-25.250,-67.037,-216.786,0.0278249,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3608992,1,OK,59.7795608,-17.0784190,58.2275547,-24.4507466,-25.696,-62.604,-209.959,0.0203629,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3609000,1,OK,56.8599723,9.8983910,56.2928709,27.6072097,47.150,-2.609,-251.469,0.0331029,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3609000,1,OK,58.6001440,10.6869183,57.9807751,7.7509606,40.191,-2.612,-254.371,0.0259717,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3609000,1,OK,62.4021664,-15.5334515,61.2607012,40.9819182,-25.244,-67.030,-216.789,0.0281315,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3609000,1,OK,59.7787395,-17.0779635,58.2267681,-24.4729275,-25.695,-62.604,-209.955,0.0197717,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3609008,1,OK,56.8634192,9.8946329,56.2968301,27.6054029,47.146,-2.600,-251.455,0.0333353,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3609008,1,OK,58.6019018,10.6860209,57.9826819,7.7571098,40.191,-2.606,-254.356,0.0257499,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3609008,1,OK,62.4007499,-15.5375674,61.2585877,40.9679916,-25.243,-67.035,-216.790,0.0290743,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3609008,1,OK,59.7767248,-17.0802319,58.2241942,-24.5058099,-25.696,-62.608,-209.958,0.0186836,0
