Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985760,1,OK,45.2402833,1.6203150,45.2175515,-18.1043566,58.428,-20.179,-189.585,0.0389444,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985760,1,OK,44.7625757,3.2682733,44.6683796,-43.6154905,55.284,-14.904,-185.345,0.0341847,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985760,1,OK,50.5427163,-5.1267478,50.3530370,51.4331799,-68.375,-27.315,-186.106,0.0546256,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985760,1,OK,47.8439989,-6.8702647,47.4677160,-40.6112283,-68.099,-21.680,-180.559,0.0289683,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985768,1,OK,45.2373955,1.6206378,45.2146524,-18.1040372,58.427,-20.181,-189.589,0.0387713,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985768,1,OK,44.7643783,3.2723938,44.6699500,-43.5973335,55.288,-14.894,-185.342,0.0343856,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985768,1,OK,50.5373169,-5.1290248,50.3474317,51.4333425,-68.375,-27.321,-186.106,0.0537582,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985768,1,OK,47.8424761,-6.8757989,47.4655610,-40.6146634,-68.104,-21.687,-180.558,0.0285509,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985776,1,OK,45.2369253,1.6289075,45.2139489,-18.1028672,58.437,-20.178,-189.602,0.0388166,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985776,1,OK,44.7622483,3.2646558,44.6682600,-43.6213050,55.276,-14.889,-185.334,0.0337766,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985776,1,OK,50.5317598,-5.1351822,50.3413785,51.4225497,-68.385,-27.326,-186.112,0.0528575,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985776,1,OK,47.8404289,-6.8827460,47.4627176,-40.6122211,-68.112,-21.690,-180.566,0.0281415,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985784,1,OK,45.2387300,1.6321555,45.2156633,-18.0982788,58.437,-20.177,-189.603,0.0381986,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985784,1,OK,44.7642251,3.2626352,44.6703598,-43.6246499,55.272,-14.881,-185.330,0.0344008,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985784,1,OK,50.5332199,-5.1335191,50.3429724,51.3997132,-68.384,-27.315,-186.113,0.0527783,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985784,1,OK,47.8384312,-6.8858733,47.4603468,-40.6156817,-68.113,-21.692,-180.567,0.0270888,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985792,1,OK,45.2394576,1.6299397,45.2164542,-18.0943321,58.430,-20.176,-189.597,0.0378719,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985792,1,OK,44.7676549,3.2615852,44.6738614,-43.6231540,55.269,-14.871,-185.333,0.0348498,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985792,1,OK,50.5334593,-5.1283401,50.3435989,51.3831967,-68.381,-27.309,-186.107,0.0533161,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985792,1,OK,47.8416547,-6.8868137,47.4635091,-40.6019893,-68.114,-21.683,-180.567,0.0262985,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985800,1,OK,45.2401277,1.6263328,45.2172265,-18.0886268,58.423,-20.174,-189.596,0.0372980,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985800,1,OK,44.7680771,3.2643511,44.6741255,-43.6398579,55.271,-14.869,-185.330,0.0349218,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985800,1,OK,50.5339223,-5.1265519,50.3441981,51.3783847,-68.379,-27.306,-186.103,0.0539110,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985800,1,OK,47.8448338,-6.8857388,47.4668497,-40.5890096,-68.109,-21.676,-180.566,0.0263524,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985808,1,OK,45.2428071,1.6205334,45.2200711,-18.0991378,58.411,-20.171,-189.584,0.0373685,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985808,1,OK,44.7641331,3.2635515,44.6702147,-43.6445926,55.269,-14.872,-185.332,0.0346128,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985808,1,OK,50.5298682,-5.1249534,50.3402354,51.3744305,-68.380,-27.309,-186.098,0.0537734,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985808,1,OK,47.8406054,-6.8817897,47.4630023,-40.5562737,-68.107,-21.678,-180.566,0.0256949,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985816,1,OK,45.2486005,1.6276736,45.2256683,-18.1086538,58.419,-20.160,-189.584,0.0371746,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985816,1,OK,44.7664661,3.2621120,44.6726383,-43.6526983,55.269,-14.866,-185.327,0.0346567,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985816,1,OK,50.5263380,-5.1244510,50.3367186,51.3814136,-68.377,-27.312,-186.097,0.0540307,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985816,1,OK,47.8401752,-6.8845864,47.4622567,-40.5219446,-68.108,-21.681,-180.572,0.0263165,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985824,1,OK,45.2539674,1.6282908,45.2310221,-18.1096812,58.419,-20.150,-189.581,0.0366109,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985824,1,OK,44.7674671,3.2596497,44.6737845,-43.6610247,55.268,-14.862,-185.332,0.0347209,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985824,1,OK,50.5234041,-5.1406025,50.3325619,51.3593551,-68.400,-27.321,-186.114,0.0543105,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985824,1,OK,47.8452021,-6.8660402,47.4694020,-40.5711232,-68.087,-21.665,-180.554,0.0276918,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985832,1,OK,45.2560552,1.6364968,45.2328796,-18.1190101,58.428,-20.151,-189.594,0.0367251,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985832,1,OK,44.7601186,3.2502908,44.6669505,-43.6898144,55.252,-14.874,-185.327,0.0344309,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985832,1,OK,50.5178181,-5.1404554,50.3269489,51.3614448,-68.399,-27.331,-186.113,0.0548616,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985832,1,OK,47.8396959,-6.8676029,47.4636501,-40.5766912,-68.087,-21.673,-180.556,0.0274244,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985840,1,OK,45.2543178,1.6292340,45.2313462,-18.1372300,58.416,-20.155,-189.588,0.0373196,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985840,1,OK,44.7584802,3.2495050,44.6653519,-43.7143770,55.253,-14.877,-185.332,0.0341984,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985840,1,OK,50.5152365,-5.1417616,50.3242522,51.3959113,-68.393,-27.335,-186.108,0.0541104,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985840,1,OK,47.8380417,-6.8613423,47.4626654,-40.5587794,-68.079,-21.667,-180.547,0.0266731,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985848,1,OK,45.2565165,1.6247321,45.2336735,-18.1422959,58.408,-20.147,-189.570,0.0376550,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985848,1,OK,44.7572091,3.2517565,44.6639472,-43.7261019,55.255,-14.885,-185.335,0.0340931,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985848,1,OK,50.5158992,-5.1375058,50.3252370,51.3916921,-68.389,-27.335,-186.110,0.0550390,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985848,1,OK,47.8434877,-6.8535948,47.4690382,-40.5714366,-68.071,-21.656,-180.552,0.0278596,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985856,1,OK,45.2596215,1.6222726,45.2368501,-18.1538692,58.404,-20.142,-189.558,0.0375619,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985856,1,OK,44.7577237,3.2534244,44.6643676,-43.7224219,55.258,-14.884,-185.331,0.0344486,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985856,1,OK,50.5155130,-5.1393603,50.3247098,51.4019394,-68.386,-27.339,-186.112,0.0556794,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985856,1,OK,47.8459118,-6.8464479,47.4722819,-40.5555203,-68.057,-21.653,-180.546,0.0277113,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985864,1,OK,45.2580888,1.6195724,45.2353920,-18.1538333,58.404,-20.140,-189.558,0.0376097,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985864,1,OK,44.7566318,3.2549497,44.6631844,-43.7392832,55.262,-14.884,-185.340,0.0337647,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985864,1,OK,50.5121098,-5.1444058,50.3209068,51.4223994,-68.373,-27.348,-186.112,0.0555405,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985864,1,OK,47.8508451,-6.8487590,47.4770257,-40.5118060,-68.045,-21.648,-180.544,0.0277929,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985872,1,OK,45.2596176,1.6225635,45.2368380,-18.1551029,58.408,-20.140,-189.556,0.0375887,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985872,1,OK,44.7540612,3.2608121,44.6602678,-43.7483427,55.270,-14.891,-185.349,0.0337138,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985872,1,OK,50.5130005,-5.1487701,50.3214774,51.4157648,-68.362,-27.351,-186.111,0.0564117,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985872,1,OK,47.8449701,-6.8516978,47.4707494,-40.5128160,-68.031,-21.656,-180.540,0.0287690,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985880,1,OK,45.2588674,1.6178532,45.2362193,-18.1538359,58.400,-20.139,-189.552,0.0376229,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985880,1,OK,44.7502906,3.2590423,44.6565868,-43.7468413,55.264,-14.896,-185.352,0.0333098,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985880,1,OK,50.5121481,-5.1512603,50.3204330,51.4072869,-68.350,-27.353,-186.112,0.0566115,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985880,1,OK,47.8465442,-6.8543586,47.4720510,-40.5065678,-68.019,-21.656,-180.536,0.0289397,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985888,1,OK,45.2601050,1.6234025,45.2373022,-18.1542769,58.409,-20.131,-189.554,0.0375387,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985888,1,OK,44.7476776,3.2592319,44.6539543,-43.7526859,55.264,-14.897,-185.349,0.0336967,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985888,1,OK,50.5096854,-5.1565971,50.3175541,51.4170744,-68.338,-27.357,-186.118,0.0564794,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985888,1,OK,47.8475827,-6.8607941,47.4723933,-40.5021720,-68.007,-21.656,-180.532,0.0297134,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985896,1,OK,45.2537257,1.6239534,45.2309024,-18.1518494,58.409,-20.140,-189.562,0.0376925,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985896,1,OK,44.7475717,3.2660664,44.6534536,-43.7472124,55.273,-14.897,-185.348,0.0339304,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985896,1,OK,50.5146442,-5.1602266,50.3222751,51.4115136,-68.329,-27.350,-186.122,0.0563718,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985896,1,OK,47.8493945,-6.8572065,47.4746249,-40.5278622,-67.989,-21.649,-180.528,0.0296415,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985904,1,OK,45.2493741,1.6271706,45.2264567,-18.1445303,58.413,-20.145,-189.561,0.0378445,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985904,1,OK,44.7455408,3.2676384,44.6513252,-43.7495611,55.270,-14.898,-185.351,0.0336199,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985904,1,OK,50.5127796,-5.1645690,50.3200723,51.4304782,-68.315,-27.352,-186.117,0.0557139,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985904,1,OK,47.8485810,-6.8595077,47.4735468,-40.4992908,-67.977,-21.657,-180.525,0.0290042,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985912,1,OK,45.2440974,1.6209791,45.2213499,-18.1301241,58.407,-20.149,-189.553,0.0375564,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985912,1,OK,44.7462621,3.2727061,44.6517558,-43.7259896,55.274,-14.895,-185.352,0.0334598,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985912,1,OK,50.5147815,-5.1740803,50.3213741,51.4460862,-68.311,-27.354,-186.121,0.0554140,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985912,1,OK,47.8467838,-6.8615914,47.4714959,-40.4915642,-67.963,-21.662,-180.529,0.0291465,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985920,1,OK,45.2441883,1.6252355,45.2213213,-18.1148078,58.413,-20.141,-189.557,0.0373799,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985920,1,OK,44.7465456,3.2833006,44.6514261,-43.7092128,55.284,-14.895,-185.349,0.0337378,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985920,1,OK,50.5143307,-5.1774295,50.3206685,51.4379147,-68.301,-27.354,-186.120,0.0557366,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985920,1,OK,47.8506968,-6.8640401,47.4751903,-40.5065259,-67.954,-21.659,-180.535,0.0297429,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985928,1,OK,45.2409609,1.6317923,45.2179063,-18.0958592,58.422,-20.146,-189.573,0.0368425,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985928,1,OK,44.7451333,3.2855153,44.6498805,-43.6932829,55.284,-14.890,-185.359,0.0335774,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985928,1,OK,50.5193830,-5.1831563,50.3253250,51.4531395,-68.287,-27.349,-186.114,0.0551522,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985928,1,OK,47.8457645,-6.8680824,47.4697462,-40.4707354,-67.943,-21.667,-180.537,0.0299836,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985936,1,OK,45.2342773,1.6369117,45.2110723,-18.0854954,58.430,-20.153,-189.583,0.0370203,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3985936,1,OK,44.7425081,3.2928479,44.6468199,-43.6768828,55.290,-14.895,-185.374,0.0334414,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985936,1,OK,50.5258586,-5.1793386,50.3321325,51.4449813,-68.269,-27.337,-186.104,0.0556090,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3985936,1,OK,47.8481190,-6.8744283,47.4714306,-40.4730995,-67.940,-21.665,-180.530,0.0299719,0
