Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024096,1,OK,55.1416246,6.4564554,54.8864987,-22.8076540,38.412,-39.726,-217.861,0.0391109,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024096,1,OK,54.3968710,7.9258594,54.0002116,-43.0393916,36.792,-34.754,-212.228,0.0322712,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024096,1,OK,56.9956857,-9.3981545,56.4879077,43.2211852,-47.528,-57.450,-195.769,0.0527888,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024096,1,OK,54.5477536,-10.9633116,53.7857077,-36.8963119,-46.485,-51.754,-189.661,0.0405646,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024104,1,OK,55.0352995,6.5164111,54.7743467,-22.7293312,38.144,-39.368,-217.467,0.0249725,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024104,1,OK,54.3182682,7.9491370,53.9180872,-43.1186535,36.464,-34.341,-211.793,0.0348261,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024104,1,OK,56.6991849,-8.8923707,56.2400830,41.4742499,-49.021,-57.418,-194.993,0.0118950,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024104,1,OK,54.4880462,-10.8124572,53.7455899,-37.9216887,-46.807,-51.825,-189.526,0.0433423,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024112,1,OK,54.9229080,6.3373092,54.6751616,-22.8133855,38.316,-38.980,-216.832,0.0300674,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024112,1,OK,54.1831590,7.8180656,53.7942621,-43.1911762,36.702,-34.073,-211.305,0.0486923,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024112,1,OK,56.5641963,-8.5914221,56.1337965,40.8794494,-50.091,-57.619,-194.687,0.0093329,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024112,1,OK,54.2690019,-10.7028028,53.5358690,-39.5215604,-48.154,-51.884,-189.291,0.0527589,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024120,1,OK,54.9463721,6.1579159,54.7127444,-22.8816415,39.421,-39.318,-216.982,0.0345754,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024120,1,OK,54.1736219,7.5845770,53.8077001,-43.3103435,37.760,-34.361,-211.453,0.0420212,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024120,1,OK,56.4120403,-8.3131018,56.0070415,40.2894166,-51.337,-57.846,-194.494,0.0133318,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024120,1,OK,54.1891915,-10.4662191,53.4866307,-40.5846823,-49.121,-52.067,-188.986,0.0559194,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024128,1,OK,55.1410387,5.8659341,54.9306955,-23.0439931,40.561,-39.818,-217.651,0.0197810,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024128,1,OK,54.3223436,7.3288144,53.9827761,-43.3728660,38.997,-34.953,-212.042,0.0491696,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024128,1,OK,56.3098478,-8.0134890,55.9323518,39.7377143,-52.537,-57.987,-194.117,0.0037979,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024128,1,OK,54.1112493,-10.2524965,53.4356468,-41.5203977,-50.144,-52.290,-188.754,0.0556932,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024136,1,OK,55.3372811,5.7003396,55.1401592,-23.1880588,41.486,-40.372,-218.346,0.0226271,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024136,1,OK,54.5165755,7.1124316,54.1992221,-43.4048162,39.958,-35.535,-212.534,0.0413472,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024136,1,OK,56.1549543,-7.7091068,55.8038061,39.1610333,-53.837,-58.233,-193.980,0.0107469,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024136,1,OK,54.0800857,-9.9802387,53.4397503,-42.1194194,-51.227,-52.502,-188.544,0.0514942,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024144,1,OK,55.4109728,5.6165635,55.2201590,-23.3540616,41.573,-40.574,-218.680,0.0359620,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024144,1,OK,54.6161086,7.0623939,54.3043948,-43.3816412,40.140,-35.731,-212.949,0.0381108,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024144,1,OK,56.0785783,-7.3328671,55.7602429,38.3756027,-55.230,-58.319,-193.733,0.0164197,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024144,1,OK,53.9755745,-9.7403467,53.3637820,-43.1912592,-52.553,-52.750,-188.433,0.0531355,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024152,1,OK,55.3916383,5.7236945,55.1932929,-23.4276317,41.188,-40.585,-218.656,0.0367313,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024152,1,OK,54.5895469,7.1194667,54.2724194,-43.4331469,39.626,-35.698,-212.988,0.0508428,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024152,1,OK,55.8862849,-7.0377404,55.5911246,37.9749176,-57.060,-58.526,-193.200,0.0097649,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024152,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024160,1,OK,55.4428560,5.7521113,55.2429092,-23.5124668,40.814,-40.674,-218.950,0.0319526,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024160,1,OK,54.6720833,7.1312343,54.3548711,-43.5231822,39.352,-35.643,-213.040,0.0389402,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024160,1,OK,55.7074917,-6.5844821,55.4476430,37.6465064,-58.695,-58.767,-192.787,0.0140660,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024160,1,OK,53.8053426,-8.9732779,53.2841189,-44.5013842,-55.618,-53.162,-187.565,0.0426925,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024168,1,OK,55.6717666,5.5732605,55.4857268,-23.6781206,41.604,-40.759,-219.079,0.0369135,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4024168,1,OK,54.8126781,6.9767626,54.5107517,-43.7068175,40.279,-35.941,-213.294,0.0349712,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024168,1,OK,55.7139205,-6.2739920,55.4782113,37.1204635,-60.161,-59.279,-193.093,0.0188118,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4024168,1,OK,53.7862020,-8.6849419,53.2980163,-45.0713816,-56.933,-53.796,-187.857,0.0408372,0
