Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146768,1,OK,53.3105836,11.4624973,52.4367950,14.9157734,34.852,-15.807,-226.857,0.0545843,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146768,1,OK,54.5743544,12.8544684,53.5197038,-7.1210763,27.678,-13.713,-226.916,0.0190566,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146768,1,OK,54.8286994,-19.8474497,52.2367934,4.6608782,-29.109,-10.168,-229.199,0.1147794,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146768,1,OK,56.8492386,-22.9563028,53.5673477,-60.4611324,-21.708,-7.418,-230.104,0.0228646,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146776,1,OK,53.3047085,11.4110484,52.4387361,14.9833601,35.084,-15.779,-226.817,0.0615219,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146776,1,OK,54.5623301,12.7924598,53.5176442,-7.1533146,27.878,-13.675,-226.828,0.0311798,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146776,1,OK,54.8089569,-20.0236567,52.1654989,4.4246655,-28.718,-9.927,-229.316,0.1170885,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146776,1,OK,56.9166598,-22.9940908,53.6317384,-60.4092069,-21.172,-6.994,-229.952,0.0174556,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146784,1,OK,53.2991337,11.3640426,52.4402646,15.0076433,35.318,-15.750,-226.761,0.0717447,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146784,1,OK,54.5422930,12.7397895,53.5056533,-7.1777758,28.089,-13.672,-226.782,0.0422538,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146784,1,OK,54.8321746,-20.1448469,52.1566645,4.0759085,-28.220,-9.622,-229.186,0.1263677,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146784,1,OK,56.8729826,-23.1169253,53.5437670,-60.5801720,-20.704,-6.883,-230.047,0.0207433,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146792,1,OK,53.2811194,11.3407686,52.4252757,14.9509971,35.466,-15.752,-226.771,0.0696798,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146792,1,OK,54.5097119,12.7232568,53.4745745,-7.1405139,28.269,-13.699,-226.817,0.0467232,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146792,1,OK,54.8420111,-20.1856743,52.1558641,4.2575385,-27.981,-9.446,-229.191,0.1120343,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146792,1,OK,56.8447661,-23.2505998,53.4694452,-60.5442608,-20.585,-6.799,-230.166,0.0300969,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146800,1,OK,53.2751992,11.3425237,52.4188979,14.8953019,35.473,-15.714,-226.763,0.0590549,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146800,1,OK,54.4928720,12.7263973,53.4565567,-7.1690128,28.285,-13.668,-226.782,0.0369476,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146800,1,OK,54.8981170,-20.1640714,52.2239002,3.6515676,-28.043,-9.207,-229.072,0.1361169,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146800,1,OK,56.7968558,-23.2895871,53.4026642,-60.6162148,-20.779,-6.857,-230.216,0.0207590,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146808,1,OK,53.2703041,11.3426819,52.4138240,14.8203967,35.434,-15.683,-226.754,0.0519862,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146808,1,OK,54.4915543,12.7415168,53.4526555,-7.1568242,28.267,-13.641,-226.746,0.0269069,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146808,1,OK,54.8469676,-20.1404591,52.1742249,4.9952942,-28.238,-9.370,-229.203,0.0883266,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146808,1,OK,56.8202486,-23.2159340,53.4526750,-60.6337454,-20.851,-6.722,-230.184,0.0168381,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146816,1,OK,53.2616262,11.3630433,52.4017245,14.7362505,35.348,-15.616,-226.675,0.0489788,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146816,1,OK,54.4841015,12.7636184,53.4412039,-7.1817202,28.188,-13.572,-226.656,0.0182822,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146816,1,OK,54.7735111,-20.0504998,52.1188446,4.9475429,-28.474,-9.370,-229.025,0.0966962,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146816,1,OK,56.8528655,-23.1301953,53.5168012,-60.4866261,-21.043,-6.507,-230.067,0.0191610,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146824,1,OK,53.2593928,11.3767798,52.3972931,14.6917843,35.317,-15.517,-226.579,0.0499447,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146824,1,OK,54.4813525,12.7665133,53.4378613,-7.1882921,28.151,-13.480,-226.545,0.0229936,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146824,1,OK,54.6595291,-20.0179322,52.0025270,5.1267802,-28.618,-9.411,-229.018,0.0899212,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146824,1,OK,56.8322983,-23.0833781,53.5082916,-60.5877648,-21.158,-6.338,-230.060,0.0170342,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146832,1,OK,53.2423615,11.3673844,52.3811772,14.6862877,35.300,-15.479,-226.465,0.0554143,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146832,1,OK,54.4643519,12.7773142,53.4183801,-7.2028652,28.170,-13.448,-226.493,0.0249640,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146832,1,OK,54.6981718,-20.0201150,52.0444770,4.6086719,-28.655,-9.152,-229.006,0.1055037,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146832,1,OK,56.7501310,-23.0736113,53.4183688,-60.7076001,-21.183,-6.363,-229.967,0.0188685,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146840,1,OK,53.2224722,11.3671465,52.3606939,14.6324128,35.324,-15.459,-226.402,0.0556388,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4146840,1,OK,54.4612363,12.7671254,53.4168569,-7.2064052,28.172,-13.389,-226.444,0.0267186,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146840,1,OK,54.6596039,-20.0724344,51.9870700,5.4508918,-28.747,-9.174,-229.059,0.0703709,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4146840,1,OK,56.6783464,-23.1259233,53.3204852,-60.8977192,-21.251,-6.435,-230.054,0.0234948,0
