Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757000,1,OK,61.8791045,15.4344967,60.7272249,-11.0017884,57.098,89.509,-318.316,0.0385757,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757000,1,OK,62.8497052,18.4657346,61.2429755,-27.8830950,53.523,93.796,-313.311,0.0260130,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757000,1,OK,90.7522691,3.0241943,-90.7533183,1.5007977,56.491,-35.554,-168.157,0.0417716,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757008,1,OK,61.8795068,15.4366342,60.7273160,-11.0118570,57.103,89.515,-318.321,0.0404437,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757008,1,OK,62.8537204,18.4665662,61.2471198,-27.8662962,53.521,93.803,-313.311,0.0274062,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757008,1,OK,90.7547271,3.0234276,-90.7557792,1.5057043,56.493,-35.559,-168.164,0.0413755,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757016,1,OK,61.8794951,15.4228771,60.7294321,-11.0044304,57.087,89.532,-318.328,0.0399233,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757016,1,OK,62.8583398,18.4642560,61.2524861,-27.8684541,53.518,93.823,-313.330,0.0272537,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757016,1,OK,90.7561503,3.0222304,-90.7572035,1.5085519,56.491,-35.566,-168.155,0.0419834,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757024,1,OK,61.8772455,15.4179400,60.7278359,-11.0147768,57.083,89.525,-318.318,0.0404571,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757024,1,OK,62.8625598,18.4678592,61.2563418,-27.8602659,53.541,93.821,-313.348,0.0269673,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757024,1,OK,90.7553558,3.0226927,-90.7564082,1.5069603,56.495,-35.562,-168.162,0.0412653,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757032,1,OK,61.8839300,15.4161702,60.7351201,-11.0185261,57.084,89.542,-318.326,0.0413139,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757032,1,OK,62.8604348,18.4688159,61.2538926,-27.8650278,53.546,93.810,-313.339,0.0264268,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757032,1,OK,90.7529137,3.0223039,-90.7539624,1.5020859,56.494,-35.558,-168.165,0.0409262,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757040,1,OK,61.8825829,15.4138528,60.7340654,-11.0143478,57.073,89.543,-318.351,0.0419244,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757040,1,OK,62.8610306,18.4654935,61.2551387,-27.8624019,53.540,93.816,-313.344,0.0267557,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757040,1,OK,90.7518366,3.0218654,-90.7528836,1.4999389,56.497,-35.559,-168.177,0.0409849,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757048,1,OK,61.8887655,15.4112103,60.7409575,-11.0037723,57.071,89.558,-318.365,0.0398645,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757048,1,OK,62.8635498,18.4591459,61.2589967,-27.8719360,53.539,93.829,-313.345,0.0277598,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757048,1,OK,90.7525220,3.0209431,-90.7535693,1.5013023,56.496,-35.566,-168.179,0.0411995,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757056,1,OK,61.8846350,15.4123371,60.7364516,-11.0194777,57.063,89.541,-318.350,0.0423323,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757056,1,OK,62.8637478,18.4522050,61.2604789,-27.8844533,53.535,93.837,-313.346,0.0274565,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757056,1,OK,90.7531055,3.0187928,-90.7541521,1.5024689,56.499,-35.566,-168.168,0.0409128,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757064,1,OK,61.8846047,15.4160656,60.7358438,-11.0236070,57.060,89.529,-318.355,0.0441136,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757064,1,OK,62.8622322,18.4547847,61.2583852,-27.8925534,53.537,93.829,-313.328,0.0264681,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757064,1,OK,90.7510883,3.0189077,-90.7521322,1.4984499,56.502,-35.556,-168.172,0.0403512,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757072,1,OK,61.8867730,15.4141770,60.7384097,-11.0221786,57.049,89.528,-318.341,0.0442780,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9757072,1,OK,62.8626559,18.4642436,61.2571069,-27.8932813,53.554,93.827,-313.312,0.0256205,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9757072,1,OK,90.7496352,3.0193597,-90.7506773,1.4955543,56.502,-35.552,-168.167,0.0407948,0
