Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182232,1,OK,57.4447185,9.8257971,56.8984855,11.8656262,40.538,-20.595,-244.697,0.0387603,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182232,1,OK,58.5310596,11.2819179,57.8374788,-7.8156674,33.314,-18.308,-244.307,0.0240964,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182232,1,OK,62.6006739,-14.2929466,61.6478773,30.2483493,-50.364,-5.027,-260.976,0.0217690,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182232,1,OK,60.9887236,-17.1294369,59.5030018,-35.7809917,-46.811,-0.166,-255.198,0.0158365,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182240,1,OK,57.4440507,9.8259368,56.8977877,11.8623628,40.539,-20.598,-244.702,0.0386201,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182240,1,OK,58.5334050,11.2813312,57.8399621,-7.8202447,33.313,-18.303,-244.301,0.0238119,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182240,1,OK,62.6002791,-14.2914221,61.6476759,30.2498373,-50.358,-5.023,-260.967,0.0228800,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182240,1,OK,60.9852031,-17.1292818,59.4992910,-35.7862342,-46.811,-0.172,-255.214,0.0155736,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182248,1,OK,57.4419382,9.8254851,56.8956816,11.8676766,40.537,-20.601,-244.700,0.0383789,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182248,1,OK,58.5318359,11.2789057,57.8386542,-7.8159984,33.306,-18.304,-244.299,0.0240319,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182248,1,OK,62.6038801,-14.2888831,61.6517736,30.2355941,-50.345,-5.013,-260.953,0.0236754,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182248,1,OK,60.9801455,-17.1313290,59.4935477,-35.8144905,-46.813,-0.184,-255.217,0.0157416,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182256,1,OK,57.4432575,9.8254772,56.8970296,11.8643280,40.534,-20.597,-244.704,0.0379874,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182256,1,OK,58.5298197,11.2763294,57.8369059,-7.8080412,33.302,-18.306,-244.312,0.0250604,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182256,1,OK,62.6024164,-14.2840892,61.6509085,30.2515339,-50.334,-5.012,-260.938,0.0229971,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182256,1,OK,60.9786029,-17.1349673,59.4912485,-35.8030956,-46.822,-0.192,-255.224,0.0155783,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182264,1,OK,57.4405587,9.8273734,56.8940596,11.8736491,40.535,-20.602,-244.710,0.0373612,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182264,1,OK,58.5297267,11.2762417,57.8368213,-7.8093290,33.298,-18.304,-244.320,0.0247757,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182264,1,OK,62.6068640,-14.2861886,61.6552501,30.2655130,-50.338,-5.005,-260.950,0.0231562,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182264,1,OK,60.9844959,-17.1329803,59.4978684,-35.7869292,-46.820,-0.185,-255.233,0.0168367,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182272,1,OK,57.4383417,9.8291605,56.8915939,11.8813990,40.535,-20.610,-244.714,0.0364870,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182272,1,OK,58.5281801,11.2760278,57.8352593,-7.8118588,33.298,-18.309,-244.324,0.0251217,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182272,1,OK,62.6133077,-14.2822692,61.6624963,30.2599872,-50.335,-4.994,-260.951,0.0225391,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182272,1,OK,60.9933995,-17.1293578,59.5079821,-35.7493828,-46.815,-0.172,-255.219,0.0155565,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182280,1,OK,57.4372622,9.8278878,56.8906353,11.8846721,40.534,-20.610,-244.723,0.0355193,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182280,1,OK,58.5283551,11.2768192,57.8353398,-7.8152487,33.298,-18.306,-244.319,0.0252841,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182280,1,OK,62.6175376,-14.2848355,61.6665472,30.2573869,-50.348,-4.987,-260.960,0.0206943,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182280,1,OK,60.9959598,-17.1255551,59.5113912,-35.7346653,-46.803,-0.164,-255.199,0.0151596,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182288,1,OK,57.4369056,9.8267517,56.8903995,11.8791229,40.536,-20.611,-244.717,0.0356799,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182288,1,OK,58.5237775,11.2752284,57.8308365,-7.8055995,33.297,-18.312,-244.320,0.0261677,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182288,1,OK,62.6212409,-14.2859327,61.6702517,30.2526446,-50.351,-4.975,-260.961,0.0203467,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182288,1,OK,60.9949178,-17.1276990,59.5098956,-35.7288863,-46.804,-0.167,-255.192,0.0153970,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182296,1,OK,57.4353617,9.8250786,56.8890119,11.8732213,40.533,-20.611,-244.726,0.0362033,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182296,1,OK,58.5253244,11.2730716,57.8326961,-7.8036905,33.295,-18.312,-244.309,0.0261672,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182296,1,OK,62.6274342,-14.2823645,61.6771886,30.2232660,-50.340,-4.956,-260.951,0.0200433,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182296,1,OK,60.9914674,-17.1281966,59.5061409,-35.7362499,-46.799,-0.171,-255.187,0.0162111,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182304,1,OK,57.4324663,9.8255930,56.8859971,11.8837826,40.535,-20.617,-244.714,0.0353659,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4182304,1,OK,58.5213992,11.2731824,57.8286496,-7.8097606,33.295,-18.322,-244.311,0.0259505,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182304,1,OK,62.6317399,-14.2770223,61.6824034,30.2250509,-50.327,-4.945,-260.927,0.0191774,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4182304,1,OK,60.9872258,-17.1264584,59.5019517,-35.7247059,-46.798,-0.184,-255.173,0.0163013,0
