Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095432,1,OK,52.0446965,0.4618820,52.0432442,-22.2576939,59.405,-12.069,-224.253,0.0340670,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095432,1,OK,51.9028718,2.2385111,51.8685578,-44.3823974,59.468,-7.026,-218.571,0.0337304,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095432,1,OK,89.6022237,3.4418710,-89.6015049,-0.7741702,57.901,-35.670,-168.166,0.0355146,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095440,1,OK,52.2312138,0.4977779,52.2295384,-22.2490920,59.292,-12.358,-224.757,0.0274014,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095440,1,OK,52.0127689,2.2962489,51.9768028,-44.3915852,59.376,-7.496,-219.115,0.0326968,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095440,1,OK,89.6021259,3.4429027,-89.6014065,-0.7743661,57.900,-35.668,-168.158,0.0356527,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095448,1,OK,52.2669530,0.5589074,52.2648435,-22.3187063,59.056,-12.430,-224.901,0.0268559,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095448,1,OK,52.0996423,2.4016152,52.0604193,-44.2935297,59.233,-7.485,-219.317,0.0372068,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095448,1,OK,89.6023322,3.4432928,-89.6016130,-0.7739788,57.898,-35.669,-168.156,0.0361940,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095456,1,OK,52.1837670,0.5853398,52.1814463,-22.2872053,58.731,-12.322,-224.695,0.0196455,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095456,1,OK,52.0581792,2.4398718,52.0176348,-44.4236529,58.986,-7.297,-219.105,0.0313273,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095456,1,OK,89.6008283,3.4445734,-89.6001058,-0.7769220,57.901,-35.660,-168.150,0.0353899,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095464,1,OK,52.1197323,0.6401141,52.1169505,-22.4877370,58.491,-12.021,-224.360,0.0247655,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095464,1,OK,51.9583525,2.4116485,51.9185991,-44.6949439,58.633,-7.055,-218.717,0.0306616,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095464,1,OK,89.6002850,3.4450430,-89.5995614,-0.7779761,57.902,-35.658,-168.152,0.0350417,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095472,1,OK,52.0402875,0.6780270,52.0371574,-22.5276813,58.391,-11.648,-223.934,0.0252960,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095472,1,OK,51.8440324,2.4683867,51.8022129,-44.8197370,58.490,-6.750,-218.353,0.0361060,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095472,1,OK,89.5991818,3.4440401,-89.5984566,-0.7801191,57.897,-35.663,-168.153,0.0356945,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095480,1,OK,51.9033809,0.8018460,51.8989814,-22.6409103,58.281,-11.253,-223.508,0.0260728,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095480,1,OK,51.6897101,2.5711254,51.6440806,-44.9765468,58.363,-6.348,-217.981,0.0342680,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095480,1,OK,89.5966411,3.4461297,-89.5959104,-0.7850484,57.895,-35.658,-168.158,0.0348429,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095488,1,OK,51.7805330,0.8284311,51.7758162,-22.7469836,57.850,-10.883,-223.059,0.0248705,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095488,1,OK,51.5865157,2.6333675,51.5384699,-45.2341556,58.054,-5.860,-217.457,0.0312774,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095488,1,OK,89.5955636,3.4472779,-89.5948305,-0.7871347,57.895,-35.659,-168.156,0.0344210,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095496,1,OK,51.7148448,0.9114242,51.7091219,-22.8126777,57.506,-10.731,-222.768,0.0255573,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095496,1,OK,51.4668888,2.6965221,51.4162913,-45.4000124,57.706,-5.768,-217.179,0.0337004,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095496,1,OK,89.5967820,3.4497970,-89.5960500,-0.7847524,57.895,-35.663,-168.160,0.0338570,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095504,1,OK,51.7478555,0.9888138,51.7411273,-22.8419148,57.353,-10.648,-222.803,0.0214805,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2095504,1,OK,51.4776045,2.7657215,51.4243936,-45.3065847,57.440,-5.779,-217.219,0.0348231,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2095504,1,OK,89.6004055,3.4481389,-89.5996807,-0.7776951,57.889,-35.674,-168.156,0.0341333,0
