Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265888,1,OK,45.6961641,5.2463724,45.4604396,-35.4774054,43.639,1.521,-202.029,0.0337118,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265888,1,OK,45.6157898,6.1546711,45.2897825,-60.3234742,45.580,6.597,-197.172,0.0294016,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265888,1,OK,50.2629189,-11.0832574,49.3516089,71.1995940,-56.642,-9.781,-195.363,0.0361152,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265888,1,OK,46.7278585,-10.9413513,45.7207943,-13.5849380,-61.046,-5.486,-190.201,0.0191419,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265896,1,OK,45.6411727,5.1951659,45.4096062,-35.6699864,43.870,1.110,-201.523,0.0354668,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265896,1,OK,45.5677632,6.0503817,45.2522601,-60.5191309,45.823,6.215,-196.523,0.0307136,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265896,1,OK,50.1380970,-10.9545860,49.2442877,71.5832546,-56.931,-10.126,-194.792,0.0332566,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265896,1,OK,46.5789954,-10.8805885,45.5780674,-13.4986936,-61.435,-5.979,-189.551,0.0204796,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265904,1,OK,45.5868916,5.1150608,45.3620211,-35.8065289,44.168,0.812,-200.987,0.0356995,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265904,1,OK,45.5003595,5.9731279,45.1921915,-60.6155734,46.101,5.906,-196.051,0.0293279,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265904,1,OK,50.0344203,-10.8048053,49.1621680,71.8205095,-57.353,-10.304,-193.972,0.0325783,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265904,1,OK,46.3895003,-10.7224688,45.4115595,-13.3645583,-61.931,-6.299,-188.821,0.0225177,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265912,1,OK,45.5213606,5.0059439,45.3055346,-35.8378803,44.353,0.579,-200.357,0.0381035,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265912,1,OK,45.4489986,5.8887014,45.1490011,-60.7757050,46.386,5.677,-195.459,0.0305270,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265912,1,OK,49.8455215,-10.6420762,48.9941416,72.1861360,-57.710,-10.606,-193.118,0.0314573,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265912,1,OK,46.2495334,-10.5763418,45.2939273,-13.1936891,-62.345,-6.500,-187.966,0.0262246,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265920,1,OK,45.4258291,4.8832710,45.2198132,-35.9463034,44.438,0.276,-199.582,0.0359898,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265920,1,OK,45.3999639,5.8707608,45.1012908,-60.7802474,46.605,5.445,-194.870,0.0293088,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265920,1,OK,49.7584373,-10.5115444,48.9256461,72.2785012,-57.956,-10.839,-192.329,0.0331528,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265920,1,OK,46.1401686,-10.4084612,45.2117237,-13.1361189,-62.540,-6.753,-187.150,0.0298164,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265928,1,OK,45.3343964,4.8763227,45.1283102,-36.0458121,44.468,-0.138,-198.998,0.0386454,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265928,1,OK,45.3124190,5.8431089,45.0156621,-60.9298485,46.627,5.049,-194.166,0.0335243,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265928,1,OK,49.6537246,-10.4138229,48.8335869,72.4739305,-58.260,-11.308,-191.477,0.0351030,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265928,1,OK,46.0114990,-10.2956437,45.0993492,-13.0922114,-62.837,-7.180,-186.372,0.0276928,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265936,1,OK,45.3137367,4.8170156,45.1125107,-35.9204976,44.492,-0.266,-198.008,0.0427543,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265936,1,OK,45.2969822,5.7139343,45.0131337,-60.9979045,46.569,4.909,-193.214,0.0340043,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265936,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265936,1,OK,45.9489211,-10.1310463,45.0643481,-13.0337276,-63.442,-7.659,-185.653,0.0213726,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265944,1,OK,45.2688864,4.8600597,45.0637087,-36.0488354,44.405,-0.817,-197.416,0.0368961,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265944,1,OK,45.2361474,5.7802891,44.9450023,-61.0469283,46.461,4.356,-192.701,0.0336753,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265944,1,OK,49.5487390,-9.9815300,48.7936870,72.7716119,-59.422,-12.435,-190.141,0.0400331,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265944,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265952,1,OK,45.2248701,4.8219838,45.0225983,-36.1418935,44.407,-1.259,-196.835,0.0344392,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265952,1,OK,45.1828154,5.7294556,44.8962670,-61.1084774,46.474,3.903,-192.013,0.0308865,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265952,1,OK,49.5297591,-9.8186694,48.7990897,72.9258733,-60.035,-13.076,-189.604,0.0386214,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265952,1,OK,45.9383059,-9.6918428,45.1298987,-12.1302289,-64.837,-8.925,-184.650,0.0357589,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265960,1,OK,45.1952427,4.8190414,44.9930090,-36.1981299,44.314,-1.594,-196.345,0.0395839,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2265960,1,OK,45.1309227,5.7379761,44.8429919,-61.2031811,46.372,3.536,-191.439,0.0280739,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265960,1,OK,49.5417061,-9.6162435,48.8416670,72.7400187,-60.584,-13.627,-188.947,0.0474038,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2265960,1,OK,45.9509022,-9.4656935,45.1808048,-11.9911059,-65.343,-9.407,-183.975,0.0301792,0
