Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487200,1,OK,43.7760268,0.1050776,43.7759262,21.7608026,69.109,-19.226,-187.725,0.0416768,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487200,1,OK,45.1905255,1.3752790,45.1741231,-7.4501325,62.149,-17.328,-186.377,0.0337879,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487200,1,OK,48.0161586,-5.8785347,47.7429969,17.9477559,-66.489,-26.956,-184.130,0.0422396,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487200,1,OK,46.8162236,-8.7521665,46.1793565,-74.3744575,-59.568,-23.347,-182.055,0.0298164,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487208,1,OK,43.7765224,0.1107153,43.7764107,21.7712575,69.119,-19.231,-187.726,0.0418281,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487208,1,OK,45.1937734,1.3827157,45.1771950,-7.4229986,62.157,-17.334,-186.374,0.0342656,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487208,1,OK,48.0385950,-5.8792079,47.7655863,17.9266426,-66.493,-26.952,-184.127,0.0415294,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487208,1,OK,46.8438504,-8.7399447,46.2094075,-74.3005854,-59.557,-23.327,-182.036,0.0287617,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487216,1,OK,43.7797015,0.1135707,43.7795841,21.8006755,69.119,-19.226,-187.723,0.0416965,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487216,1,OK,45.1971584,1.3847602,45.1805329,-7.3993487,62.156,-17.334,-186.377,0.0339356,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487216,1,OK,48.0665828,-5.8756805,47.7941727,17.9333452,-66.487,-26.942,-184.121,0.0410668,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487216,1,OK,46.8670030,-8.7389894,46.2332197,-74.2639041,-59.559,-23.323,-182.025,0.0279324,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487224,1,OK,43.7846627,0.1067938,43.7845588,21.8144123,69.108,-19.221,-187.710,0.0419872,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487224,1,OK,45.2005414,1.3864400,45.1838775,-7.3770080,62.156,-17.333,-186.381,0.0342324,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487224,1,OK,48.0954862,-5.8765388,47.8232736,17.9513827,-66.486,-26.932,-184.115,0.0405389,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487224,1,OK,46.8972328,-8.7355641,46.2646301,-74.1899029,-59.558,-23.303,-182.007,0.0292631,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487232,1,OK,43.7919426,0.1019780,43.7918479,21.8308401,69.103,-19.211,-187.700,0.0417647,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487232,1,OK,45.2096178,1.3921466,45.1928217,-7.3430188,62.162,-17.331,-186.387,0.0344878,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487232,1,OK,48.1216687,-5.8740327,47.8499407,17.9876738,-66.481,-26.929,-184.108,0.0406451,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487232,1,OK,46.9296378,-8.7224567,46.2996826,-74.1324107,-59.546,-23.281,-181.987,0.0305466,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487240,1,OK,43.7997844,0.1012997,43.7996910,21.8475167,69.101,-19.200,-187.696,0.0420603,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487240,1,OK,45.2154235,1.3949938,45.1985620,-7.3092702,62.165,-17.328,-186.381,0.0346194,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487240,1,OK,48.1455715,-5.8773196,47.8737666,17.9936150,-66.483,-26.928,-184.106,0.0409459,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487240,1,OK,46.9674298,-8.7216875,46.3384284,-74.0494795,-59.545,-23.254,-181.970,0.0313665,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487248,1,OK,43.8000238,0.0996413,43.7999335,21.8672515,69.095,-19.203,-187.690,0.0426347,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487248,1,OK,45.2209261,1.3935969,45.2041016,-7.2748722,62.161,-17.325,-186.375,0.0341288,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487248,1,OK,48.1765813,-5.8815918,47.9046760,18.0470479,-66.483,-26.917,-184.098,0.0417838,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487248,1,OK,46.9956365,-8.7129529,46.3685388,-73.9997795,-59.539,-23.234,-181.958,0.0317351,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487256,1,OK,43.8048394,0.0972637,43.8047533,21.8973043,69.090,-19.197,-187.672,0.0430507,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487256,1,OK,45.2251839,1.3951515,45.2083243,-7.2439805,62.159,-17.325,-186.364,0.0339697,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487256,1,OK,48.2048436,-5.8798370,47.9333724,18.0614242,-66.480,-26.904,-184.088,0.0420362,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487256,1,OK,47.0170899,-8.7102380,46.3908639,-73.9533324,-59.535,-23.225,-181.944,0.0325828,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487264,1,OK,43.8099961,0.0939538,43.8099158,21.9279180,69.081,-19.191,-187.664,0.0432576,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487264,1,OK,45.2319285,1.3941842,45.2150962,-7.2054648,62.150,-17.321,-186.357,0.0341161,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487264,1,OK,48.2242494,-5.8800469,47.9529445,18.0603622,-66.478,-26.898,-184.074,0.0423049,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487264,1,OK,47.0420548,-8.7094262,46.4164997,-73.9054962,-59.533,-23.209,-181.933,0.0341009,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487272,1,OK,43.8136398,0.0946063,43.8135584,21.9648972,69.080,-19.188,-187.664,0.0435530,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9487272,1,OK,45.2399214,1.3933735,45.2231134,-7.1786594,62.142,-17.314,-186.351,0.0332110,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487272,1,OK,48.2411658,-5.8772725,47.9702802,18.0728494,-66.469,-26.890,-184.059,0.0424088,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9487272,1,OK,47.0642057,-8.7117644,46.4387997,-73.8615872,-59.527,-23.195,-181.913,0.0347514,0
