Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450304,1,OK,54.9278341,1.7716621,54.9085933,-35.5265434,57.615,-14.393,-234.057,0.0241791,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450304,1,OK,53.3299402,2.5858050,53.2864458,-53.8881100,58.731,-9.503,-228.281,0.0411867,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450304,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450312,1,OK,55.5218051,1.8147690,55.5020580,-34.8684812,57.481,-15.035,-236.565,0.0361147,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450312,1,OK,53.9551731,2.6757792,53.9096488,-52.9040031,58.515,-10.173,-230.763,0.0378064,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450312,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450336,1,OK,57.4645573,2.1811646,57.4380521,-32.6910979,55.623,-17.599,-242.712,0.0338055,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450336,1,OK,55.9060667,3.1745938,55.8464380,-49.8662550,56.700,-13.117,-236.845,0.0396244,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450336,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450352,1,OK,58.9798986,3.1141510,58.9289307,-30.9428053,52.172,-19.774,-247.020,0.0170254,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450352,1,OK,57.3082897,4.2666216,57.2060409,-47.6618106,53.012,-15.981,-240.734,0.0523981,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450352,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450368,1,OK,60.2552688,4.3911399,60.1588338,-29.1222242,48.840,-22.024,-251.736,0.0345269,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450368,1,OK,58.7763543,5.4082713,58.6209214,-45.1659503,49.316,-17.899,-245.374,0.0448400,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450368,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450376,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450376,1,OK,59.2687487,5.9880645,59.0816928,-44.2878715,47.685,-18.250,-246.911,0.0408506,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450376,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450392,1,OK,61.0059013,5.6527235,60.8506265,-28.1459132,45.332,-22.893,-254.424,0.0436938,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450392,1,OK,59.5729811,6.7870462,59.3352047,-43.7173179,45.682,-18.652,-247.891,0.0382516,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450392,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450400,1,OK,61.0092804,5.7731002,60.8473109,-28.2200586,44.932,-22.739,-254.258,0.0390834,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450400,1,OK,59.5774535,6.9210939,59.3301661,-43.7552127,45.305,-18.543,-247.835,0.0387596,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450400,1,OK,88.7434391,2.6256647,-88.7421183,-2.5129664,53.687,-35.309,-168.127,0.0384368,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450408,1,OK,60.9019048,5.8244970,60.7362928,-28.3535558,44.907,-22.451,-253.934,0.0423761,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450408,1,OK,59.4322475,6.9654263,59.1802984,-43.9887939,45.216,-18.272,-247.486,0.0314522,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450408,1,OK,88.7463469,2.6269013,-88.7450280,-2.5071511,53.681,-35.313,-168.132,0.0384924,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450416,1,OK,60.6341669,5.7456894,60.4712489,-28.7360694,44.941,-22.076,-252.916,0.0362566,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4450416,1,OK,59.1739141,6.9198586,58.9227013,-44.3826422,45.419,-17.845,-246.574,0.0379770,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4450416,1,OK,88.7461680,2.6252672,-88.7448505,-2.5075111,53.680,-35.310,-168.128,0.0386740,0
