Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524024,1,OK,41.8697252,2.4227080,41.8125031,-41.0197008,55.693,-1.203,-192.920,0.0334602,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524024,1,OK,40.6405795,2.8172814,40.5597357,-66.0884386,55.923,4.851,-188.457,0.0416537,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524024,1,OK,90.2648916,3.0367841,-90.2652641,-0.5221391,53.606,-34.984,-168.889,0.0264317,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524032,1,OK,41.8836048,2.4388898,41.8256430,-41.0692863,55.692,-1.208,-192.930,0.0326463,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524032,1,OK,40.6552651,2.8311930,40.5736618,-66.1279121,55.939,4.848,-188.452,0.0425275,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524032,1,OK,90.2662055,3.0351256,-90.2665795,-0.5247187,53.609,-34.979,-168.887,0.0263126,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524040,1,OK,41.8990885,2.4629698,41.8400071,-41.1002038,55.705,-1.216,-192.938,0.0321966,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524040,1,OK,40.6716909,2.8519992,40.5889296,-66.1600039,55.963,4.843,-188.442,0.0430859,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524040,1,OK,90.2640335,3.0348400,-90.2644043,-0.5204334,53.607,-34.975,-168.894,0.0255487,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524048,1,OK,41.9160471,2.4887598,41.8557562,-41.1150496,55.716,-1.226,-192.939,0.0318511,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524048,1,OK,40.6901772,2.8789942,40.6058939,-66.1566214,55.982,4.837,-188.440,0.0425618,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524048,1,OK,90.2659553,3.0351983,-90.2663289,-0.5242203,53.609,-34.977,-168.909,0.0264328,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524056,1,OK,41.9451307,2.5144025,41.8836520,-41.1455062,55.728,-1.216,-192.927,0.0322482,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524056,1,OK,40.7144136,2.9087821,40.6284474,-66.1526271,56.008,4.832,-188.456,0.0422647,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524056,1,OK,90.2670262,3.0341983,-90.2674011,-0.5263265,53.615,-34.972,-168.908,0.0275705,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524064,1,OK,41.9780768,2.5454900,41.9151393,-41.1381839,55.754,-1.207,-192.926,0.0316106,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524064,1,OK,40.7418441,2.9286331,40.6547828,-66.1507888,56.027,4.836,-188.441,0.0430743,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524064,1,OK,90.2631907,3.0338868,-90.2635601,-0.5187653,53.618,-34.959,-168.908,0.0274630,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524072,1,OK,42.0064266,2.5711024,41.9422782,-41.1058559,55.775,-1.199,-192.919,0.0310558,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524072,1,OK,40.7704635,2.9469315,40.6823978,-66.1128523,56.036,4.842,-188.425,0.0438577,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524072,1,OK,90.2636850,3.0328530,-90.2640548,-0.5197333,53.622,-34.961,-168.904,0.0265578,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524080,1,OK,42.0292421,2.5898621,41.9642050,-41.0454571,55.796,-1.200,-192.923,0.0303665,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524080,1,OK,40.7978452,2.9697925,40.7084916,-66.0433675,56.052,4.853,-188.408,0.0442355,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524080,1,OK,90.2636125,3.0319434,-90.2639820,-0.5195883,53.622,-34.959,-168.897,0.0265669,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524088,1,OK,42.0483974,2.6096437,41.9824059,-40.9601906,55.827,-1.198,-192.929,0.0301295,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524088,1,OK,40.8201717,2.9901465,40.7296581,-65.9691527,56.061,4.860,-188.397,0.0453649,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524088,1,OK,90.2627980,3.0318444,-90.2631664,-0.5179862,53.623,-34.957,-168.896,0.0267801,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524096,1,OK,42.0656823,2.6169878,41.9993586,-40.8324327,55.847,-1.187,-192.920,0.0296793,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524096,1,OK,40.8382601,2.9988556,40.7472755,-65.8450290,56.059,4.876,-188.375,0.0457043,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524096,1,OK,90.2614664,3.0308886,-90.2618327,-0.5153523,53.626,-34.955,-168.891,0.0271691,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524104,1,OK,42.0685849,2.6194575,42.0021426,-40.6993118,55.873,-1.185,-192.912,0.0300408,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524104,1,OK,40.8455909,3.0057241,40.7542118,-65.7096306,56.053,4.881,-188.363,0.0456225,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524104,1,OK,90.2620470,3.0319077,-90.2624143,-0.5164986,53.624,-34.957,-168.896,0.0272380,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524112,1,OK,42.0675518,2.6138701,42.0013907,-40.5598681,55.894,-1.180,-192.900,0.0306738,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524112,1,OK,40.8456853,3.0074888,40.7541990,-65.5818248,56.046,4.888,-188.357,0.0449620,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524112,1,OK,90.2616072,3.0321793,-90.2619740,-0.5156402,53.622,-34.961,-168.892,0.0267807,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524120,1,OK,42.0631211,2.5978638,41.9977588,-40.4484720,55.902,-1.170,-192.879,0.0313326,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524120,1,OK,40.8398130,2.9979596,40.7488879,-65.4670976,56.027,4.891,-188.359,0.0447268,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524120,1,OK,90.2615055,3.0331751,-90.2618723,-0.5154486,53.619,-34.963,-168.882,0.0267733,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524128,1,OK,42.0562017,2.5816584,41.9916378,-40.3130367,55.911,-1.160,-192.882,0.0318409,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524128,1,OK,40.8335513,2.9863152,40.7433126,-65.3591120,56.009,4.900,-188.353,0.0449384,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524128,1,OK,90.2620560,3.0341491,-90.2624239,-0.5165320,53.620,-34.963,-168.876,0.0264162,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524136,1,OK,42.0378521,2.5637786,41.9741396,-40.1901362,55.921,-1.166,-192.887,0.0316845,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524136,1,OK,40.8221932,2.9799254,40.7323049,-65.2365301,55.997,4.904,-188.351,0.0446230,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524136,1,OK,90.2594719,3.0349023,-90.2598364,-0.5114377,53.620,-34.959,-168.874,0.0259056,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524144,1,OK,42.0211747,2.5383901,41.9586830,-40.1069462,55.916,-1.167,-192.879,0.0322401,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524144,1,OK,40.8068225,2.9738641,40.7172517,-65.1505575,55.986,4.899,-188.357,0.0439529,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524144,1,OK,90.2608927,3.0350261,-90.2612592,-0.5142363,53.621,-34.961,-168.879,0.0261485,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524152,1,OK,42.0050925,2.5155017,41.9436896,-40.0421093,55.906,-1.174,-192.875,0.0329168,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524152,1,OK,40.7955113,2.9726712,40.7059767,-65.0839846,55.988,4.895,-188.366,0.0436024,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524152,1,OK,90.2599184,3.0359436,-90.2602837,-0.5123219,53.619,-34.959,-168.879,0.0261715,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524160,1,OK,41.9963202,2.5072845,41.9352995,-39.9753401,55.913,-1.177,-192.879,0.0331790,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524160,1,OK,40.7821786,2.9603090,40.6933468,-65.0344097,55.971,4.886,-188.369,0.0435258,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524160,1,OK,90.2585333,3.0361682,-90.2588967,-0.5095947,53.617,-34.955,-168.878,0.0264250,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524168,1,OK,41.9962883,2.4973857,41.9357491,-39.8903694,55.909,-1.176,-192.879,0.0322382,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524168,1,OK,40.7814199,2.9624415,40.6924574,-64.9702287,55.974,4.888,-188.372,0.0431910,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524168,1,OK,90.2584284,3.0360875,-90.2587916,-0.5093839,53.619,-34.952,-168.871,0.0270978,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524176,1,OK,41.9906376,2.4950601,41.9301993,-39.8434003,55.915,-1.184,-192.873,0.0327595,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524176,1,OK,40.7816028,2.9679231,40.6923106,-64.9142750,55.973,4.884,-188.381,0.0427962,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524176,1,OK,90.2581985,3.0372708,-90.2585617,-0.5089332,53.617,-34.950,-168.878,0.0270533,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524184,1,OK,41.9931521,2.4906534,41.9329327,-39.7924595,55.914,-1.182,-192.862,0.0331699,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524184,1,OK,40.7821682,2.9757408,40.6924059,-64.8478677,55.973,4.882,-188.380,0.0424287,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524184,1,OK,90.2578639,3.0359129,-90.2582263,-0.5082682,53.615,-34.954,-168.870,0.0261122,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524192,1,OK,41.9971580,2.4918416,41.9368895,-39.7511715,55.918,-1.180,-192.857,0.0331055,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4524192,1,OK,40.7858372,2.9822810,40.6956907,-64.7973318,55.973,4.879,-188.383,0.0427189,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4524192,1,OK,90.2594352,3.0348866,-90.2597996,-0.5113606,53.616,-34.959,-168.865,0.0269763,0
