Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656944,1,OK,49.2712846,13.7799897,47.7927152,26.5952450,27.038,-7.698,-213.892,0.0432061,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656944,1,OK,51.0451080,14.8803407,49.4188657,2.7642956,20.123,-6.829,-216.221,0.0216411,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656944,1,OK,52.6153247,-12.6851242,51.5117587,22.1670229,-45.046,-23.288,-212.587,0.0348581,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656944,1,OK,52.9102798,-16.0374459,51.1351294,-59.7868201,-38.457,-19.049,-210.178,0.0318927,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656952,1,OK,49.2689615,13.7826034,47.7896865,26.6045520,27.039,-7.700,-213.895,0.0426663,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656952,1,OK,51.0384358,14.8852494,49.4106792,2.7812685,20.122,-6.838,-216.225,0.0225042,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656952,1,OK,52.6142859,-12.6873180,51.5102852,22.1544891,-45.049,-23.290,-212.581,0.0346929,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656952,1,OK,52.9151796,-16.0347621,51.1409740,-59.7714449,-38.454,-19.039,-210.180,0.0295718,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656960,1,OK,49.2657298,13.7861738,47.7854876,26.6227439,27.034,-7.706,-213.903,0.0416371,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656960,1,OK,51.0387340,14.8893900,49.4100521,2.7654967,20.122,-6.840,-216.228,0.0216483,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656960,1,OK,52.6142534,-12.6915353,51.5094963,22.1490083,-45.062,-23.293,-212.587,0.0341361,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656960,1,OK,52.9192782,-16.0357659,51.1451104,-59.7583997,-38.462,-19.035,-210.180,0.0286668,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656968,1,OK,49.2641466,13.7878250,47.7834522,26.6138362,27.033,-7.712,-213.884,0.0422734,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656968,1,OK,51.0330366,14.8872450,49.4045042,2.7591216,20.112,-6.846,-216.232,0.0218774,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656968,1,OK,52.6103285,-12.6930912,51.5051334,22.1240723,-45.067,-23.302,-212.586,0.0329409,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656968,1,OK,52.9217975,-16.0324645,51.1485601,-59.7393852,-38.457,-19.026,-210.166,0.0285289,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656976,1,OK,49.2595034,13.7919102,47.7776509,26.6286516,27.034,-7.717,-213.893,0.0412463,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656976,1,OK,51.0367246,14.8879929,49.4082413,2.7493678,20.114,-6.837,-216.219,0.0227053,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656976,1,OK,52.6138047,-12.6935398,51.5086703,22.1275144,-45.068,-23.290,-212.581,0.0334600,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656976,1,OK,52.9272397,-16.0290889,51.1551419,-59.7365684,-38.454,-19.008,-210.148,0.0281555,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656984,1,OK,49.2623036,13.7904680,47.7809220,26.5997321,27.033,-7.710,-213.890,0.0425782,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656984,1,OK,51.0327029,14.8925931,49.4029319,2.7414142,20.115,-6.848,-216.229,0.0218028,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656984,1,OK,52.6173984,-12.6953301,51.5120892,22.1233402,-45.074,-23.277,-212.586,0.0338154,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656984,1,OK,52.9327150,-16.0275975,51.1613228,-59.7228803,-38.459,-18.992,-210.145,0.0275835,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656992,1,OK,49.2593194,13.7892327,47.7780534,26.6033971,27.024,-7.710,-213.900,0.0416079,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3656992,1,OK,51.0325042,14.9030827,49.4003297,2.7358202,20.128,-6.854,-216.244,0.0200386,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656992,1,OK,52.6212312,-12.6930613,51.5164839,22.1158672,-45.075,-23.259,-212.584,0.0334839,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3656992,1,OK,52.9416185,-16.0223946,51.1720152,-59.7098180,-38.461,-18.961,-210.140,0.0271628,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3657000,1,OK,49.2569511,13.7851452,47.7764687,26.5948866,27.018,-7.712,-213.917,0.0416398,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3657000,1,OK,51.0304387,14.9001619,49.3988072,2.7300231,20.117,-6.849,-216.238,0.0197620,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3657000,1,OK,52.6172216,-12.6894227,51.5129631,22.1355896,-45.079,-23.253,-212.577,0.0336352,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3657000,1,OK,52.9463264,-16.0148141,51.1787839,-59.6936253,-38.461,-18.937,-210.131,0.0256986,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3657008,1,OK,49.2506830,13.7920880,47.7683188,26.6098904,27.023,-7.722,-213.938,0.0409624,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3657008,1,OK,51.0323984,14.8995611,49.4010208,2.7063458,20.118,-6.842,-216.251,0.0196330,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3657008,1,OK,52.6137487,-12.6910711,51.5090541,22.1620549,-45.090,-23.248,-212.584,0.0347043,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3657008,1,OK,52.9465006,-16.0104777,51.1799710,-59.6938847,-38.465,-18.922,-210.125,0.0249684,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3657016,1,OK,49.2524117,13.7932062,47.7698908,26.6069999,27.025,-7.719,-213.935,0.0411532,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3657016,1,OK,51.0322390,14.9002909,49.4006854,2.6920392,20.119,-6.844,-216.248,0.0190499,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3657016,1,OK,52.6189114,-12.6905060,51.5145275,22.1849393,-45.096,-23.223,-212.580,0.0362566,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3657016,1,OK,52.9520470,-16.0119801,51.1855347,-59.6868174,-38.476,-18.901,-210.129,0.0246899,0
