Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354056,1,OK,55.0959371,8.7032308,54.6289310,-26.5140686,40.809,1.750,-244.388,0.0369358,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354056,1,OK,54.2329567,10.0418096,53.5882241,-46.5312350,39.911,6.694,-238.720,0.0352412,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354056,1,OK,88.8407509,1.8012291,-88.8401778,-2.1408665,53.839,-35.399,-168.060,0.0415723,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354064,1,OK,55.2060303,8.5410529,54.7583244,-26.5299835,41.491,2.342,-245.354,0.0359544,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354064,1,OK,54.3148216,9.9012315,53.6902133,-46.4442309,40.620,7.232,-239.678,0.0299766,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354064,1,OK,88.8388601,1.8021273,-88.8382854,-2.1443759,53.844,-35.389,-168.054,0.0409999,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354072,1,OK,55.2621091,8.4149893,54.8285875,-26.5715412,42.213,3.273,-246.501,0.0379054,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354072,1,OK,54.3911051,9.7395002,53.7887696,-46.3951590,41.312,8.252,-240.866,0.0298518,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354072,1,OK,88.8378235,1.8021489,-88.8372483,-2.1462743,53.843,-35.388,-168.050,0.0405014,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354080,1,OK,55.3015600,8.3528769,54.8751194,-26.4263173,42.926,4.886,-248.021,0.0352415,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354080,1,OK,54.4180880,9.6102155,53.8324730,-46.4027896,41.940,9.826,-242.249,0.0365869,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354080,1,OK,88.8391378,1.7980738,-88.8385659,-2.1438995,53.839,-35.397,-168.042,0.0409113,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354088,1,OK,55.4067830,8.1229249,55.0053389,-26.6010595,43.547,7.364,-249.351,0.0314583,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354088,1,OK,54.4792375,9.6536717,53.8895725,-46.4036876,42.985,12.017,-243.664,0.0398063,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354088,1,OK,88.8408999,1.7962785,-88.8403299,-2.1406257,53.838,-35.398,-168.042,0.0414209,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354096,1,OK,55.4573139,7.9523053,55.0734601,-26.5714025,44.763,9.341,-251.345,0.0346656,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354096,1,OK,54.5750400,9.3143664,54.0286434,-46.2519259,43.942,14.202,-245.588,0.0321786,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354096,1,OK,88.8394640,1.7957365,-88.8388937,-2.1433050,53.839,-35.396,-168.047,0.0414472,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354104,1,OK,55.5799840,7.8191520,55.2107113,-26.4400419,46.012,10.959,-253.446,0.0312788,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354104,1,OK,54.6880359,9.1327266,54.1652417,-46.1977979,45.181,15.833,-247.785,0.0337830,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354104,1,OK,88.8374242,1.7948873,-88.8368535,-2.1470656,53.837,-35.394,-168.052,0.0409400,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354112,1,OK,55.7768081,7.6049089,55.4302608,-26.2367407,46.998,12.874,-255.219,0.0335280,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354112,1,OK,54.7861332,8.8530246,54.2970763,-46.0170690,46.042,17.579,-249.400,0.0377496,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354112,1,OK,88.8413872,1.7937022,-88.8408191,-2.1398190,53.834,-35.404,-168.043,0.0413036,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354120,1,OK,55.8086877,7.3606380,55.4846292,-26.2123061,47.773,14.556,-256.607,0.0322437,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354120,1,OK,54.8389402,8.6625569,54.3718823,-45.8994118,46.936,19.297,-250.795,0.0339965,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354120,1,OK,88.8443386,1.7926517,-88.8437727,-2.1343811,53.834,-35.412,-168.048,0.0415957,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354128,1,OK,55.7462176,7.2434369,55.4317455,-26.1450198,48.595,15.936,-257.852,0.0295831,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4354128,1,OK,54.8347999,8.5971173,54.3747878,-45.7938847,47.813,20.781,-252.024,0.0363188,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4354128,1,OK,88.8453322,1.7935608,-88.8447662,-2.1325118,53.835,-35.414,-168.060,0.0412715,0
