Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550808,1,OK,49.6467793,13.4675733,48.2557842,26.8239912,28.657,-8.227,-213.789,0.0349215,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550808,1,OK,51.3804225,14.5350426,49.8505682,3.0906389,21.861,-7.404,-216.052,0.0251876,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550808,1,OK,53.4520219,-12.2921882,52.4489541,28.5637161,-46.752,-20.743,-213.334,0.0418382,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550808,1,OK,53.0307497,-15.4724945,51.3911011,-54.7797711,-41.140,-15.862,-209.641,0.0257285,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550816,1,OK,49.6462618,13.4820639,48.2521421,26.9052051,28.594,-8.171,-213.760,0.0341213,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550816,1,OK,51.4152110,14.5966113,49.8738214,3.2026711,21.478,-7.343,-216.070,0.0271952,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550816,1,OK,53.4528763,-12.3114363,52.4466134,28.5467715,-46.785,-20.728,-213.407,0.0430306,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550816,1,OK,53.0098383,-15.4824333,51.3667167,-54.8073158,-41.203,-15.895,-209.718,0.0260922,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550824,1,OK,49.5790736,13.6355396,48.1484324,27.3897815,28.515,-8.222,-213.605,0.0585964,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550824,1,OK,51.4235841,14.6333492,49.8745936,3.2691643,21.378,-7.307,-216.085,0.0295487,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550824,1,OK,53.4644234,-12.3515107,52.4518568,28.5138666,-46.563,-20.558,-213.462,0.0439463,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550824,1,OK,53.0382009,-15.4816495,51.3969823,-54.7224627,-40.891,-15.629,-209.685,0.0319135,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550832,1,OK,49.6014802,13.6768347,48.1630160,27.4250929,28.463,-8.186,-213.606,0.0589303,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550832,1,OK,51.3617298,14.7218010,49.7896505,3.5507448,21.256,-7.206,-216.126,0.0290569,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550832,1,OK,53.5114786,-12.4158527,52.4898306,28.2920225,-46.202,-20.334,-213.592,0.0354438,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550832,1,OK,53.0064428,-15.5672034,51.3442844,-54.7653992,-40.632,-15.585,-209.865,0.0306820,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550840,1,OK,49.6088899,13.6890251,48.1681544,27.4230123,28.358,-8.150,-213.584,0.0600775,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550840,1,OK,51.3655427,14.7544506,49.7864222,3.6431404,21.123,-7.186,-216.125,0.0246739,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550840,1,OK,53.5142669,-12.4714997,52.4832979,28.5620439,-46.015,-20.261,-213.545,0.0411296,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550840,1,OK,53.0428687,-15.6450593,51.3655814,-54.5721541,-40.486,-15.457,-209.944,0.0249427,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550848,1,OK,49.6372843,13.7443717,48.1859448,27.4469027,28.207,-8.076,-213.506,0.0663940,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550848,1,OK,51.3722304,14.8320264,49.7761745,3.6334678,20.866,-7.143,-216.133,0.0278515,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550848,1,OK,53.5160030,-12.5024939,52.4798301,28.6796837,-45.971,-20.269,-213.586,0.0457845,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550848,1,OK,53.0278042,-15.6798316,51.3417798,-54.4651620,-40.460,-15.480,-209.898,0.0251990,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550856,1,OK,49.6055277,13.9575610,48.1054046,27.5098980,27.216,-7.910,-213.771,0.0378139,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550856,1,OK,51.3676073,14.9637128,49.7416298,3.6747709,20.421,-7.088,-216.267,0.0213021,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550856,1,OK,53.4846483,-12.5401153,52.4408485,28.7753687,-46.017,-20.374,-213.697,0.0393210,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550856,1,OK,53.0275638,-15.7053668,51.3357848,-54.3796557,-40.485,-15.503,-209.927,0.0214974,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550864,1,OK,49.6323044,14.1661037,48.0867832,27.5114401,26.556,-7.594,-213.575,0.0449940,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550864,1,OK,51.3581823,15.1778567,49.6827537,3.8776755,19.847,-6.834,-216.189,0.0241822,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550864,1,OK,53.5107016,-12.5294575,52.4697278,28.7778174,-45.954,-20.294,-213.588,0.0398042,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550864,1,OK,53.0537779,-15.6945786,51.3660701,-54.3658941,-40.442,-15.423,-209.934,0.0211810,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550872,1,OK,49.6247199,14.3403335,48.0390053,27.6319966,26.126,-7.477,-213.680,0.0412633,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550872,1,OK,51.3452502,15.3035700,49.6399331,4.0371191,19.363,-6.688,-216.247,0.0275436,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550872,1,OK,53.5141307,-12.5129421,52.4761061,28.8653855,-45.875,-20.178,-213.612,0.0387166,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550872,1,OK,53.0495664,-15.6760042,51.3657635,-54.4520670,-40.368,-15.291,-209.927,0.0286734,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550880,1,OK,49.6292008,14.4924547,48.0085660,27.7293582,25.520,-7.178,-213.577,0.0374517,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3550880,1,OK,51.3900955,15.5022151,49.6411101,4.0069816,18.862,-6.428,-216.198,0.0311414,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550880,1,OK,53.4896925,-12.5205876,52.4494240,28.8940662,-45.894,-20.074,-213.602,0.0417851,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3550880,1,OK,52.9743115,-15.6981882,51.2808000,-54.5232859,-40.437,-15.287,-209.944,0.0215333,0
