Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123392,1,OK,91.5238944,5.3518096,-91.5305681,-3.0383935,50.314,-36.846,-168.859,0.0269336,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123400,1,OK,91.5240120,5.3503026,-91.5306824,-3.0386276,50.314,-36.846,-168.854,0.0271627,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123408,1,OK,91.5244820,5.3510883,-91.5311565,-3.0395493,50.314,-36.851,-168.866,0.0269920,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123416,1,OK,91.5257114,5.3528965,-91.5323957,-3.0420079,50.314,-36.854,-168.868,0.0270813,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123424,1,OK,91.5267739,5.3547210,-91.5334675,-3.0441496,50.313,-36.856,-168.879,0.0279038,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123432,1,OK,91.5280711,5.3553888,-91.5347721,-3.0467416,50.312,-36.858,-168.883,0.0284988,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123440,1,OK,91.5238096,5.3572529,-91.5304965,-3.0382477,50.313,-36.844,-168.886,0.0283277,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123448,1,OK,91.5241063,5.3574063,-91.5307949,-3.0388289,50.312,-36.842,-168.888,0.0282657,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123456,1,OK,91.5239967,5.3569379,-91.5306837,-3.0386239,50.309,-36.845,-168.881,0.0272647,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123464,1,OK,91.5242909,5.3575524,-91.5309807,-3.0392193,50.309,-36.846,-168.885,0.0272912,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123472,1,OK,91.5232505,5.3584591,-91.5299380,-3.0371514,50.310,-36.845,-168.883,0.0271450,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123480,1,OK,91.5241274,5.3602070,-91.5308231,-3.0389205,50.308,-36.849,-168.887,0.0277045,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123488,1,OK,91.5262343,5.3586515,-91.5329354,-3.0431500,50.304,-36.855,-168.887,0.0278522,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123496,1,OK,91.5267401,5.3563003,-91.5334375,-3.0441430,50.299,-36.857,-168.881,0.0268054,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123504,1,OK,91.5238570,5.3551243,-91.5305388,-3.0383608,50.303,-36.848,-168.870,0.0259376,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123512,1,OK,91.5236323,5.3562663,-91.5303160,-3.0379077,50.304,-36.849,-168.869,0.0254907,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123520,1,OK,91.5294841,5.3553557,-91.5361912,-3.0495705,50.304,-36.865,-168.869,0.0252538,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123528,1,OK,91.5308662,5.3557063,-91.5375803,-3.0523218,50.305,-36.869,-168.863,0.0250981,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1123536,1,OK,91.5299347,5.3558741,-91.5366451,-3.0504590,50.309,-36.863,-168.859,0.0256328,0
