Pattern, ventNo, Timestamp
Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,30993
1,0,PATTERN_START,0,30993
1, 1, SUCCESS, 0, 3011
1, 2, SUCCESS, 0, 1576
1, 3, SUCCESS, 0, 2040
1, 4, SUCCESS, 0, 1796
1, 5, SUCCESS, 0, 1908
1, 6, SUCCESS, 0, 2120
1,0,PATTERN_FINISH,0,43839
2,0,PATTERN_START,0,48840
2, 1, SUCCESS, 0, 2064
2, 2, SUCCESS, 0, 1807
2, 3, SUCCESS, 0, 1677
2, 4, SUCCESS, 0, 1243
2, 5, SUCCESS, 0, 2122
2, 6, SUCCESS, 0, 1491
2,0,PATTERN_FINISH,0,59638
3,0,PATTERN_START,0,64638
3, 1, SUCCESS, 0, 2096
3, 2, SUCCESS, 0, 1913
3, 3, SUCCESS, 0, 1931
3, 4, SUCCESS, 0, 1280
3, 5, SUCCESS, 0, 2360
3, 6, SUCCESS, 0, 2008
3,0,PATTERN_FINISH,0,76621
4,0,PATTERN_START,0,116454
4, 1, SUCCESS, 0, 2535
4, 2, ERROR, 1, 258
4, 2, ERROR, 2, 261
4, 2, ERROR, 3, 261
4, 2, ERROR, 4, 263
4, 2, ERROR, 5, 263
4, 2, ERROR, 6, 265
4, 2, ERROR, 7, 269
4, 2, ERROR, 8, 289
4, 2, ERROR, 9, 302
4, 2, SUCCESS, 0, 2741
4, 3, SUCCESS, 0, 2920
4, 4, SUCCESS, 0, 2120
4, 5, SUCCESS, 0, 2512
4, 6, SUCCESS, 0, 2563
4,0,PATTERN_FINISH,0,132239
5,0,PATTERN_START,0,137240
5, 1, SUCCESS, 0, 2045
5, 2, SUCCESS, 0, 2898
5, 3, SUCCESS, 0, 1995
5, 4, SUCCESS, 0, 1922
5, 5, SUCCESS, 0, 2024
5, 6, SUCCESS, 0, 1443
5,0,PATTERN_FINISH,0,149961
6,0,PATTERN_START,0,154961
6, 1, SUCCESS, 0, 2397
6, 2, SUCCESS, 0, 1996
6, 3, SUCCESS, 0, 1878
6, 4, SUCCESS, 0, 2267
6, 5, SUCCESS, 0, 1781
6, 6, SUCCESS, 0, 1924
6,0,PATTERN_FINISH,0,167598
0,0,TASK_FINISH,0,167599

