Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781208,1,OK,54.0018692,5.6584501,53.7977870,-34.1851032,40.841,-29.384,-218.209,0.0287628,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781208,1,OK,52.7879906,6.6688600,52.4910151,-54.1068083,41.782,-24.475,-212.383,0.0376402,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781208,1,OK,58.5975984,-12.3097684,57.7708628,49.0295422,-37.767,-58.378,-198.634,0.0134063,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781208,1,OK,55.6679017,-13.0642770,54.6215675,-22.5058418,-39.217,-53.456,-192.192,0.0958887,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781216,1,OK,53.9983786,5.6622889,53.7939917,-34.1959596,40.829,-29.382,-218.202,0.0289503,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781216,1,OK,52.7917688,6.6687495,52.4948441,-54.1065214,41.775,-24.458,-212.382,0.0384546,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781216,1,OK,58.5938197,-12.3080965,57.7671904,49.0273723,-37.766,-58.384,-198.639,0.0131672,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781216,1,OK,55.6687319,-13.0639710,54.6224811,-22.5248569,-39.212,-53.458,-192.184,0.0960282,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781224,1,OK,53.9989902,5.6555847,53.7950941,-34.2082045,40.813,-29.371,-218.185,0.0305643,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781224,1,OK,52.7976858,6.6675397,52.5009336,-54.0987126,41.762,-24.442,-212.377,0.0378063,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781224,1,OK,58.5894663,-12.3049032,57.7631338,49.0147223,-37.766,-58.384,-198.635,0.0124643,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781224,1,OK,55.6713499,-13.0658038,54.6249012,-22.5304094,-39.213,-53.452,-192.185,0.0961024,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781232,1,OK,53.9993564,5.6573213,53.7953372,-34.2105728,40.810,-29.380,-218.179,0.0311386,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781232,1,OK,52.7991815,6.6716878,52.5020732,-54.0932294,41.766,-24.446,-212.387,0.0358979,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781232,1,OK,58.5912022,-12.3020544,57.7653183,49.0082663,-37.763,-58.372,-198.628,0.0131749,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781232,1,OK,55.6675290,-13.0658539,54.6209202,-22.5729976,-39.213,-53.451,-192.180,0.0960127,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781240,1,OK,54.0020115,5.6531758,53.7983127,-34.2121532,40.803,-29.385,-218.171,0.0321217,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781240,1,OK,52.7973657,6.6708820,52.5003100,-54.0925262,41.763,-24.458,-212.403,0.0349337,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781240,1,OK,58.5888300,-12.2957964,57.7637289,49.0005537,-37.753,-58.370,-198.626,0.0123799,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781240,1,OK,55.6685068,-13.0639440,54.6222516,-22.5615337,-39.211,-53.451,-192.184,0.0968421,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781248,1,OK,53.9992105,5.6548359,53.7953704,-34.2148833,40.807,-29.401,-218.174,0.0324174,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781248,1,OK,52.7969109,6.6677830,52.5001285,-54.0985334,41.761,-24.464,-212.398,0.0347307,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781248,1,OK,58.5907742,-12.2939356,57.7659924,48.9981338,-37.753,-58.366,-198.619,0.0124182,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781248,1,OK,55.6679492,-13.0626650,54.6218826,-22.5641998,-39.204,-53.454,-192.184,0.0968987,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781256,1,OK,54.0035417,5.6546867,53.7997449,-34.2049980,40.811,-29.390,-218.162,0.0320309,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781256,1,OK,52.8020401,6.6705367,52.5050660,-54.1004481,41.765,-24.447,-212.391,0.0348894,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781256,1,OK,58.5966289,-12.2897711,57.7726102,48.9750293,-37.749,-58.351,-198.617,0.0119968,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781256,1,OK,55.6683780,-13.0686134,54.6213481,-22.5807590,-39.209,-53.455,-192.188,0.0969688,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781264,1,OK,53.9982644,5.6555583,53.7943648,-34.2011444,40.807,-29.404,-218.157,0.0311169,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781264,1,OK,52.7981900,6.6653397,52.5016404,-54.1076417,41.749,-24.441,-212.357,0.0344667,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781264,1,OK,58.5938662,-12.2862025,57.7702475,48.9513316,-37.745,-58.353,-198.616,0.0102858,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781264,1,OK,55.6675128,-13.0743377,54.6195047,-22.5814219,-39.215,-53.461,-192.194,0.0975273,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781272,1,OK,53.9958093,5.6562026,53.7918445,-34.2030722,40.806,-29.403,-218.165,0.0310566,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781272,1,OK,52.7976880,6.6679011,52.5009033,-54.1022471,41.747,-24.438,-212.340,0.0346966,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781272,1,OK,58.5946109,-12.2882243,57.7707389,48.9276978,-37.750,-58.348,-198.619,0.0093950,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781272,1,OK,55.6644468,-13.0741535,54.6163471,-22.6104582,-39.211,-53.464,-192.190,0.0970883,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781280,1,OK,53.9964599,5.6515595,53.7928366,-34.2123001,40.806,-29.406,-218.162,0.0316742,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3781280,1,OK,52.7981722,6.6631464,52.5018191,-54.0992720,41.746,-24.438,-212.352,0.0346725,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781280,1,OK,58.6010145,-12.2848156,57.7778192,48.8922870,-37.752,-58.329,-198.621,0.0091429,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3781280,1,OK,55.6714858,-13.0757940,54.6233955,-22.5746416,-39.217,-53.455,-192.195,0.0983857,0
