Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,43526
1,0,PATTERN_START,0,43527
1, 1, SUCCESS, 0, 2145
1, 2, SUCCESS, 0, 1631
1, 3, SUCCESS, 0, 1239
1, 4, SUCCESS, 0, 1141
1, 5, SUCCESS, 0, 1832
1, 6, SUCCESS, 0, 1186
1,0,PATTERN_FINISH,0,53095
2,0,PATTERN_START,0,58096
2, 1, SUCCESS, 0, 2276
2, 2, SUCCESS, 0, 1889
2, 3, SUCCESS, 0, 1311
2, 4, SUCCESS, 0, 1436
2, 5, SUCCESS, 0, 1668
2, 6, SUCCESS, 0, 1338
2,0,PATTERN_FINISH,0,68409
3,0,PATTERN_START,0,73409
3, 1, SUCCESS, 0, 1592
3, 2, SUCCESS, 0, 2009
3, 3, SUCCESS, 0, 1076
3, 4, SUCCESS, 0, 1089
3, 5, SUCCESS, 0, 1296
3, 6, SUCCESS, 0, 1777
3,0,PATTERN_FINISH,0,82643
4,0,PATTERN_START,0,115448
4, 1, SUCCESS, 0, 2193
4, 2, SUCCESS, 0, 1734
4, 3, SUCCESS, 0, 1489
4, 4, SUCCESS, 0, 1208
4, 5, SUCCESS, 0, 1899
4, 6, ERROR, 1, 146
4, 6, SUCCESS, 0, 1507
4,0,PATTERN_FINISH,0,125873
5,0,PATTERN_START,0,130874
5, 1, SUCCESS, 0, 2051
5, 2, SUCCESS, 0, 1758
5, 3, SUCCESS, 0, 1603
5, 4, ERROR, 1, 1009
5, 4, ERROR, 2, 1018
5, 4, ERROR, 3, 1025
5, 4, ERROR, 4, 1034
5, 4, ERROR, 5, 1034
5, 4, ERROR, 6, 1036
5, 4, ERROR, 7, 1039
5, 4, ERROR, 8, 1049
5, 4, ERROR, 9, 1066
5, 4, ERROR, 10, 1067
5, 4, ERROR, 11, 1069
5, 4, ERROR, 12, 1073
5, 4, SUCCESS, 0, 1073
5, 5, SUCCESS, 0, 2026
5, 6, SUCCESS, 0, 1213
5,0,PATTERN_FINISH,0,140993
6,0,PATTERN_START,0,145994
6, 1, SUCCESS, 0, 2558
6, 2, SUCCESS, 0, 1691
6, 3, ERROR, 1, 157
6, 3, SUCCESS, 0, 1087
6, 4, SUCCESS, 0, 1094
6, 5, SUCCESS, 0, 3028
6, 6, SUCCESS, 0, 1959
6,0,PATTERN_FINISH,0,157806
0,0,TASK_FINISH,0,157806

