Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358480,1,OK,50.2730389,17.4901158,47.9244629,-18.6446553,26.078,37.699,-255.742,0.0489005,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358480,1,OK,52.8082947,17.9913010,50.5384297,-37.2379143,27.753,41.996,-250.220,0.0412005,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358480,1,OK,93.4915678,3.5349557,-93.4982319,6.8825942,50.966,-37.088,-168.415,0.0373853,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358488,1,OK,50.2802596,17.5543091,47.9140090,-18.4960264,26.060,37.806,-255.713,0.0463474,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358488,1,OK,52.8028611,18.0355021,50.5206977,-37.1886581,27.720,42.106,-250.189,0.0371564,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358488,1,OK,93.4942650,3.5318522,-93.5009226,6.8878511,50.959,-37.096,-168.418,0.0380645,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358496,1,OK,50.2147175,17.4261187,47.8793038,-18.4427435,26.328,37.766,-255.613,0.0475437,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358496,1,OK,52.7456901,17.8869155,50.4983804,-37.1166068,27.976,42.071,-250.108,0.0385454,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358496,1,OK,93.4948889,3.5308039,-93.5015437,6.8889430,50.956,-37.095,-168.417,0.0384256,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358504,1,OK,50.0340390,17.1716553,47.7551320,-18.4921877,26.710,37.800,-255.011,0.0480142,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358504,1,OK,52.5723264,17.6391256,50.3762262,-37.3129123,28.372,42.126,-249.425,0.0327223,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358504,1,OK,93.4938490,3.5303922,-93.5005003,6.8867638,50.959,-37.087,-168.408,0.0380094,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358512,1,OK,49.8180479,16.8800335,47.6026668,-18.6625738,27.311,37.834,-254.015,0.0484937,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358512,1,OK,52.3570665,17.3383646,50.2222916,-37.5652357,28.964,42.187,-248.541,0.0362484,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358512,1,OK,93.4907303,3.5296103,-93.4973727,6.8805157,50.955,-37.080,-168.407,0.0374374,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358520,1,OK,49.5688716,16.5386730,47.4274860,-18.9175517,27.888,37.821,-253.046,0.0489662,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358520,1,OK,52.1074237,17.0488703,50.0279524,-37.9176408,29.643,42.162,-247.686,0.0360771,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358520,1,OK,93.4905882,3.5275648,-93.4972226,6.8802995,50.959,-37.078,-168.407,0.0374229,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358528,1,OK,49.2919712,16.2953683,47.1952924,-19.0909698,28.316,37.907,-252.260,0.0461527,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358528,1,OK,51.8202854,16.8191942,49.7777849,-38.3186511,30.109,42.231,-246.846,0.0311609,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358528,1,OK,93.4924023,3.5270560,-93.4990382,6.8838597,50.955,-37.087,-168.408,0.0380268,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358536,1,OK,49.0484370,16.0791348,46.9916721,-19.3455213,28.706,37.977,-251.799,0.0418822,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358536,1,OK,51.5998953,16.6224752,49.5910514,-38.6227194,30.554,42.345,-246.319,0.0369166,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358536,1,OK,93.4947272,3.5253426,-93.5013611,6.8885274,50.954,-37.097,-168.406,0.0381834,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358544,1,OK,48.8125169,15.9240356,46.7798432,-19.7939827,28.982,38.090,-251.157,0.0441811,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358544,1,OK,51.3543041,16.4881150,49.3614895,-39.1076832,30.899,42.423,-245.754,0.0381348,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358544,1,OK,93.4953669,3.5258418,-93.5020039,6.8898088,50.954,-37.098,-168.414,0.0384588,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358552,1,OK,48.6056492,15.9037503,46.5631084,-20.0661503,29.058,38.271,-250.561,0.0492451,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358552,1,OK,51.1398892,16.4342142,49.1450655,-39.4547245,30.947,42.623,-245.139,0.0381788,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358552,1,OK,93.4946482,3.5261791,-93.5012851,6.8884327,50.955,-37.095,-168.419,0.0383681,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358560,1,OK,48.3982566,15.9383852,46.3308364,-20.1641569,28.813,38.387,-249.919,0.0498792,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358560,1,OK,50.9245320,16.5032551,48.8960568,-39.5678641,30.734,42.757,-244.591,0.0433009,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358560,1,OK,93.4969184,3.5245759,-93.5035536,6.8929574,50.958,-37.099,-168.419,0.0385239,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358568,1,OK,48.2060109,16.0536854,46.0923029,-20.1358675,28.348,38.485,-249.160,0.0467170,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358568,1,OK,50.7511502,16.6368170,48.6747963,-39.6883657,30.283,42.895,-243.863,0.0421353,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358568,1,OK,93.4985806,3.5237667,-93.5052159,6.8961363,50.961,-37.100,-168.415,0.0379372,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358576,1,OK,48.0346358,16.1505822,45.8806121,-20.1484939,27.861,38.485,-248.345,0.0463800,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358576,1,OK,50.6061662,16.7319071,48.4935216,-39.8027348,29.823,42.966,-243.049,0.0390595,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358576,1,OK,93.5001619,3.5210764,-93.5067901,6.8992358,50.966,-37.101,-168.416,0.0373769,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358584,1,OK,47.8609482,16.2576648,45.6628927,-20.2010000,27.562,38.378,-247.514,0.0454277,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358584,1,OK,50.4180799,16.7802458,48.2778281,-39.9573247,29.416,42.853,-242.218,0.0374333,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358584,1,OK,93.5020196,3.5214063,-93.5086525,6.9028540,50.963,-37.102,-168.427,0.0371792,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358592,1,OK,47.6681399,16.2814647,45.4477841,-20.1653669,27.313,38.138,-246.860,0.0443839,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358592,1,OK,50.2294249,16.8292872,48.0610091,-40.0677233,29.163,42.638,-241.594,0.0419882,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358592,1,OK,93.5030391,3.5201372,-93.5096692,6.9048874,50.967,-37.104,-168.426,0.0370248,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358600,1,OK,47.4821072,16.2589015,45.2532103,-20.2134163,27.225,37.831,-246.261,0.0447822,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358600,1,OK,50.0505256,16.7892086,47.8787934,-40.2307001,29.082,42.369,-240.977,0.0376254,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358600,1,OK,93.5021416,3.5210108,-93.5087732,6.9030791,50.965,-37.100,-168.428,0.0371896,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358608,1,OK,47.2897936,16.0780002,45.0975780,-20.3977613,27.430,37.688,-245.318,0.0441594,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358608,1,OK,49.8076492,16.5871073,47.6717537,-40.4966001,29.239,42.185,-240.045,0.0414166,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358608,1,OK,93.5029252,3.5195803,-93.5095529,6.9046964,50.968,-37.099,-168.430,0.0368985,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358616,1,OK,47.0524720,15.7743326,44.9282809,-20.6719679,27.795,37.447,-244.270,0.0447436,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358616,1,OK,49.5459438,16.3472966,47.4546487,-40.8637741,29.746,41.885,-239.082,0.0383689,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358616,1,OK,93.5028429,3.5198800,-93.5094716,6.9044755,50.968,-37.095,-168.435,0.0364470,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358624,1,OK,46.8258142,15.5074462,44.7595413,-20.8865340,28.382,36.818,-243.340,0.0466437,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11358624,1,OK,49.3208748,16.0675064,47.2875107,-41.1857002,30.373,41.259,-238.142,0.0411496,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11358624,1,OK,93.5061969,3.5193374,-93.5128300,6.9110004,50.965,-37.105,-168.440,0.0365717,0
