Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425344,1,OK,60.2299564,20.0219965,58.0985625,-11.6753901,26.247,32.028,-281.808,0.0502991,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425344,1,OK,62.6142116,19.8833247,60.7160269,-25.9948397,26.969,35.716,-275.499,0.0329931,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425344,1,OK,61.2023884,-17.5271911,59.6573551,15.1235770,-53.071,21.499,-271.348,0.0308812,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425344,1,OK,60.2440584,-20.8625917,57.9182427,-48.9079167,-46.362,25.770,-269.142,0.0168294,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425352,1,OK,60.2946040,20.0597008,58.1603704,-11.6039654,26.074,31.565,-281.646,0.0487460,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425352,1,OK,62.6600944,19.9017096,60.7619725,-25.9289679,26.795,35.232,-275.251,0.0323094,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425352,1,OK,61.3047968,-17.5251799,59.7667684,15.2172542,-52.952,20.989,-271.395,0.0361316,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425352,1,OK,60.3439187,-20.8781547,58.0240250,-48.8174591,-46.241,25.276,-269.164,0.0158029,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425360,1,OK,60.3223250,20.0030354,58.2033539,-11.5724986,25.961,31.214,-281.579,0.0449538,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425360,1,OK,62.6712571,19.8837169,60.7777000,-25.8736807,26.703,34.771,-275.190,0.0333275,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425360,1,OK,61.3600034,-17.5377850,59.8232295,15.2674790,-52.936,20.567,-271.452,0.0328452,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425360,1,OK,60.4120324,-20.8420570,58.1072638,-48.6797399,-46.187,24.885,-269.091,0.0198330,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425368,1,OK,60.3295295,19.9957454,58.2128358,-11.5566636,25.851,30.859,-281.397,0.0453695,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425368,1,OK,62.6962922,19.8570844,60.8101769,-25.8088116,26.568,34.473,-275.091,0.0422761,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425368,1,OK,61.3456430,-17.5123463,59.8126129,15.3358055,-52.981,20.212,-271.421,0.0241107,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425368,1,OK,60.4320907,-20.8111723,58.1365491,-48.7175620,-46.172,24.682,-269.141,0.0272981,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425376,1,OK,60.3586073,19.9704818,58.2501507,-11.4914359,25.808,30.608,-281.235,0.0449613,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425376,1,OK,62.7392059,19.8396252,60.8601300,-25.7465345,26.492,34.270,-274.983,0.0411970,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425376,1,OK,61.3596151,-17.4572671,59.8375716,15.1225956,-52.936,20.162,-271.342,0.0268272,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425376,1,OK,60.4664466,-20.8074752,58.1750592,-48.5532538,-46.231,24.645,-269.197,0.0131358,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425384,1,OK,60.3549153,19.9625726,58.2479141,-11.5286372,25.779,30.326,-281.093,0.0474218,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425384,1,OK,62.7327779,19.8558675,60.8499053,-25.7913928,26.586,33.943,-274.969,0.0262703,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425384,1,OK,61.4102907,-17.4360927,59.8953521,15.3679675,-52.948,20.287,-271.383,0.0345861,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425384,1,OK,60.4703999,-20.7673240,58.1888462,-48.5337791,-46.254,24.645,-269.238,0.0081779,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425392,1,OK,60.3757563,19.9376115,58.2761781,-11.4414187,25.772,30.177,-281.159,0.0470003,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425392,1,OK,62.7494296,19.8441254,60.8702866,-25.7145041,26.573,33.772,-274.899,0.0421472,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425392,1,OK,61.4136133,-17.4269489,59.9005512,15.2516295,-53.032,20.199,-271.485,0.0314778,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425392,1,OK,60.4973203,-20.7650159,58.2188668,-48.5418888,-46.295,24.613,-269.169,0.0215705,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425400,1,OK,60.3934579,19.9223158,58.2988475,-11.3989424,25.724,30.094,-281.225,0.0419951,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425400,1,OK,62.7582522,19.8124536,60.8861933,-25.7407044,26.497,33.658,-274.980,0.0341085,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425400,1,OK,61.4433903,-17.4299446,59.9316825,15.2741752,-53.093,20.115,-271.546,0.0295096,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425400,1,OK,60.4888375,-20.7711314,58.2081409,-48.5095370,-46.373,24.440,-269.274,0.0266651,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425408,1,OK,60.3906983,19.9244991,58.2953591,-11.3953720,25.712,30.073,-281.066,0.0399037,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425408,1,OK,62.7822761,19.8175996,60.9111476,-25.7110671,26.485,33.699,-274.903,0.0280544,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425408,1,OK,61.4133180,-17.4603159,59.8941587,15.3915139,-53.122,20.264,-271.483,0.0213734,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425408,1,OK,60.4106983,-20.8444982,58.1052232,-48.6442087,-46.327,24.817,-269.393,0.0174305,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425416,1,OK,60.3850606,19.9127643,58.2918582,-11.4533347,25.695,30.066,-281.052,0.0418099,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11425416,1,OK,62.7583181,19.8212639,60.8844964,-25.6968836,26.504,33.630,-274.749,0.0334623,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425416,1,OK,61.3900928,-17.4897221,59.8640720,15.2630120,-53.050,20.292,-271.582,0.0295624,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11425416,1,OK,60.4496829,-20.8161614,58.1546443,-48.5878708,-46.298,24.674,-269.362,0.0175506,0
