Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186896,1,OK,43.3483161,1.5360925,43.3264911,-39.0781724,55.880,-1.317,-192.852,0.0302943,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186896,1,OK,43.4022147,2.2428425,43.3557479,-65.5351753,58.511,3.964,-188.380,0.0352745,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186896,1,OK,91.2338217,4.6140451,-91.2378339,-2.4597421,57.689,-35.126,-169.050,0.0256387,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186904,1,OK,43.3470182,1.5382291,43.3251314,-39.0734062,55.885,-1.319,-192.857,0.0301124,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186904,1,OK,43.3998611,2.2498850,43.3530979,-65.5276533,58.520,3.961,-188.386,0.0356340,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186904,1,OK,91.2338844,4.6154000,-91.2378992,-2.4598771,57.691,-35.125,-169.048,0.0261139,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186912,1,OK,43.3457173,1.5370867,43.3238621,-39.0598045,55.884,-1.321,-192.862,0.0301307,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186912,1,OK,43.4023405,2.2513289,43.3555212,-65.5132320,58.523,3.965,-188.389,0.0363544,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186912,1,OK,91.2353722,4.6156983,-91.2393924,-2.4628647,57.693,-35.128,-169.047,0.0257986,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186920,1,OK,43.3499389,1.5297308,43.3282957,-39.0407077,55.876,-1.315,-192.847,0.0301335,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186920,1,OK,43.4070646,2.2487694,43.3603595,-65.4977626,58.520,3.969,-188.382,0.0367887,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186920,1,OK,91.2354421,4.6142493,-91.2394599,-2.4630067,57.694,-35.127,-169.044,0.0260326,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186928,1,OK,43.3475596,1.5259732,43.3260208,-39.0317330,55.875,-1.318,-192.840,0.0303667,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186928,1,OK,43.4084776,2.2387676,43.3621898,-65.4957102,58.512,3.971,-188.375,0.0366464,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186928,1,OK,91.2357339,4.6150333,-91.2397540,-2.4635857,57.694,-35.127,-169.042,0.0260319,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186936,1,OK,43.3441215,1.5259318,43.3225813,-39.0377040,55.879,-1.327,-192.844,0.0303116,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186936,1,OK,43.4088225,2.2410515,43.3624406,-65.4804215,58.519,3.967,-188.383,0.0365094,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186936,1,OK,91.2363674,4.6132490,-91.2403865,-2.4648470,57.692,-35.131,-169.038,0.0256361,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186944,1,OK,43.3470518,1.5296474,43.3254088,-39.0204983,55.890,-1.331,-192.858,0.0303696,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186944,1,OK,43.4118259,2.2412226,43.3654418,-65.4610140,58.519,3.960,-188.389,0.0373309,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186944,1,OK,91.2373724,4.6133634,-91.2413950,-2.4668496,57.688,-35.139,-169.037,0.0253276,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186952,1,OK,43.3490555,1.5328674,43.3273228,-38.9996446,55.897,-1.337,-192.858,0.0305687,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186952,1,OK,43.4177119,2.2413110,43.3713338,-65.4361199,58.523,3.961,-188.383,0.0375696,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186952,1,OK,91.2366436,4.6138215,-91.2406646,-2.4653877,57.687,-35.140,-169.035,0.0252186,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186960,1,OK,43.3514211,1.5249876,43.3299131,-38.9631009,55.890,-1.342,-192.850,0.0310252,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186960,1,OK,43.4195313,2.2425972,43.3731028,-65.4248728,58.528,3.955,-188.380,0.0375871,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186960,1,OK,91.2359558,4.6136824,-91.2399743,-2.4640094,57.682,-35.140,-169.043,0.0245452,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186968,1,OK,43.3557136,1.5253158,43.3341996,-38.9503400,55.895,-1.343,-192.846,0.0312940,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2186968,1,OK,43.4209621,2.2433758,43.3745036,-65.4198718,58.532,3.945,-188.382,0.0374643,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2186968,1,OK,91.2358675,4.6134535,-91.2398853,-2.4638381,57.676,-35.142,-169.049,0.0243471,0
