Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387008,1,OK,41.1714701,5.1092292,40.9094401,44.2394996,58.202,-2.404,-188.347,0.0356330,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387008,1,OK,42.2266184,5.0112378,41.9838178,15.7328679,51.010,-2.464,-189.543,0.0314158,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387008,1,OK,45.2309762,-14.1419632,43.4261473,19.5109939,-49.156,11.786,-213.227,0.0548962,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387008,1,OK,46.9042769,-17.5431647,44.2299807,-73.5096357,-41.911,15.452,-212.691,0.0220184,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387016,1,OK,41.4010508,5.3718109,41.1135594,44.0969866,57.474,-2.488,-189.309,0.0392028,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387016,1,OK,42.4327381,5.2478099,42.1682570,15.6369676,50.295,-2.579,-190.549,0.0299170,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387016,1,OK,45.3920931,-13.9937386,43.6366945,19.9046047,-49.641,11.480,-213.546,0.0540345,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387016,1,OK,47.0266131,-17.4201569,44.4038495,-73.1466782,-42.417,15.126,-213.028,0.0187410,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387024,1,OK,41.5602057,5.6014345,41.2491884,44.2409241,57.041,-2.898,-190.195,0.0429411,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387024,1,OK,42.6320122,5.5009087,42.3432645,15.9440691,49.923,-2.936,-191.562,0.0379641,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387024,1,OK,45.5486393,-13.7840873,43.8571088,19.8279815,-50.218,10.999,-213.874,0.0632254,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387024,1,OK,47.1271432,-17.2503818,44.5678563,-72.9098079,-43.019,14.617,-213.443,0.0237027,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387032,1,OK,41.7650426,5.7488968,41.4396760,44.1077076,56.331,-2.918,-190.291,0.0323120,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387032,1,OK,42.8173907,5.6537469,42.5142466,15.8809549,49.222,-3.034,-191.737,0.0307559,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387032,1,OK,45.7153229,-13.4844607,44.1089733,20.3833983,-51.171,10.368,-214.208,0.0548798,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387032,1,OK,47.2286453,-16.9628746,44.7681768,-72.6082621,-43.993,13.955,-213.604,0.0221816,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387040,1,OK,41.9312988,5.9025836,41.5901762,44.0502680,56.111,-3.322,-190.303,0.0352223,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387040,1,OK,42.9159149,5.7731698,42.6008301,15.8778734,48.939,-3.529,-191.653,0.0301452,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387040,1,OK,45.8952529,-12.9781646,44.4209801,20.5297695,-52.421,9.588,-214.327,0.0547469,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387040,1,OK,47.3041168,-16.5340409,44.9798491,-72.2631109,-45.355,13.104,-213.645,0.0233929,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387048,1,OK,42.0023018,5.8894725,41.6635557,44.0148365,55.784,-3.611,-189.705,0.0310124,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387048,1,OK,42.9880610,5.7669774,42.6744542,15.7255867,48.619,-3.807,-191.039,0.0355222,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387048,1,OK,46.0545367,-12.4690947,44.7050231,20.9336339,-54.126,8.621,-214.527,0.0484262,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387048,1,OK,47.3945980,-15.9154478,45.2569333,-71.8872238,-46.970,12.272,-213.572,0.0208662,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387056,1,OK,42.0484798,5.8952653,41.7096151,43.8180551,55.495,-3.738,-189.011,0.0304013,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387056,1,OK,43.0351565,5.7220946,42.7269579,15.6564057,48.265,-3.847,-190.313,0.0307795,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387056,1,OK,46.1474688,-11.9013260,44.9256179,22.1777111,-55.786,7.804,-214.416,0.0430404,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387056,1,OK,47.4675720,-15.3443659,45.4930386,-71.4621135,-48.642,11.532,-213.374,0.0184730,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387064,1,OK,42.0350345,5.8259228,41.7039975,43.6753223,55.790,-4.144,-188.836,0.0326454,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387064,1,OK,43.0311117,5.7027486,42.7249646,15.7050299,48.622,-4.238,-190.173,0.0288006,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387064,1,OK,46.2320245,-11.3206121,45.1328684,20.8502264,-57.089,7.347,-213.949,0.0549543,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387064,1,OK,47.4000215,-14.8390162,45.5546304,-71.5881009,-49.983,10.902,-212.873,0.0201105,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387072,1,OK,41.9716454,5.5840690,41.6670290,43.8046656,56.372,-4.212,-188.645,0.0265374,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387072,1,OK,43.0257222,5.4911136,42.7419682,15.7134734,49.240,-4.298,-189.908,0.0343317,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387072,1,OK,46.1331296,-10.9839015,45.0963302,21.6169324,-58.161,7.023,-213.366,0.0422441,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387072,1,OK,47.3396438,-14.4220575,45.5970261,-71.6180477,-50.995,10.672,-212.095,0.0218020,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387080,1,OK,41.9478820,5.3986970,41.6630450,43.6342547,56.924,-4.228,-188.392,0.0321067,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2387080,1,OK,43.0159584,5.2684629,42.7547945,15.5232991,49.689,-4.278,-189.622,0.0323727,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387080,1,OK,46.0002828,-10.6964742,45.0136399,22.6820957,-59.196,6.491,-212.879,0.0462112,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2387080,1,OK,47.2005664,-14.1425208,45.5191599,-71.7434354,-52.055,10.220,-211.653,0.0194888,0
