Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,53542
1,0,PATTERN_START,0,53543
1, 1, SUCCESS, 0, 1937
1, 2, SUCCESS, 0, 1855
1, 3, SUCCESS, 0, 1659
1, 4, SUCCESS, 0, 929
1, 5, SUCCESS, 0, 1453
1, 6, SUCCESS, 0, 2157
1,0,PATTERN_FINISH,0,63926
2,0,PATTERN_START,0,68926
2, 1, SUCCESS, 0, 1746
2, 2, SUCCESS, 0, 1610
2, 3, SUCCESS, 0, 1195
2, 4, SUCCESS, 0, 1846
2, 5, SUCCESS, 0, 1906
2, 6, SUCCESS, 0, 1383
2,0,PATTERN_FINISH,0,79008
3,0,PATTERN_START,0,84009
3, 1, SUCCESS, 0, 1999
3, 2, SUCCESS, 0, 1219
3, 3, SUCCESS, 0, 1801
3, 4, SUCCESS, 0, 1436
3, 5, SUCCESS, 0, 1939
3, 6, SUCCESS, 0, 2469
3,0,PATTERN_FINISH,0,95266
4,0,PATTERN_START,0,131050
4, 1, SUCCESS, 0, 2120
4, 2, SUCCESS, 0, 2083
4, 3, SUCCESS, 0, 1638
4, 4, SUCCESS, 0, 1480
4, 5, SUCCESS, 0, 1654
4, 6, SUCCESS, 0, 2944
4,0,PATTERN_FINISH,0,143365
5,0,PATTERN_START,0,148365
5, 1, SUCCESS, 0, 2014
5, 2, SUCCESS, 0, 1803
5, 3, SUCCESS, 0, 1799
5, 4, SUCCESS, 0, 1836
5, 5, SUCCESS, 0, 1251
5, 6, SUCCESS, 0, 1433
5,0,PATTERN_FINISH,0,158897
6,0,PATTERN_START,0,163897
6, 1, SUCCESS, 0, 1977
6, 2, SUCCESS, 0, 1495
6, 3, SUCCESS, 0, 1338
6, 4, SUCCESS, 0, 1427
6, 5, SUCCESS, 0, 1570
6, 6, SUCCESS, 0, 1539
6,0,PATTERN_FINISH,0,173639
0,0,TASK_FINISH,0,173639

