Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581936,1,OK,40.5848503,2.9327029,40.4970602,10.0617025,55.505,4.241,-199.325,0.0413375,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581936,1,OK,43.0701006,5.4138432,42.7947566,-19.9162071,49.308,7.847,-197.171,0.0354664,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9581936,1,OK,90.2066624,3.1457882,-90.2069743,-0.4132666,56.315,-35.509,-168.557,0.0361411,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581944,1,OK,40.5882371,2.4525545,40.5268842,9.7733324,56.739,3.557,-198.386,0.0492087,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581944,1,OK,43.0620278,4.9831403,42.8289110,-20.1029180,50.658,7.156,-196.198,0.0308121,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9581944,1,OK,90.3032825,3.1253097,-90.3037343,-0.6064763,56.316,-35.449,-168.643,0.0326494,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581952,1,OK,40.6079190,1.9147815,40.5705684,9.5699048,58.278,2.842,-197.460,0.0478320,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581952,1,OK,43.0754884,4.5253654,42.8835059,-20.1714293,52.307,6.430,-195.412,0.0374232,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9581952,1,OK,90.4415483,3.1022675,-90.4421964,-0.8829756,56.312,-35.463,-168.667,0.0313859,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581960,1,OK,40.6391761,1.2898244,40.6222545,9.4631869,60.193,2.105,-196.589,0.0434924,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581960,1,OK,43.0207943,3.9143640,42.8770376,-20.4412116,54.213,5.659,-194.325,0.0358136,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9581960,1,OK,90.5827075,3.0944386,-90.5835584,-1.1652762,56.351,-35.392,-168.660,0.0241457,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581968,1,OK,40.6342941,0.7254393,40.6289418,9.3767916,62.102,1.075,-195.798,0.0436099,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581968,1,OK,42.9639766,3.3321317,42.8596919,-20.6099988,56.072,4.606,-193.442,0.0345972,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9581968,1,OK,90.7141229,3.0911967,-90.7151635,-1.4280985,56.389,-35.307,-168.748,0.0200484,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581976,1,OK,40.6632570,0.1175341,40.6631167,9.3437615,63.777,0.078,-194.869,0.0440276,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581976,1,OK,42.9412923,2.8057007,42.8673484,-20.6044076,57.893,3.579,-192.506,0.0400789,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9581976,1,OK,90.8231493,3.0734647,-90.8243351,-1.6461595,56.407,-35.307,-168.819,0.0198345,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581984,1,OK,40.6270695,-0.3034046,40.6261331,9.3717633,65.105,-0.789,-193.720,0.0383060,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581984,1,OK,42.8731386,2.3451976,42.8213788,-20.5866158,59.155,2.711,-191.248,0.0443087,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9581984,1,OK,90.8449580,3.0809918,-90.8461812,-1.6898054,56.477,-35.287,-168.851,0.0172344,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581992,1,OK,40.6163152,-0.5759319,40.6129397,9.3266457,65.986,-1.739,-192.660,0.0394239,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9581992,1,OK,42.8283904,2.1068559,42.7865606,-20.6195276,60.042,1.729,-190.180,0.0421782,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9581992,1,OK,90.8317694,3.0760932,-90.8329697,-1.6634542,56.531,-35.264,-168.828,0.0174820,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9582000,1,OK,40.6109472,-0.6655627,40.6064384,9.2583248,66.696,-2.885,-191.600,0.0442922,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9582000,1,OK,42.7523188,1.9911669,42.7148608,-20.5229451,60.695,0.493,-189.145,0.0456297,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9582000,1,OK,90.7058200,3.0970771,-90.7068525,-1.4115697,56.523,-34.953,-169.018,0.0258199,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9582008,1,OK,40.9005922,-0.6033498,40.8969246,9.5301023,67.063,-4.134,-191.209,0.0434172,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9582008,1,OK,42.7359193,1.8424891,42.7038319,-20.3613770,60.673,-1.192,-188.217,0.0554141,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9582008,1,OK,90.7144950,3.0258801,-90.7154926,-1.4288998,56.784,-34.667,-168.963,0.0356707,0
