Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216816,1,OK,53.3774284,9.2058270,52.8197292,-0.2328785,35.089,-31.062,-218.143,0.0621201,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216816,1,OK,53.8558524,10.9888065,53.0702472,-21.8711620,29.255,-27.504,-215.779,0.0259314,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216816,1,OK,57.7864253,-11.9053788,56.9893101,28.5413230,-50.342,-22.330,-232.234,0.0337975,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216816,1,OK,57.0138335,-15.0620216,55.6805788,-46.3572912,-45.462,-17.504,-227.794,0.0209617,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216824,1,OK,53.2934587,8.6704244,52.7980337,0.0533316,37.336,-31.291,-217.544,0.0478495,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216824,1,OK,53.8187187,10.3859633,53.1175338,-21.7215396,31.399,-27.572,-215.226,0.0345287,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216824,1,OK,57.9360011,-11.9551139,57.1367451,28.3543248,-50.117,-22.352,-232.532,0.0251765,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216824,1,OK,57.0739687,-15.1196585,55.7332369,-46.2536249,-45.233,-17.729,-228.138,0.0162821,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216832,1,OK,52.8990945,8.6187614,52.4025178,0.0630408,38.013,-31.320,-216.970,0.0458744,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216832,1,OK,53.4574061,10.3535752,52.7513189,-21.8437268,32.050,-27.615,-214.480,0.0374155,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216832,1,OK,57.9952016,-12.0369936,57.1865806,28.3520663,-49.966,-22.584,-232.890,0.0306328,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216832,1,OK,57.1603392,-15.1554307,55.8175300,-46.2383683,-45.034,-17.874,-228.448,0.0185819,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216840,1,OK,52.6272082,8.5459517,52.1342280,0.1056563,37.349,-30.131,-215.710,0.0610690,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216840,1,OK,53.1907042,10.2929861,52.4861317,-21.8040044,31.407,-26.385,-213.243,0.0325906,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216840,1,OK,58.0122109,-12.1032429,57.1949989,28.4491584,-49.865,-22.750,-233.102,0.0318443,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216840,1,OK,57.1980985,-15.1979294,55.8494421,-46.0497935,-44.901,-17.941,-228.583,0.0206910,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216848,1,OK,52.4566003,8.5466037,51.9604729,0.2942276,37.582,-29.636,-215.054,0.0481657,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216848,1,OK,53.0145941,10.2822684,52.3069571,-21.7222138,31.593,-25.928,-212.697,0.0375381,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216848,1,OK,58.0238463,-12.1123283,57.2057513,28.5090587,-49.673,-22.652,-233.132,0.0374111,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216848,1,OK,57.2240159,-15.2334766,55.8701671,-45.9481628,-44.742,-17.851,-228.590,0.0214587,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216856,1,OK,52.4454601,8.4309613,51.9626379,0.4228144,38.140,-29.704,-215.151,0.0436214,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216856,1,OK,53.0249841,10.1817082,52.3316334,-21.7111654,32.203,-25.857,-212.746,0.0354149,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216856,1,OK,58.0085193,-12.1497744,57.1847428,28.4810719,-49.600,-22.461,-232.941,0.0327593,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216856,1,OK,57.1857986,-15.2494430,55.8269805,-46.0302743,-44.641,-17.683,-228.408,0.0204668,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216864,1,OK,52.4174970,8.3660032,51.9416934,0.4272608,38.370,-29.540,-215.296,0.0492818,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216864,1,OK,52.9804324,10.1032798,52.2967957,-21.6742554,32.407,-25.758,-212.731,0.0280157,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216864,1,OK,57.9523322,-12.0949045,57.1343557,28.5019184,-49.417,-22.139,-232.551,0.0238917,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216864,1,OK,57.1116834,-15.2395024,55.7507864,-46.0432205,-44.516,-17.414,-228.045,0.0081867,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216872,1,OK,52.4072438,8.3271175,51.9357308,0.6277081,38.352,-29.103,-215.229,0.0497274,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216872,1,OK,52.9904613,10.0433609,52.3152994,-21.5076744,32.248,-25.269,-212.510,0.0219772,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216872,1,OK,57.8479233,-12.1417214,57.0200763,28.6867195,-49.256,-21.975,-232.216,0.0281379,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216872,1,OK,57.0197276,-15.2346006,55.6548717,-46.2139954,-44.314,-17.175,-227.664,0.0182265,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216880,1,OK,52.3518900,8.4513996,51.8650421,0.9933707,38.283,-29.117,-215.437,0.0437851,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216880,1,OK,52.9848795,10.1843292,52.2901449,-21.2626742,32.245,-25.242,-212.902,0.0231303,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216880,1,OK,57.7670125,-12.1848836,56.9304875,28.6534394,-49.070,-21.852,-232.026,0.0320861,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216880,1,OK,56.9645618,-15.3191311,55.5809650,-46.3063098,-44.201,-17.049,-227.532,0.0196017,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216888,1,OK,52.3432478,8.6451135,51.8333707,1.4273242,37.740,-28.801,-215.462,0.0491696,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4216888,1,OK,52.9681758,10.3779919,52.2458255,-20.7804231,31.644,-25.058,-213.108,0.0309257,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216888,1,OK,57.8099489,-12.2286357,56.9686725,28.6990874,-48.854,-21.605,-231.899,0.0374872,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,4216888,1,OK,56.9053882,-15.4091319,55.5016220,-46.3458919,-44.055,-17.050,-227.493,0.0121101,0
