Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917184,1,OK,45.6767156,1.8076279,45.6488487,-21.5752585,57.371,-13.956,-193.699,0.0369621,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917184,1,OK,45.0423049,3.3295538,44.9454868,-46.8769723,54.737,-8.551,-189.162,0.0427111,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917184,1,OK,49.0430100,-5.9863647,48.7697604,43.3770481,-66.561,-19.752,-192.031,0.0470456,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917184,1,OK,47.2606628,-8.4698574,46.6740774,-51.7288969,-63.619,-13.961,-187.016,0.0220103,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917192,1,OK,45.7200382,1.7521943,45.6938948,-21.5725955,57.550,-14.054,-193.813,0.0365110,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917192,1,OK,45.0613863,3.3009014,44.9662946,-46.8687787,54.980,-8.715,-189.360,0.0349918,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917192,1,OK,48.9480211,-6.0369719,48.6691646,43.3414504,-66.358,-19.650,-191.791,0.0331116,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917192,1,OK,47.2627706,-8.4822399,46.6744885,-51.9854037,-63.330,-13.702,-186.807,0.0277489,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917200,1,OK,45.7567735,1.6891995,45.7325084,-21.5620026,57.636,-13.730,-193.672,0.0567427,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917200,1,OK,45.0770637,3.2461968,44.9851548,-46.9279573,55.126,-8.585,-188.971,0.0445387,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917200,1,OK,48.9595130,-6.0821565,48.6765528,43.1250980,-65.869,-19.433,-191.333,0.0414929,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917200,1,OK,47.1585942,-8.5897394,46.5528626,-52.2859272,-62.848,-13.706,-186.415,0.0328343,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917208,1,OK,45.7782478,1.7467672,45.7523190,-21.4639534,57.552,-13.802,-193.752,0.0582786,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917208,1,OK,45.1035115,3.2676795,45.0104655,-46.8249088,55.049,-8.907,-189.456,0.0332987,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917208,1,OK,48.8737642,-6.2938701,48.5696924,43.0942607,-65.092,-19.447,-190.795,0.0536263,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917208,1,OK,47.0279229,-8.8461752,46.3819414,-52.6906012,-62.052,-13.836,-185.999,0.0295739,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917216,1,OK,45.7248050,1.7217924,45.6995658,-21.6690662,57.501,-13.949,-193.667,0.0351599,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917216,1,OK,45.0865842,3.3255440,44.9901491,-46.8064518,54.901,-8.714,-189.121,0.0386227,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917216,1,OK,48.7095139,-6.5170534,48.3814187,42.9509671,-64.382,-19.315,-190.230,0.0434945,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917216,1,OK,46.8972859,-9.0405119,46.2190196,-53.0275220,-61.235,-13.658,-185.409,0.0260150,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917224,1,OK,45.7428835,1.7518615,45.7167710,-21.5861562,57.421,-13.995,-193.715,0.0343205,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917224,1,OK,45.0842285,3.2883035,44.9899381,-46.9268605,54.855,-8.615,-189.220,0.0370575,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917224,1,OK,48.5757036,-6.5871894,48.2388601,42.9540720,-64.001,-19.059,-189.768,0.0508724,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917224,1,OK,46.8081181,-9.1602694,46.1092608,-53.2454433,-60.877,-13.351,-185.050,0.0226787,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917232,1,OK,45.7604454,1.7766019,45.7336061,-21.5156604,57.348,-14.027,-193.755,0.0336917,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917232,1,OK,45.1435065,3.4719576,45.0385808,-46.4562938,54.674,-8.764,-189.233,0.0488860,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917232,1,OK,48.4874423,-6.5240654,48.1560427,42.8098702,-64.089,-18.668,-189.458,0.0503150,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917232,1,OK,46.7161626,-9.1359674,46.0188049,-53.1297609,-60.991,-13.096,-184.826,0.0247837,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917240,1,OK,45.8298293,1.9081287,45.7989409,-21.1980701,57.081,-13.910,-193.885,0.0466143,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917240,1,OK,45.1631885,3.4948454,45.0569446,-46.4030331,54.578,-8.801,-189.274,0.0496992,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917240,1,OK,48.2688753,-6.3518971,47.9524335,43.2838796,-64.957,-18.615,-188.923,0.0486080,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917240,1,OK,46.4643066,-8.9266500,45.7930884,-53.3359841,-61.866,-12.910,-184.257,0.0210549,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917248,1,OK,45.8386891,2.0365809,45.8035094,-21.2690523,56.659,-14.237,-194.107,0.0312725,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917248,1,OK,45.1926368,3.6176865,45.0788899,-46.5552733,54.099,-8.895,-189.586,0.0362533,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917248,1,OK,48.2035589,-6.1750234,47.9039304,43.5395628,-65.340,-18.462,-188.466,0.0511526,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917248,1,OK,46.3886771,-8.7404142,45.7438767,-53.1252129,-62.335,-12.751,-183.801,0.0200284,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917256,1,OK,45.8135701,2.0554284,45.7777042,-21.2432268,56.461,-14.282,-194.116,0.0317085,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3917256,1,OK,45.1714414,3.6248977,45.0571547,-46.5873418,53.847,-8.942,-189.586,0.0372195,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917256,1,OK,48.1755598,-6.2404504,47.8691986,43.4830678,-65.281,-18.521,-188.292,0.0519161,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3917256,1,OK,46.3812366,-8.7731250,45.7313555,-53.2804488,-62.199,-12.771,-183.604,0.0141817,0
