Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,42160
1,0,PATTERN_START,0,42161
1, 1, SUCCESS, 0, 841
1, 2, SUCCESS, 0, 1748
1, 3, SUCCESS, 0, 1932
1, 4, SUCCESS, 0, 1897
1, 5, SUCCESS, 0, 1288
1, 6, SUCCESS, 0, 1341
1,0,PATTERN_FINISH,0,51601
2,0,PATTERN_START,0,56601
2, 1, SUCCESS, 0, 2329
2, 2, SUCCESS, 0, 2038
2, 3, SUCCESS, 0, 1282
2, 4, SUCCESS, 0, 2405
2, 5, SUCCESS, 0, 1962
2, 6, SUCCESS, 0, 2391
2,0,PATTERN_FINISH,0,69404
3,0,PATTERN_START,0,74404
3, 1, SUCCESS, 0, 1502
3, 2, SUCCESS, 0, 1837
3, 3, SUCCESS, 0, 2618
3, 4, SUCCESS, 0, 1792
3, 5, SUCCESS, 0, 1796
3, 6, SUCCESS, 0, 1759
3,0,PATTERN_FINISH,0,86104
4,0,PATTERN_START,0,128377
4, 1, SUCCESS, 0, 1071
4, 2, SUCCESS, 0, 1773
4, 3, SUCCESS, 0, 2582
4, 4, SUCCESS, 0, 2381
4, 5, SUCCESS, 0, 2206
4, 6, ERROR, 1, 317
4, 6, ERROR, 2, 318
4, 6, ERROR, 3, 320
4, 6, ERROR, 4, 320
4, 6, ERROR, 5, 321
4, 6, ERROR, 6, 322
4, 6, ERROR, 7, 322
4, 6, ERROR, 8, 338
4, 6, ERROR, 9, 340
4, 6, ERROR, 10, 341
4, 6, ERROR, 11, 342
4, 6, ERROR, 12, 343
4, 6, ERROR, 13, 344
4, 6, ERROR, 14, 345
4, 6, ERROR, 15, 346
4, 6, ERROR, 16, 348
4, 6, ERROR, 17, 349
4, 6, ERROR, 18, 354
4, 6, ERROR, 19, 354
4, 6, ERROR, 20, 370
4, 6, ERROR, 21, 379
4, 6, SUCCESS, 0, 2093
4,0,PATTERN_FINISH,0,140880
5,0,PATTERN_START,0,145881
5, 1, SUCCESS, 0, 1894
5, 2, SUCCESS, 0, 2220
5, 3, SUCCESS, 0, 1964
5, 4, SUCCESS, 0, 1955
5, 5, SUCCESS, 0, 1862
5, 6, SUCCESS, 0, 1393
5,0,PATTERN_FINISH,0,157564
6,0,PATTERN_START,0,162565
6, 1, SUCCESS, 0, 2562
6, 2, SUCCESS, 0, 1726
6, 3, SUCCESS, 0, 1832
6, 4, SUCCESS, 0, 2340
6, 5, SUCCESS, 0, 2210
6, 6, SUCCESS, 0, 1269
6,0,PATTERN_FINISH,0,174898
0,0,TASK_FINISH,0,174899

