Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097272,1,OK,40.2569868,4.5659569,40.0410813,-19.2365097,50.218,0.995,-193.334,0.0457992,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097272,1,OK,41.9067111,4.8307213,41.6786192,-44.0711877,50.956,6.492,-188.763,0.0342522,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097272,1,OK,89.9850329,-0.7629388,-89.9850315,-0.0218077,51.211,-32.267,-168.691,0.0242676,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097280,1,OK,40.2550286,4.5963431,40.0362103,-19.2225308,50.143,0.970,-193.360,0.0460428,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097280,1,OK,41.9099206,4.8562558,41.6794245,-44.0503693,50.893,6.471,-188.798,0.0372688,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097280,1,OK,89.9781738,-0.7629713,-89.9781719,-0.0318024,51.215,-32.259,-168.683,0.0245623,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097288,1,OK,40.2643925,4.6193980,40.0434361,-19.2182578,50.084,0.964,-193.355,0.0465568,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097288,1,OK,41.9111558,4.8325496,41.6829262,-44.1722182,50.842,6.465,-188.782,0.0310170,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097288,1,OK,89.9750163,-0.7596135,-89.9750141,-0.0364040,51.215,-32.259,-168.686,0.0240892,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097296,1,OK,40.2728382,4.6402112,40.0499431,-19.2284092,50.026,0.956,-193.346,0.0472834,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097296,1,OK,41.9156630,4.8627396,41.6845944,-44.1460875,50.802,6.445,-188.798,0.0343265,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097296,1,OK,89.9725328,-0.7592135,-89.9725304,-0.0400222,51.214,-32.258,-168.685,0.0241254,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097304,1,OK,40.2825594,4.6599248,40.0578343,-19.2398841,49.969,0.950,-193.335,0.0475003,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097304,1,OK,41.9079392,4.8201331,41.6808612,-44.3006078,50.898,6.437,-188.949,0.0332655,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097304,1,OK,89.9722882,-0.7586986,-89.9722858,-0.0403788,51.208,-32.268,-168.682,0.0236235,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097312,1,OK,40.2911662,4.6752533,40.0650219,-19.2506365,49.909,0.948,-193.319,0.0474634,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097312,1,OK,41.9169572,4.8411592,41.6879562,-44.2926795,50.851,6.429,-188.943,0.0321461,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097312,1,OK,89.9697982,-0.7584935,-89.9697955,-0.0440058,51.207,-32.266,-168.686,0.0238836,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097320,1,OK,40.2985766,4.6969853,40.0703742,-19.2545662,49.863,0.947,-193.316,0.0474325,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097320,1,OK,41.9229652,4.8597744,41.6922393,-44.2789682,50.798,6.424,-188.945,0.0319341,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097320,1,OK,89.9684936,-0.7583936,-89.9684908,-0.0459064,51.206,-32.268,-168.688,0.0239712,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097328,1,OK,40.3089980,4.7107508,40.0795341,-19.2365524,49.805,0.951,-193.311,0.0473213,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097328,1,OK,41.9312338,4.8829549,41.6983578,-44.2731244,50.753,6.419,-188.949,0.0326862,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097328,1,OK,89.9665573,-0.7570990,-89.9665543,-0.0487252,51.204,-32.271,-168.672,0.0233173,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097336,1,OK,40.3022476,4.7344745,40.0703989,-19.2331014,49.783,0.905,-193.352,0.0479617,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097336,1,OK,41.9297780,4.9077996,41.6945013,-44.2692279,50.734,6.382,-188.991,0.0334585,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097336,1,OK,89.9636108,-0.7560449,-89.9636076,-0.0530200,51.205,-32.270,-168.669,0.0225730,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097344,1,OK,40.3020838,4.7379022,40.0698961,-19.2408249,49.780,0.897,-193.371,0.0486771,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097344,1,OK,41.9312722,4.9150913,41.6953046,-44.2694496,50.735,6.373,-189.010,0.0340301,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097344,1,OK,89.9668687,-0.7563054,-89.9668658,-0.0482720,51.204,-32.279,-168.667,0.0227771,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097352,1,OK,40.3040413,4.7402979,40.0716337,-19.2522985,49.779,0.897,-193.368,0.0491745,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097352,1,OK,41.9333629,4.9126593,41.6976474,-44.2901938,50.731,6.376,-189.011,0.0344072,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097352,1,OK,89.9648223,-0.7569882,-89.9648192,-0.0512544,51.203,-32.273,-168.676,0.0230601,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097360,1,OK,40.3076637,4.7433476,40.0749853,-19.2644426,49.782,0.901,-193.359,0.0492206,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097360,1,OK,41.9388832,4.9169520,41.7027993,-44.2749030,50.736,6.379,-189.012,0.0352188,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097360,1,OK,89.9663755,-0.7562124,-89.9663725,-0.0489913,51.201,-32.279,-168.682,0.0231113,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097368,1,OK,40.3063415,4.7403489,40.0739479,-19.2728757,49.775,0.898,-193.354,0.0489830,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097368,1,OK,41.9438070,4.9157561,41.7078795,-44.2796144,50.735,6.386,-189.009,0.0355148,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097368,1,OK,89.9680009,-0.7576411,-89.9679981,-0.0466222,51.200,-32.283,-168.678,0.0235371,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097376,1,OK,40.3046111,4.7381282,40.0724220,-19.2984445,49.767,0.896,-193.343,0.0484728,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097376,1,OK,41.9474076,4.9185327,41.7112420,-44.2839019,50.735,6.392,-189.012,0.0361628,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097376,1,OK,89.9649100,-0.7577984,-89.9649070,-0.0511267,51.202,-32.276,-168.677,0.0232187,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097384,1,OK,40.3046404,4.7450073,40.0717734,-19.3090847,49.774,0.896,-193.343,0.0483060,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097384,1,OK,41.9530129,4.9213373,41.7166233,-44.2883262,50.742,6.396,-189.007,0.0360146,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097384,1,OK,89.9634232,-0.7574866,-89.9634200,-0.0532913,51.201,-32.268,-168.684,0.0236877,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097392,1,OK,40.3050053,4.7462804,40.0720156,-19.3048507,49.774,0.894,-193.354,0.0486954,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097392,1,OK,41.9533111,4.9258946,41.7164836,-44.3013583,50.744,6.395,-189.005,0.0372686,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097392,1,OK,89.9629205,-0.7571888,-89.9629173,-0.0540239,51.203,-32.268,-168.688,0.0235445,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097400,1,OK,40.3070644,4.7444503,40.0742723,-19.3221749,49.766,0.897,-193.352,0.0487054,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097400,1,OK,41.9519901,4.9303103,41.7147244,-44.3229643,50.748,6.394,-189.001,0.0375871,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097400,1,OK,89.9605732,-0.7554660,-89.9605698,-0.0574414,51.201,-32.261,-168.675,0.0230064,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097408,1,OK,40.3043198,4.7513195,40.0708268,-19.3552935,49.774,0.892,-193.353,0.0489157,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097408,1,OK,41.9467066,4.9298344,41.7094427,-44.3597753,50.746,6.385,-189.007,0.0371673,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097408,1,OK,89.9585512,-0.7548232,-89.9585476,-0.0603899,51.202,-32.254,-168.678,0.0230377,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097416,1,OK,40.2999797,4.7547301,40.0661135,-19.3888859,49.774,0.885,-193.350,0.0487326,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2097416,1,OK,41.9455351,4.9344873,41.7078109,-44.3742384,50.752,6.384,-189.005,0.0371692,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2097416,1,OK,89.9602271,-0.7560755,-89.9602236,-0.0579470,51.203,-32.259,-168.688,0.0237796,0
