Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970120,1,OK,55.5703043,16.4640794,53.8736216,38.1501744,24.571,-13.764,-230.301,0.0317972,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970120,1,OK,54.9169867,14.9790199,53.4888106,20.6568753,17.938,-12.657,-231.500,0.0349363,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970120,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970120,1,OK,52.9130426,-17.6945266,50.7302676,-63.4872480,-34.136,-15.907,-210.810,0.0403054,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970136,1,OK,55.8918957,18.9317045,53.6423086,39.6749417,16.591,-11.011,-229.475,0.0191017,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970136,1,OK,55.1461071,17.4573613,53.1960361,22.5575547,10.138,-10.073,-231.859,0.0355305,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970136,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970136,1,OK,52.9035098,-17.6915900,50.7207232,-63.4961556,-34.086,-15.816,-210.771,0.0302186,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970152,1,OK,55.3359775,18.9287893,53.0384576,39.3162300,16.368,-9.268,-228.091,0.0263544,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970152,1,OK,54.7194464,17.3927055,52.7528951,21.5865438,9.809,-7.948,-230.097,0.0346820,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970152,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970152,1,OK,52.9151562,-17.7722674,50.7122220,-63.2175796,-34.060,-15.806,-210.778,0.0372763,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970160,1,OK,54.9870499,18.8675827,52.6745842,39.2176548,16.635,-9.050,-227.437,0.0238907,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970160,1,OK,54.3540150,17.3572231,52.3686118,21.3307216,10.102,-7.769,-229.484,0.0378019,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970160,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970160,1,OK,52.9080953,-17.8383002,50.6872188,-63.1066455,-34.063,-15.815,-210.792,0.0339406,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970176,1,OK,54.7558261,18.2421617,52.5839121,38.9871644,18.518,-9.041,-226.492,0.0357791,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970176,1,OK,54.1421455,16.7056389,52.2955172,20.9237856,11.922,-7.760,-228.448,0.0386495,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970176,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970176,1,OK,52.9337217,-17.9007220,50.6985044,-62.9451741,-34.045,-15.776,-210.851,0.0409718,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970184,1,OK,54.6638649,17.8725689,52.5766964,38.7672320,19.497,-9.444,-226.203,0.0241818,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970184,1,OK,54.0858999,16.3817513,52.3097899,20.6220830,12.926,-8.128,-228.016,0.0331207,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970184,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970184,1,OK,52.9385714,-17.9209031,50.6984212,-62.9483119,-34.030,-15.768,-210.862,0.0403445,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970192,1,OK,54.5584922,17.4924543,52.5559113,38.7599743,20.626,-10.248,-226.164,0.0243178,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970192,1,OK,53.9855439,15.9524860,52.2990771,20.5229150,13.991,-8.904,-227.917,0.0368980,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970192,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970192,1,OK,52.9396549,-17.9730845,50.6857583,-63.1967379,-33.820,-15.685,-210.848,0.0280845,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970208,1,OK,54.3948306,16.6544439,52.5774502,38.9939094,22.887,-10.065,-225.594,0.0462178,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970208,1,OK,53.8741823,15.1347043,52.3566635,20.6209742,16.218,-8.792,-227.118,0.0276792,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970208,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970208,1,OK,52.9540644,-17.8936370,50.7224190,-63.2665220,-33.784,-15.607,-210.754,0.0170568,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970216,1,OK,54.3258248,16.5287912,52.5324156,39.0328430,23.436,-10.682,-225.797,0.0447668,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970216,1,OK,53.7812156,14.9816945,52.2902619,20.6647131,16.740,-9.416,-227.341,0.0330946,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970216,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970216,1,OK,52.9293875,-17.9211747,50.6883956,-63.2409131,-33.863,-15.657,-210.832,0.0277350,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970224,1,OK,54.2866296,16.3411362,52.5330257,38.9821762,23.843,-10.652,-225.477,0.0387780,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1970224,1,OK,53.8027247,14.7868560,52.3529445,20.5050824,17.133,-9.286,-227.058,0.0323442,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970224,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1970224,1,OK,52.9256336,-17.8321259,50.7078388,-63.1653540,-33.884,-15.510,-210.778,0.0338169,0
