Pattern, Position, Event, EventNo, Timesp
Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,14659
1,0,PATTERN_START,0,14659
1, 1, SUCCESS, 0, 1813
1, 2, ERROR, 1, 172
1, 2, SUCCESS, 0, 1207
1, 3, SUCCESS, 0, 1357
1, 4, SUCCESS, 0, 824
1, 5, SUCCESS, 0, 1336
1, 6, SUCCESS, 0, 4076
1,0,PATTERN_FINISH,0,25668
2,0,PATTERN_START,0,30669
2, 1, SUCCESS, 0, 1023
2, 2, SUCCESS, 0, 1150
2, 3, ERROR, 1, 117
2, 3, SUCCESS, 0, 866
2, 4, SUCCESS, 0, 1379
2, 5, SUCCESS, 0, 1716
2, 6, SUCCESS, 0, 1077
2,0,PATTERN_FINISH,0,38275
3,0,PATTERN_START,0,43275
3, 1, SUCCESS, 0, 1323
3, 2, ERROR, 1, 178
3, 2, SUCCESS, 0, 1074
3, 3, SUCCESS, 0, 1047
3, 4, SUCCESS, 0, 978
3, 5, SUCCESS, 0, 1138
3, 6, SUCCESS, 0, 914
3,0,PATTERN_FINISH,0,50144
4,0,PATTERN_START,0,98482
4, 1, SUCCESS, 0, 1561
4, 2, SUCCESS, 0, 1151
4, 3, SUCCESS, 0, 1625
4, 4, SUCCESS, 0, 1070
4, 5, SUCCESS, 0, 2609
4, 6, SUCCESS, 0, 1242
4,0,PATTERN_FINISH,0,108134
5,0,PATTERN_START,0,113134
5, 1, SUCCESS, 0, 1747
5, 2, SUCCESS, 0, 3251
5, 3, SUCCESS, 0, 3508
5, 4, ERROR, 1, 829
5, 4, ERROR, 2, 832
5, 4, ERROR, 3, 834
5, 4, ERROR, 4, 837
5, 4, ERROR, 5, 842
5, 4, ERROR, 6, 847
5, 4, ERROR, 7, 849
5, 4, ERROR, 8, 850
5, 4, ERROR, 9, 851
5, 4, ERROR, 10, 853
5, 4, ERROR, 11, 854
5, 4, ERROR, 12, 855
5, 4, ERROR, 13, 857
5, 4, ERROR, 14, 858
5, 4, ERROR, 15, 860
5, 4, ERROR, 16, 863
5, 4, ERROR, 17, 866
5, 4, ERROR, 18, 874
5, 4, ERROR, 19, 878
5, 4, ERROR, 20, 880
5, 4, ERROR, 21, 886
5, 4, ERROR, 22, 894
5, 4, ERROR, 23, 925
5, 4, ERROR, 24, 960
5, 4, ERROR, 25, 1023
5, 4, SUCCESS, 0, 3301
5, 5, SUCCESS, 0, 1594
5, 6, SUCCESS, 0, 3853
5,0,PATTERN_FINISH,0,130783
6,0,PATTERN_START,0,135783
6, 1, SUCCESS, 0, 5014
6, 2, SUCCESS, 0, 2594
6, 3, SUCCESS, 0, 1489
6, 4, SUCCESS, 0, 2155
6, 5, SUCCESS, 0, 1611
6, 6, ERROR, 1, 515
6, 6, ERROR, 2, 594
6, 6, ERROR, 3, 598
6, 6, ERROR, 4, 614
6, 6, ERROR, 5, 617
6, 6, SUCCESS, 0, 3251
6,0,PATTERN_FINISH,0,152290
0,0,TASK_FINISH,0,152291

