Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032168,1,OK,53.2505288,10.3647414,52.5374837,-1.5497098,50.346,43.811,-271.415,0.0411361,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032168,1,OK,55.3668372,9.9515826,54.7600761,-21.1611973,48.801,48.385,-266.093,0.0349957,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032168,1,OK,90.3791393,4.4409416,-90.3802811,-0.7582743,53.750,-36.850,-169.219,0.0441270,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032176,1,OK,53.2528685,10.3695634,52.5392087,-1.5433127,50.338,43.795,-271.422,0.0412878,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032176,1,OK,55.3707963,9.9548679,54.7637184,-21.1576021,48.790,48.375,-266.100,0.0344345,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032176,1,OK,90.3766340,4.4422606,-90.3777689,-0.7532637,53.745,-36.852,-169.217,0.0444461,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032184,1,OK,53.2569438,10.3738845,52.5427850,-1.5445476,50.332,43.788,-271.436,0.0416771,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032184,1,OK,55.3773800,9.9562826,54.7702769,-21.1533877,48.782,48.374,-266.111,0.0342004,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032184,1,OK,90.3779353,4.4429122,-90.3790745,-0.7558663,53.748,-36.858,-169.212,0.0448316,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032192,1,OK,53.2638143,10.3750062,52.5496786,-1.5407273,50.329,43.793,-271.452,0.0419217,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032192,1,OK,55.3782632,9.9567310,54.7711247,-21.1523874,48.771,48.368,-266.113,0.0339259,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032192,1,OK,90.3770788,4.4415908,-90.3782146,-0.7541529,53.752,-36.848,-169.209,0.0445422,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032200,1,OK,53.2677900,10.3805481,52.5529813,-1.5342019,50.333,43.794,-271.447,0.0416045,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032200,1,OK,55.3805826,9.9546724,54.7737523,-21.1464164,48.762,48.368,-266.110,0.0342397,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032200,1,OK,90.3743367,4.4419639,-90.3754645,-0.7486688,53.756,-36.837,-169.226,0.0443606,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032208,1,OK,53.2690753,10.3772213,52.5547670,-1.5155105,50.318,43.797,-271.447,0.0408688,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032208,1,OK,55.3816260,9.9527937,54.7750522,-21.1343837,48.753,48.369,-266.104,0.0344466,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032208,1,OK,90.3747772,4.4434442,-90.3759071,-0.7495496,53.755,-36.837,-169.226,0.0442250,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032216,1,OK,53.2686916,10.3807314,52.5538809,-1.5220740,50.315,43.791,-271.455,0.0411024,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032216,1,OK,55.3787420,9.9554740,54.7717702,-21.1398786,48.748,48.359,-266.113,0.0343642,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032216,1,OK,90.3756277,4.4428297,-90.3767599,-0.7512508,53.752,-36.841,-169.224,0.0440049,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032224,1,OK,53.2733635,10.3851093,52.5580613,-1.5223377,50.325,43.792,-271.465,0.0412654,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032224,1,OK,55.3808574,9.9571591,54.7737251,-21.1416201,48.750,48.354,-266.127,0.0339558,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032224,1,OK,90.3759058,4.4422286,-90.3770384,-0.7518070,53.749,-36.845,-169.223,0.0440151,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032232,1,OK,53.2798865,10.3802719,52.5654343,-1.5291067,50.324,43.795,-271.475,0.0422342,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032232,1,OK,55.3804501,9.9502519,54.7741644,-21.1383644,48.743,48.341,-266.116,0.0335465,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032232,1,OK,90.3742383,4.4404943,-90.3753650,-0.7484719,53.747,-36.844,-169.219,0.0448184,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032240,1,OK,53.2811174,10.3811094,52.5665801,-1.5276006,50.338,43.780,-271.490,0.0425783,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11032240,1,OK,55.3862140,9.9468566,54.7804802,-21.1362081,48.752,48.334,-266.114,0.0342041,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11032240,1,OK,90.3712541,4.4405659,-90.3723719,-0.7425036,53.744,-36.836,-169.217,0.0452764,0
