Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247344,1,OK,55.0830763,15.3566945,53.5884290,-3.7673915,47.988,69.090,-292.891,0.0463679,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247344,1,OK,57.4964993,14.8865313,56.2194924,-21.8554164,47.020,73.442,-287.391,0.0353285,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247344,1,OK,62.7572474,-29.8472404,58.1453040,36.4992124,-33.602,45.222,-276.133,0.0411569,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247344,1,OK,59.8297830,-30.8598076,54.1647407,-27.8162715,-32.285,50.542,-270.037,0.0117585,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247352,1,OK,54.9023426,15.2493472,53.4192444,-3.8843814,47.858,68.273,-291.985,0.0573502,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247352,1,OK,57.3623654,14.8092810,56.0924239,-22.0866450,46.920,72.753,-286.581,0.0325357,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247352,1,OK,62.6150147,-29.5002286,58.0969887,36.7868858,-32.657,43.918,-275.178,0.0098007,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247352,1,OK,59.8292767,-30.8344781,54.1750344,-27.6189145,-31.802,49.217,-269.234,0.0132837,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247360,1,OK,54.7429379,15.1022150,53.2806688,-3.8825996,47.594,67.502,-291.141,0.0554336,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247360,1,OK,57.2440676,14.7026008,55.9872288,-22.0843545,46.795,72.044,-285.822,0.0375916,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247360,1,OK,62.6663946,-29.4050336,58.1920884,36.7178092,-32.115,42.741,-274.145,0.0376606,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247360,1,OK,59.6466822,-30.5262013,54.0809900,-27.8463289,-31.094,47.872,-267.733,0.0265770,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247368,1,OK,54.5783737,15.0524579,53.1170685,-3.9067124,47.503,66.673,-290.403,0.0552971,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247368,1,OK,57.0588760,14.5947337,55.8121194,-22.1357476,46.593,71.177,-284.953,0.0430165,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247368,1,OK,62.5379677,-29.2789760,58.0821229,36.4975732,-31.738,41.346,-272.878,0.0155183,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247368,1,OK,59.5996265,-30.3215285,54.1098897,-27.7915223,-30.568,46.649,-266.511,0.0265908,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247376,1,OK,54.4455768,14.8604250,53.0156150,-3.9780457,47.352,65.997,-289.589,0.0462759,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247376,1,OK,56.8873501,14.4304175,55.6613514,-22.3217170,46.478,70.373,-284.108,0.0410667,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247376,1,OK,62.5258817,-29.0431895,58.1495036,37.5866860,-30.951,40.164,-271.495,0.0482556,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247376,1,OK,59.4282503,-30.2109698,53.9454343,-27.8554392,-29.975,45.227,-265.413,0.0216764,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247384,1,OK,54.3218839,14.6257095,52.9319634,-4.0890218,47.203,65.223,-288.719,0.0474296,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247384,1,OK,56.7596279,14.2812238,55.5537646,-22.5254028,46.482,69.582,-283.206,0.0390859,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247384,1,OK,62.2976046,-28.9936462,57.8939045,37.6554324,-30.350,38.849,-270.877,0.0482242,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247384,1,OK,59.4731328,-30.1430873,54.0294016,-27.8943863,-29.381,44.120,-264.412,0.0176478,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247392,1,OK,54.2556713,14.4925580,52.8884741,-4.1040352,47.138,64.295,-287.975,0.0585140,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247392,1,OK,56.6847584,14.0752963,55.5111708,-22.5379878,46.322,68.697,-282.458,0.0402818,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247392,1,OK,62.3025632,-28.9314264,57.9214226,37.2929582,-29.806,37.710,-270.207,0.0153610,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247392,1,OK,59.3954163,-29.9889526,53.9986380,-28.1796200,-28.791,43.036,-263.799,0.0123903,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247408,1,OK,54.1608510,14.2939377,52.8274696,-3.9413266,46.762,62.359,-286.650,0.0512730,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247408,1,OK,56.6100649,13.8962509,55.4638025,-22.4982423,45.915,66.799,-281.226,0.0387913,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247408,1,OK,62.3096240,-28.6362824,58.0312512,37.5698205,-28.725,35.146,-268.516,0.0358896,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247408,1,OK,59.3246096,-29.6716407,54.0439480,-28.0802312,-27.558,40.521,-262.194,0.0134670,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247416,1,OK,54.1562138,14.2401766,52.8329673,-3.8645027,46.615,61.681,-286.124,0.0511269,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247416,1,OK,56.6407343,13.7997657,55.5121692,-22.3833019,45.780,66.212,-280.793,0.0354560,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247416,1,OK,62.3250816,-28.5867395,58.0664822,37.5132296,-28.377,33.943,-268.010,0.0206863,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247416,1,OK,59.5013771,-29.6176284,54.2821242,-27.8272342,-27.247,39.538,-261.766,0.0178679,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247432,1,OK,54.1477315,14.0978064,52.8513103,-3.7138438,46.632,61.148,-285.779,0.0627525,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11247432,1,OK,56.6191753,13.7013324,55.5062292,-22.2762570,45.820,65.609,-280.369,0.0255490,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247432,1,OK,62.3783459,-28.4939714,58.1611239,37.1124587,-27.704,33.062,-266.884,0.0311613,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11247432,1,OK,59.5372324,-29.5642491,54.3476433,-27.8547780,-26.622,38.559,-260.788,0.0146275,0
