Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,66749
1,0,PATTERN_START,0,66750
1, 1, SUCCESS, 0, 3147
1, 2, SUCCESS, 0, 4816
1, 3, SUCCESS, 0, 2304
1, 4, SUCCESS, 0, 1934
1, 5, SUCCESS, 0, 3142
1, 6, SUCCESS, 0, 2707
1,0,PATTERN_FINISH,0,85196
2,0,PATTERN_START,0,90198
2, 1, SUCCESS, 0, 2113
2, 2, ERROR, 1, 79
2, 2, SUCCESS, 0, 3682
2, 3, SUCCESS, 0, 2241
2, 4, SUCCESS, 0, 1580
2, 5, SUCCESS, 0, 2940
2, 6, SUCCESS, 0, 3070
2,0,PATTERN_FINISH,0,106218
3,0,PATTERN_START,0,111218
3, 1, SUCCESS, 0, 1575
3, 2, SUCCESS, 0, 2480
3, 3, SUCCESS, 0, 3478
3, 4, SUCCESS, 0, 1728
3, 5, SUCCESS, 0, 2923
3, 6, SUCCESS, 0, 1811
3,0,PATTERN_FINISH,0,125607
4,0,PATTERN_START,0,169546
4, 1, ERROR, 1, 722
4, 1, ERROR, 2, 726
4, 1, ERROR, 3, 727
4, 1, ERROR, 4, 730
4, 1, ERROR, 5, 732
4, 1, ERROR, 6, 733
4, 1, SUCCESS, 0, 1691
4, 2, SUCCESS, 0, 1818
4, 3, SUCCESS, 0, 2359
4, 4, SUCCESS, 0, 1166
4, 5, ERROR, 7, 194
4, 5, ERROR, 8, 197
4, 5, SUCCESS, 0, 2890
4, 6, SUCCESS, 0, 2504
4,0,PATTERN_FINISH,0,182367
5,0,PATTERN_START,0,187367
5, 1, SUCCESS, 0, 1816
5, 2, ERROR, 1, 162
5, 2, SUCCESS, 0, 2488
5, 3, SUCCESS, 0, 2102
5, 4, SUCCESS, 0, 1541
5, 5, SUCCESS, 0, 1825
5, 6, SUCCESS, 0, 2371
5,0,PATTERN_FINISH,0,199904
6,0,PATTERN_START,0,204904
6, 1, SUCCESS, 0, 1724
6, 2, SUCCESS, 0, 2275
6, 3, SUCCESS, 0, 1726
6, 4, SUCCESS, 0, 1401
6, 5, ERROR, 1, 115
6, 5, SUCCESS, 0, 2646
6, 6, SUCCESS, 0, 3307
6,0,PATTERN_FINISH,0,218378
0,0,TASK_FINISH,0,218379

