Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1790968,1,OK,44.0780877,1.0947412,44.0672844,-36.4150293,55.470,0.678,-192.827,0.0351577,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1790968,1,OK,43.9312849,2.2302444,43.8861815,-62.0433563,57.717,6.076,-188.194,0.0313850,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1790968,1,OK,92.9740900,3.5605122,-92.9798470,5.9246649,58.304,-35.507,-168.829,0.0312284,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1790976,1,OK,44.0543351,1.0246269,44.0448638,-36.4633598,55.463,0.556,-192.689,0.0344786,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1790976,1,OK,43.9379376,2.1816867,43.8947888,-62.0847400,57.739,5.964,-188.068,0.0348441,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1790976,1,OK,92.9806456,3.5602255,-92.9864144,5.9377163,58.299,-35.506,-168.835,0.0315228,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1790984,1,OK,44.1286590,1.0434595,44.1188617,-36.4715452,55.526,0.321,-192.650,0.0303927,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1790984,1,OK,43.9718243,2.1963311,43.9281455,-61.9045998,57.739,5.637,-188.117,0.0367217,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1790984,1,OK,92.9911261,3.5612664,-92.9969185,5.9585476,58.299,-35.503,-168.840,0.0311463,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1790992,1,OK,44.2031535,1.0460617,44.1933328,-36.4634741,55.512,-0.056,-192.584,0.0336085,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1790992,1,OK,44.0209816,2.1808658,43.9779903,-61.8682459,57.672,5.242,-188.038,0.0309828,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1790992,1,OK,93.0043589,3.5616155,-93.0101782,5.9848848,58.297,-35.503,-168.855,0.0304418,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791000,1,OK,44.2788411,1.0102107,44.2697063,-36.4206342,55.470,-0.471,-192.466,0.0356786,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791000,1,OK,44.1330448,2.0875902,44.0938095,-61.7923356,57.587,4.890,-187.838,0.0353439,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1791000,1,OK,93.0203315,3.5611818,-93.0261804,6.0166987,58.292,-35.500,-168.870,0.0297832,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791008,1,OK,44.3457133,1.0148971,44.3365151,-36.3234644,55.519,-1.086,-192.417,0.0310445,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791008,1,OK,44.1882775,2.2103074,44.1443738,-61.5952631,57.750,4.226,-187.825,0.0395207,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1791008,1,OK,93.0393771,3.5600669,-93.0452592,6.0546843,58.293,-35.494,-168.877,0.0287642,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791016,1,OK,44.4414205,1.0497804,44.4316118,-36.1163816,55.530,-1.696,-192.450,0.0322573,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791016,1,OK,44.2586206,2.1716707,44.2163439,-61.5709777,57.705,3.653,-187.719,0.0361352,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1791016,1,OK,93.0623241,3.5601481,-93.0682510,6.1004392,58.297,-35.484,-168.897,0.0277579,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791024,1,OK,44.5386157,1.0229928,44.5293329,-36.1922276,55.479,-2.171,-192.370,0.0354441,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791024,1,OK,44.3358866,2.1481908,44.2946316,-61.5870439,57.665,3.094,-187.701,0.0315674,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1791024,1,OK,93.1474681,3.5223972,-93.1534314,6.2714245,58.231,-35.472,-168.817,0.0354731,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791032,1,OK,44.6051169,0.9874782,44.5964876,-36.1165842,55.427,-2.549,-192.297,0.0357153,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791032,1,OK,44.4690330,2.1610032,44.4274777,-61.4360415,57.716,2.794,-187.665,0.0330912,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1791032,1,OK,93.2409913,3.5370164,-93.2471833,6.4565839,58.278,-35.407,-169.052,0.0261562,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791040,1,OK,44.6472705,1.0265243,44.6379588,-35.9852462,55.523,-2.738,-192.276,0.0313085,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1791040,1,OK,44.4817017,2.1761301,44.4395807,-61.2974237,57.731,2.576,-187.658,0.0313628,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1791040,1,OK,93.2633879,3.5392025,-93.2696305,6.5011112,58.255,-35.409,-169.046,0.0210741,0
