Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880176,1,OK,46.2812956,1.8760446,46.2519053,-36.8667732,52.153,-10.744,-190.699,0.0410504,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880176,1,OK,45.6806940,3.3023620,45.5875568,-61.0038000,54.319,-5.629,-185.857,0.0252596,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880176,1,OK,41.6660822,-6.8061704,41.2070603,-9.2170124,-71.126,-11.233,-182.835,0.0388014,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880176,1,OK,44.7264264,-9.0847616,43.9867433,-89.6757850,-63.481,-12.496,-185.237,0.0288267,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880184,1,OK,46.2838584,1.8699536,46.2546614,-36.8755729,52.145,-10.738,-190.697,0.0416450,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880184,1,OK,45.6825124,3.2955709,45.5897646,-61.0251273,54.313,-5.624,-185.847,0.0252280,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880184,1,OK,41.6649890,-6.8061043,41.2059584,-9.2651832,-71.124,-11.231,-182.829,0.0383712,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880184,1,OK,44.7300726,-9.0834715,43.9906987,-89.6738788,-63.479,-12.489,-185.242,0.0296250,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880192,1,OK,46.2818118,1.8659032,46.2527392,-36.8828035,52.139,-10.740,-190.693,0.0409120,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880192,1,OK,45.6836118,3.2922886,45.5910527,-61.0322349,54.310,-5.625,-185.859,0.0252239,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880192,1,OK,41.6685518,-6.8045585,41.2097897,-9.2183143,-71.127,-11.229,-182.837,0.0381579,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880192,1,OK,44.7354407,-9.0835396,43.9961958,-89.6665304,-63.480,-12.483,-185.243,0.0296769,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880200,1,OK,46.2820009,1.8647768,46.2529636,-36.9058632,52.136,-10.736,-190.685,0.0411970,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880200,1,OK,45.6857818,3.2913286,45.5932837,-61.0438952,54.308,-5.621,-185.860,0.0255930,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880200,1,OK,41.6772435,-6.8047439,41.2185976,-9.2072358,-71.130,-11.220,-182.839,0.0383984,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880200,1,OK,44.7416429,-9.0809972,44.0029810,-89.6546380,-63.479,-12.473,-185.242,0.0290698,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880208,1,OK,46.2855481,1.8633214,46.2565597,-36.9149482,52.127,-10.728,-190.672,0.0406504,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880208,1,OK,45.6828064,3.2863267,45.5905803,-61.0626375,54.300,-5.621,-185.856,0.0253213,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880208,1,OK,41.6752753,-6.8041881,41.2166731,-9.2374881,-71.129,-11.219,-182.840,0.0376785,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880208,1,OK,44.7496733,-9.0843931,44.0106592,-89.6410706,-63.482,-12.463,-185.249,0.0297447,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880216,1,OK,46.2840142,1.8588730,46.2551626,-36.9371936,52.116,-10.724,-190.661,0.0411268,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880216,1,OK,45.6818817,3.2893190,45.5894842,-61.0696682,54.302,-5.619,-185.860,0.0249830,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880216,1,OK,41.6730759,-6.8005596,41.2149320,-9.2266180,-71.129,-11.223,-182.839,0.0374267,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880216,1,OK,44.7578451,-9.0825543,44.0193488,-89.6246392,-63.481,-12.450,-185.244,0.0295639,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880224,1,OK,46.2851166,1.8607657,46.2562073,-36.9537845,52.117,-10.717,-190.668,0.0412728,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880224,1,OK,45.6883314,3.2965073,45.5955496,-61.0735204,54.311,-5.605,-185.866,0.0247463,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880224,1,OK,41.6797401,-6.7930834,41.2227216,-9.2065752,-71.124,-11.214,-182.841,0.0375039,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880224,1,OK,44.7563421,-9.0857872,44.0172715,-89.6226792,-63.483,-12.450,-185.246,0.0303012,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880232,1,OK,46.2830336,1.8614994,46.2540993,-36.9834891,52.117,-10.715,-190.662,0.0415757,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880232,1,OK,45.6906512,3.2957406,45.5979203,-61.0835012,54.310,-5.594,-185.867,0.0248839,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880232,1,OK,41.6801716,-6.7927846,41.2232007,-9.1964732,-71.122,-11.215,-182.838,0.0374716,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880232,1,OK,44.7514076,-9.0913153,44.0112927,-89.6235391,-63.489,-12.457,-185.249,0.0311482,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880240,1,OK,46.2795877,1.8582967,46.2507495,-36.9803886,52.108,-10.716,-190.663,0.0410245,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880240,1,OK,45.6956131,3.2970000,45.6028272,-61.0969036,54.315,-5.583,-185.875,0.0251048,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880240,1,OK,41.6791038,-6.7939872,41.2219521,-9.2021826,-71.123,-11.218,-182.839,0.0372813,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880240,1,OK,44.7474103,-9.0925358,44.0069886,-89.6269532,-63.492,-12.461,-185.251,0.0311779,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880248,1,OK,46.2814521,1.8657190,46.2523849,-36.9938857,52.118,-10.709,-190.674,0.0412081,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1880248,1,OK,45.6954260,3.2977670,45.6025962,-61.0915864,54.314,-5.581,-185.876,0.0252505,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880248,1,OK,41.6789590,-6.7928861,41.2219546,-9.2092228,-71.121,-11.219,-182.842,0.0374066,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1880248,1,OK,44.7509705,-9.0889526,44.0112355,-89.6286066,-63.491,-12.456,-185.254,0.0306860,0
