Tools,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944792,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944800,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944808,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944824,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944832,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944840,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944856,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944864,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944872,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944880,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944896,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944912,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
