Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022848,1,OK,42.3583518,1.6105900,42.3335109,-17.8858515,59.647,-3.386,-192.596,0.0449881,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022848,1,OK,44.1606602,2.4698461,44.1057739,-44.6703622,61.120,1.817,-188.113,0.0397462,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022848,1,OK,91.1325998,3.9838233,-91.1353435,-2.2639349,58.690,-36.638,-168.862,0.0243415,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022856,1,OK,42.3778839,1.6108485,42.3530521,-17.8445088,59.649,-3.411,-192.591,0.0453842,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022856,1,OK,44.1760181,2.4644722,44.1214000,-44.6341245,61.107,1.786,-188.101,0.0393636,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022856,1,OK,91.1366948,3.9822634,-91.1394462,-2.2721171,58.688,-36.631,-168.858,0.0240509,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022864,1,OK,42.3926078,1.6096476,42.3678258,-17.8137110,59.645,-3.443,-192.585,0.0458103,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022864,1,OK,44.1913283,2.4516821,44.1373053,-44.5877030,61.085,1.758,-188.078,0.0397446,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022864,1,OK,91.1400014,3.9810247,-91.1427592,-2.2787242,58.688,-36.623,-168.861,0.0243974,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022872,1,OK,42.4076368,1.6137005,42.3827429,-17.7760640,59.648,-3.482,-192.587,0.0455119,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022872,1,OK,44.2038139,2.4434919,44.1501751,-44.5485899,61.068,1.721,-188.059,0.0394316,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022872,1,OK,91.1435542,3.9806320,-91.1463199,-2.2858284,58.694,-36.618,-168.867,0.0243603,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022880,1,OK,42.4169213,1.6159515,42.3919660,-17.7446798,59.648,-3.531,-192.591,0.0456865,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022880,1,OK,44.2212717,2.4344894,44.1680604,-44.5040036,61.054,1.691,-188.045,0.0388920,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022880,1,OK,91.1498733,3.9804450,-91.1526541,-2.2984656,58.699,-36.615,-168.862,0.0246440,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022888,1,OK,42.4330029,1.6141872,42.4081161,-17.6952243,59.648,-3.566,-192.593,0.0454748,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022888,1,OK,44.2424774,2.4321390,44.1894082,-44.4533049,61.046,1.663,-188.033,0.0386530,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022888,1,OK,91.1546971,3.9785446,-91.1574869,-2.3081070,58.693,-36.619,-168.853,0.0242281,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022896,1,OK,42.4533386,1.6194345,42.4283075,-17.6492997,59.657,-3.598,-192.582,0.0454527,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022896,1,OK,44.2577819,2.4357560,44.2045831,-44.4028922,61.043,1.621,-188.017,0.0387945,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022896,1,OK,91.1573891,3.9773272,-91.1601837,-2.3134884,58.693,-36.610,-168.846,0.0236525,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022904,1,OK,42.4699666,1.6226473,42.4448507,-17.6051593,59.661,-3.637,-192.575,0.0455090,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022904,1,OK,44.2783500,2.4373561,44.2251195,-44.3647567,61.041,1.587,-188.011,0.0381601,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022904,1,OK,91.1619358,3.9771255,-91.1647411,-2.3225749,58.697,-36.605,-168.853,0.0235166,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022912,1,OK,42.4852025,1.6221620,42.4601150,-17.5434820,59.662,-3.677,-192.570,0.0460455,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022912,1,OK,44.2955930,2.4279032,44.2428069,-44.3122914,61.021,1.548,-188.003,0.0385416,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022912,1,OK,91.1675695,3.9763520,-91.1703873,-2.3338375,58.692,-36.608,-168.862,0.0229403,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022920,1,OK,42.4987550,1.6233220,42.4736435,-17.4943580,59.663,-3.717,-192.572,0.0461940,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9022920,1,OK,44.3086336,2.4260483,44.2559521,-44.2771319,61.016,1.506,-188.003,0.0386539,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,9022920,1,OK,91.1722304,3.9739558,-91.1750560,-2.3431539,58.687,-36.608,-168.866,0.0228861,0
