Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100440,1,OK,42.1420767,1.0043652,42.1323464,2.3500471,62.181,-7.309,-191.457,0.0458639,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100440,1,OK,44.2124984,1.4465603,44.1937205,-24.4185397,60.038,-2.125,-187.068,0.0371169,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100440,1,OK,50.1429071,-9.8636872,49.4214113,63.2614957,-58.473,-17.076,-187.310,0.0507543,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100440,1,OK,46.7644883,-9.6187047,45.9914165,-24.9548115,-61.395,-11.896,-181.873,0.0200538,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100448,1,OK,42.1441945,1.0025200,42.1345007,2.3384250,62.175,-7.309,-191.464,0.0458342,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100448,1,OK,44.2110465,1.4422259,44.1923800,-24.4303145,60.031,-2.128,-187.073,0.0372992,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100448,1,OK,50.1439923,-9.8666047,49.4220901,63.2837317,-58.476,-17.077,-187.312,0.0498346,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100448,1,OK,46.7678296,-9.6139129,45.9956334,-24.9225804,-61.394,-11.894,-181.863,0.0205677,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100456,1,OK,42.1414892,1.0009802,42.1318242,2.3453210,62.173,-7.311,-191.469,0.0456585,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100456,1,OK,44.2092743,1.4395725,44.1906753,-24.4454691,60.027,-2.131,-187.076,0.0367500,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100456,1,OK,50.1454541,-9.8620237,49.4242718,63.2741056,-58.474,-17.077,-187.309,0.0508455,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100456,1,OK,46.7670582,-9.6185705,45.9940788,-24.8433898,-61.402,-11.899,-181.875,0.0206962,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100464,1,OK,42.1400346,0.9955587,42.1304736,2.3335566,62.161,-7.315,-191.463,0.0453120,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100464,1,OK,44.2103593,1.4415390,44.1917101,-24.4690008,60.030,-2.129,-187.074,0.0360866,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100464,1,OK,50.1464338,-9.8606995,49.4254740,63.2930867,-58.475,-17.074,-187.312,0.0498978,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100464,1,OK,46.7603145,-9.6160774,45.9875585,-24.8349711,-61.398,-11.913,-181.866,0.0193620,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100472,1,OK,42.1411871,0.9970783,42.1315972,2.3279303,62.162,-7.312,-191.453,0.0451150,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100472,1,OK,44.2082814,1.4365861,44.1897589,-24.4853190,60.023,-2.131,-187.076,0.0345899,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100472,1,OK,50.1519209,-9.8542538,49.4320619,63.2682044,-58.472,-17.066,-187.307,0.0509006,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100472,1,OK,46.7591082,-9.6204901,45.9855966,-24.8391235,-61.405,-11.924,-181.874,0.0196582,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100480,1,OK,42.1378238,1.0039763,42.1280996,2.3210761,62.169,-7.319,-191.456,0.0449217,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100480,1,OK,44.2026026,1.4343419,44.1841342,-24.5001927,60.019,-2.139,-187.082,0.0349050,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100480,1,OK,50.1565559,-9.8478165,49.4377733,63.2124432,-58.473,-17.063,-187.306,0.0520896,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100480,1,OK,46.7548939,-9.6213282,45.9811296,-24.8398149,-61.409,-11.934,-181.877,0.0193750,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100488,1,OK,42.1357563,1.0046542,42.1260183,2.3229800,62.170,-7.323,-191.465,0.0446032,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100488,1,OK,44.2003403,1.4302843,44.1819749,-24.5083421,60.015,-2.141,-187.087,0.0347919,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100488,1,OK,50.1575233,-9.8492354,49.4385549,63.2166638,-58.476,-17.063,-187.307,0.0515551,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100488,1,OK,46.7622321,-9.6164534,45.9894670,-24.8174064,-61.402,-11.924,-181.873,0.0202212,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100496,1,OK,42.1369546,1.0083177,42.1271458,2.3219316,62.177,-7.321,-191.464,0.0447609,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100496,1,OK,44.2030317,1.4337112,44.1845799,-24.5052987,60.022,-2.137,-187.083,0.0352679,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100496,1,OK,50.1583766,-9.8469551,49.4397690,63.2070923,-58.476,-17.060,-187.304,0.0515514,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100496,1,OK,46.7628268,-9.6096413,45.9911925,-24.8663526,-61.395,-11.917,-181.867,0.0205836,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100504,1,OK,42.1413995,1.0030684,42.1316941,2.3090933,62.171,-7.315,-191.461,0.0449427,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100504,1,OK,44.2026837,1.4329646,44.1842508,-24.5169713,60.022,-2.132,-187.074,0.0348119,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100504,1,OK,50.1575031,-9.8463605,49.4389612,63.1929697,-58.478,-17.062,-187.301,0.0512531,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100504,1,OK,46.7659121,-9.6153822,45.9934231,-24.8727322,-61.404,-11.913,-181.874,0.0199040,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100512,1,OK,42.1375971,0.9995033,42.1279593,2.2910739,62.168,-7.319,-191.465,0.0454990,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,9100512,1,OK,44.2027020,1.4272704,44.1844155,-24.5310592,60.018,-2.130,-187.075,0.0340458,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100512,1,OK,50.1572257,-9.8487343,49.4383240,63.2075101,-58.482,-17.060,-187.305,0.0503153,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,9100512,1,OK,46.7743950,-9.6121824,46.0026614,-24.8943952,-61.400,-11.898,-181.878,0.0186815,0
