Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,150331
1,0,PATTERN_START,0,150331
1, 1, SUCCESS, 0, 1865
1, 2, SUCCESS, 0, 2020
1, 3, SUCCESS, 0, 1906
1, 4, ERROR, 1, 1085
1, 4, ERROR, 2, 1089
1, 4, ERROR, 3, 1163
1, 4, ERROR, 4, 1171
1, 4, ERROR, 5, 1177
1, 4, ERROR, 6, 1178
1, 4, ERROR, 7, 1194
1, 4, SUCCESS, 0, 1225
1, 5, ERROR, 8, 13
1, 5, SUCCESS, 0, 2704
1, 6, SUCCESS, 0, 2113
1,0,PATTERN_FINISH,0,162558
2,0,PATTERN_START,0,167559
2, 1, SUCCESS, 0, 2220
2, 2, SUCCESS, 0, 1979
2, 3, SUCCESS, 0, 1553
2, 4, SUCCESS, 0, 1183
2, 5, SUCCESS, 0, 2462
2, 6, SUCCESS, 0, 1715
2,0,PATTERN_FINISH,0,179064
3,0,PATTERN_START,0,184066
3, 1, SUCCESS, 0, 2092
3, 2, SUCCESS, 0, 1526
3, 3, SUCCESS, 0, 1350
3, 4, SUCCESS, 0, 1767
3, 5, SUCCESS, 0, 2288
3, 6, SUCCESS, 0, 2076
3,0,PATTERN_FINISH,0,195557
4,0,PATTERN_START,0,245059
4, 1, SUCCESS, 0, 1747
4, 2, SUCCESS, 0, 1962
4, 3, SUCCESS, 0, 2399
4, 4, SUCCESS, 0, 2922
4, 5, SUCCESS, 0, 2259
4, 6, SUCCESS, 0, 1878
4,0,PATTERN_FINISH,0,258620
5,0,PATTERN_START,0,263620
5, 1, SUCCESS, 0, 1990
5, 2, SUCCESS, 0, 1942
5, 3, SUCCESS, 0, 3711
5, 4, SUCCESS, 0, 1506
5, 5, SUCCESS, 0, 1988
5, 6, SUCCESS, 0, 1649
5,0,PATTERN_FINISH,0,276802
6,0,PATTERN_START,0,281802
6, 1, SUCCESS, 0, 2100
6, 2, SUCCESS, 0, 1505
6, 3, SUCCESS, 0, 1480
6, 4, SUCCESS, 0, 2187
6, 5, SUCCESS, 0, 3947
6, 6, SUCCESS, 0, 2896
6,0,PATTERN_FINISH,0,296312
0,0,TASK_FINISH,0,296312

