Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203096,1,OK,52.7148996,13.7813344,51.4104007,36.3012916,30.980,-13.428,-220.763,0.0390221,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203096,1,OK,52.9087555,12.2791401,51.8876213,14.9363672,24.278,-11.831,-221.467,0.0315295,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203096,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203096,1,OK,55.5438348,-15.5892523,54.0284369,-55.7125273,-43.260,-19.662,-218.951,0.0272114,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203112,1,OK,52.7042579,13.7705551,51.4013570,36.2906933,31.036,-13.471,-220.805,0.0397290,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203112,1,OK,52.9087612,12.2640119,51.8902084,14.9279878,24.332,-11.840,-221.458,0.0312979,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203112,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203112,1,OK,55.5184398,-15.5889534,54.0016354,-55.7364345,-43.366,-19.590,-219.019,0.0242986,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203128,1,OK,52.7049078,13.7597299,51.4041549,36.2415637,31.095,-13.459,-220.783,0.0416377,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203128,1,OK,52.8761654,12.2412507,51.8602726,14.8495360,24.276,-11.818,-221.360,0.0352851,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203128,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203128,1,OK,55.5028958,-15.5674327,53.9895540,-55.7840315,-43.440,-19.502,-219.013,0.0267701,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203136,1,OK,52.6948001,13.7498520,51.3954933,36.2263906,31.127,-13.457,-220.765,0.0416939,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203136,1,OK,52.8448526,12.2423818,51.8275969,14.8029094,24.300,-11.830,-221.354,0.0329316,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203136,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203136,1,OK,55.4916315,-15.5193891,53.9873552,-55.6886088,-43.521,-19.388,-218.998,0.0468564,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203144,1,OK,52.6890149,13.7399522,51.3913647,36.2035969,31.162,-13.430,-220.718,0.0428252,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203144,1,OK,52.8290787,12.2319857,51.8130067,14.7917756,24.337,-11.810,-221.286,0.0343268,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203144,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203144,1,OK,55.5266124,-15.4480131,54.0386880,-55.6781233,-43.910,-19.036,-219.266,0.0320167,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203160,1,OK,52.6617745,13.7237562,51.3659849,36.1763754,31.205,-13.359,-220.565,0.0436736,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203160,1,OK,52.8001310,12.2155642,51.7857788,14.7840377,24.377,-11.718,-221.177,0.0362674,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203160,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203160,1,OK,55.5819968,-15.4564491,54.0955209,-55.6498627,-44.074,-19.027,-219.715,0.0249037,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203168,1,OK,52.6424405,13.7180803,51.3468362,36.1618612,31.214,-13.316,-220.507,0.0423872,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203168,1,OK,52.7766244,12.2122730,51.7619572,14.7583806,24.353,-11.654,-221.113,0.0346976,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203168,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203168,1,OK,55.6691084,-15.3935284,54.2000866,-55.4285926,-44.065,-18.915,-219.691,0.0270581,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203184,1,OK,52.5971962,13.7210108,51.2988585,36.1542868,31.213,-13.207,-220.316,0.0447216,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203184,1,OK,52.7112644,12.2266348,51.6917021,14.6190264,24.274,-11.512,-220.879,0.0344079,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203184,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203184,1,OK,55.7697506,-15.3744642,54.3101302,-55.3124337,-44.106,-18.993,-220.090,0.0260772,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203192,1,OK,52.5660573,13.7285681,51.2647500,36.1533555,31.203,-13.153,-220.229,0.0428577,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203192,1,OK,52.6751701,12.2455064,51.6510184,14.5882645,24.228,-11.410,-220.756,0.0381135,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203192,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203192,1,OK,55.6982483,-15.4300226,54.2236106,-55.4136313,-44.152,-19.099,-220.113,0.0171880,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203208,1,OK,52.4948947,13.7372985,51.1884593,36.1652765,31.156,-13.049,-220.065,0.0405748,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203208,1,OK,52.6109493,12.2670104,51.5806766,14.5111952,24.182,-11.296,-220.562,0.0384860,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203208,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203208,1,OK,55.5802175,-15.3802905,54.1088443,-55.6170498,-44.566,-19.430,-220.036,0.0312832,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203216,1,OK,52.4582840,13.7518733,51.1472167,36.1716101,31.139,-12.993,-219.971,0.0407664,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203216,1,OK,52.5774691,12.2598833,51.5471607,14.4932557,24.167,-11.224,-220.458,0.0386264,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203216,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203216,1,OK,55.6154838,-15.3049950,54.1610123,-55.6226972,-44.590,-19.345,-219.961,0.0336574,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203224,1,OK,52.4196321,13.7611481,51.1048683,36.1763574,31.120,-12.929,-219.876,0.0409345,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203224,1,OK,52.5459817,12.2730336,51.5122098,14.4366429,24.165,-11.133,-220.365,0.0395179,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203224,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203224,1,OK,55.6056723,-15.3155498,54.1485690,-55.6676864,-44.573,-19.385,-220.005,0.0276087,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203232,1,OK,52.3813760,13.7655918,51.0638825,36.1771492,31.106,-12.853,-219.767,0.0390989,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203232,1,OK,52.5016139,12.2530052,51.4696261,14.4387396,24.172,-11.050,-220.202,0.0464923,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203232,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203232,1,OK,55.6578625,-15.3815811,54.1905826,-55.5089671,-44.322,-19.206,-219.964,0.0285040,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203248,1,OK,52.1358548,13.7247074,50.8145826,36.1928198,31.243,-12.439,-219.119,0.0374600,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203248,1,OK,52.3437075,12.1754022,51.3191862,14.5250828,24.446,-10.728,-219.626,0.0338835,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203248,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203248,1,OK,55.6603590,-15.3870697,54.1921294,-55.5212252,-44.339,-19.279,-220.054,0.0275810,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203256,1,OK,52.0927862,13.6692108,50.7804663,36.2677752,31.202,-12.344,-219.007,0.0289389,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203256,1,OK,52.3230804,12.1680065,51.2990636,14.4877680,24.468,-10.661,-219.500,0.0295823,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203256,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203256,1,OK,55.6474462,-15.3999326,54.1759369,-55.5551019,-44.328,-19.317,-220.071,0.0271350,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203272,1,OK,52.1556205,13.7221713,50.8358106,36.1985037,31.123,-12.472,-219.368,0.0492632,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203272,1,OK,52.3763775,12.2018229,51.3485168,14.4469630,24.275,-10.815,-219.819,0.0394401,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203272,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203272,1,OK,55.6423718,-15.4129718,54.1679833,-55.5643775,-44.310,-19.366,-220.096,0.0278625,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203280,1,OK,52.1854078,13.7125637,50.8689475,36.1681525,31.166,-12.523,-219.267,0.0338925,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203280,1,OK,52.3802838,12.1791210,51.3564915,14.5047197,24.271,-10.816,-219.790,0.0348161,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203280,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203280,1,OK,55.6328207,-15.4259142,54.1553164,-55.5899627,-44.282,-19.392,-220.116,0.0289106,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203288,1,OK,52.1743611,13.7012738,50.8596082,36.1640058,31.197,-12.500,-219.234,0.0342391,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203288,1,OK,52.3971971,12.1639756,51.3766486,14.5221772,24.310,-10.817,-219.786,0.0347535,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203288,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203288,1,OK,55.6414399,-15.4415369,54.1613062,-55.5752148,-44.225,-19.369,-220.129,0.0289598,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203304,1,OK,52.1625628,13.6628856,50.8548487,36.1398053,31.245,-12.467,-219.196,0.0317219,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203304,1,OK,52.3812389,12.1531117,51.3619651,14.4539002,24.494,-10.753,-219.704,0.0330007,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203304,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203304,1,OK,55.6436879,-15.4750988,54.1569776,-55.5477693,-44.116,-19.330,-220.132,0.0262932,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203312,1,OK,52.1648368,13.6520930,50.8593662,36.1367733,31.275,-12.475,-219.223,0.0313603,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11203312,1,OK,52.3810059,12.1439389,51.3633019,14.4491217,24.521,-10.759,-219.721,0.0322126,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203312,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11203312,1,OK,55.6431468,-15.4783130,54.1557629,-55.5398814,-44.067,-19.297,-220.120,0.0254643,0
