Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,17150
1,0,PATTERN_START,0,17150
1, 1, SUCCESS, 0, 3328
1, 2, SUCCESS, 0, 2549
1, 3, SUCCESS, 0, 2843
1, 4, SUCCESS, 0, 3883
1, 5, SUCCESS, 0, 3731
1, 6, SUCCESS, 0, 3458
1,0,PATTERN_FINISH,0,37338
2,0,PATTERN_START,0,42339
2, 1, SUCCESS, 0, 3448
2, 2, SUCCESS, 0, 2501
2, 3, SUCCESS, 0, 3122
2, 4, SUCCESS, 0, 1745
2, 5, SUCCESS, 0, 3091
2, 6, SUCCESS, 0, 4030
2,0,PATTERN_FINISH,0,60670
3,0,PATTERN_START,0,65671
3, 1, SUCCESS, 0, 3058
3, 2, SUCCESS, 0, 2674
3, 3, SUCCESS, 0, 1607
3, 4, SUCCESS, 0, 2759
3, 5, SUCCESS, 0, 2392
3, 6, SUCCESS, 0, 1575
3,0,PATTERN_FINISH,0,80131
4,0,PATTERN_START,0,129643
4, 1, SUCCESS, 0, 2367
4, 2, SUCCESS, 0, 2813
4, 3, SUCCESS, 0, 2559
4, 4, SUCCESS, 0, 2910
4, 5, SUCCESS, 0, 2232
4, 6, SUCCESS, 0, 1922
4,0,PATTERN_FINISH,0,144839
5,0,PATTERN_START,0,149840
5, 1, SUCCESS, 0, 2947
5, 2, SUCCESS, 0, 2815
5, 3, SUCCESS, 0, 2879
5, 4, SUCCESS, 0, 3344
5, 5, SUCCESS, 0, 2584
5, 6, SUCCESS, 0, 2463
5,0,PATTERN_FINISH,0,167266
6,0,PATTERN_START,0,172266
6, 1, SUCCESS, 0, 3222
6, 2, SUCCESS, 0, 2683
6, 3, SUCCESS, 0, 2762
6, 4, SUCCESS, 0, 1757
6, 5, SUCCESS, 0, 3231
6, 6, SUCCESS, 0, 3635
6,0,PATTERN_FINISH,0,189949
0,0,TASK_FINISH,0,189949

