Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11564968,1,OK,41.0430613,3.4156655,40.9258065,-23.1093300,53.015,-0.071,-193.267,0.0451870,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11564968,1,OK,42.5005486,3.8627900,42.3579870,-49.1502340,54.257,5.416,-188.792,0.0369996,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11564968,1,OK,92.8172930,-0.1381398,-92.8173012,-5.6200143,51.800,-34.716,-168.966,0.0338579,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11564976,1,OK,41.0513355,3.4076455,40.9346663,-23.0744867,52.998,-0.126,-193.246,0.0456200,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11564976,1,OK,42.5030400,3.8514776,42.3613273,-49.1329936,54.232,5.351,-188.765,0.0365073,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11564976,1,OK,92.8224639,-0.1394740,-92.8224722,-5.6303162,51.804,-34.715,-168.967,0.0342501,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11564984,1,OK,41.0649152,3.4062042,40.9484008,-23.0490812,52.978,-0.196,-193.232,0.0458468,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11564984,1,OK,42.5178573,3.8444665,42.3767352,-49.1036074,54.202,5.282,-188.756,0.0367611,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11564984,1,OK,92.8271352,-0.1389840,-92.8271435,-5.6396533,51.800,-34.711,-168.971,0.0336043,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11564992,1,OK,41.0778003,3.4074335,40.9612547,-23.0084981,52.960,-0.274,-193.233,0.0456935,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11564992,1,OK,42.5255829,3.8428932,42.3846149,-49.0678121,54.173,5.196,-188.753,0.0357823,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11564992,1,OK,92.8321570,-0.1402344,-92.8321654,-5.6496703,51.801,-34.710,-168.973,0.0335417,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565000,1,OK,41.0895987,3.4007033,40.9735626,-22.9732217,52.934,-0.347,-193.225,0.0464485,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565000,1,OK,42.5353212,3.8326100,42.3951571,-49.0331112,54.142,5.117,-188.744,0.0360720,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11565000,1,OK,92.8371468,-0.1399305,-92.8371552,-5.6596274,51.799,-34.712,-168.971,0.0335696,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565008,1,OK,41.1121288,3.4016393,40.9961209,-22.9390902,52.913,-0.431,-193.219,0.0465855,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565008,1,OK,42.5496546,3.8227146,42.4102858,-48.9923509,54.103,5.025,-188.725,0.0357813,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11565008,1,OK,92.8432463,-0.1399659,-92.8432548,-5.6717954,51.796,-34.708,-168.968,0.0339077,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565016,1,OK,41.1291899,3.4036273,41.0131160,-22.9091287,52.887,-0.541,-193.215,0.0462764,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565016,1,OK,42.5627135,3.8175133,42.4237886,-48.9719972,54.061,4.912,-188.699,0.0351961,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11565016,1,OK,92.8524207,-0.1412819,-92.8524294,-5.6901094,51.798,-34.709,-168.978,0.0334919,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565024,1,OK,41.1436450,3.4087258,41.0272816,-22.8670373,52.853,-0.678,-193.204,0.0464444,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565024,1,OK,42.5968544,3.8741183,42.4539370,-48.7570432,53.903,4.643,-188.480,0.0458402,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11565024,1,OK,92.8623348,-0.1423740,-92.8623436,-5.7098822,51.796,-34.699,-168.977,0.0334320,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565032,1,OK,41.2103579,3.4570635,41.0909434,-22.6128445,52.608,-0.910,-193.243,0.0752612,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565032,1,OK,42.6090783,3.9327261,42.4618526,-48.5988603,53.860,4.443,-188.473,0.0525829,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11565032,1,OK,92.8729974,-0.1417262,-92.8730062,-5.7311470,51.799,-34.688,-168.981,0.0328307,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565040,1,OK,41.2197589,3.4777192,41.0989493,-22.5986519,52.530,-1.152,-193.186,0.0855514,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11565040,1,OK,42.6012744,3.9679273,42.4513512,-48.7486726,53.579,3.382,-188.674,0.0312744,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,11565040,1,OK,92.8862907,-0.1424022,-92.8862996,-5.7576474,51.798,-34.675,-168.986,0.0331009,0
