Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401840,1,OK,43.6769921,4.1550377,43.5186330,33.8750279,60.095,-11.833,-189.626,0.0441248,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401840,1,OK,44.2604025,2.9204455,44.1838909,7.6432513,53.416,-9.681,-188.424,0.0267279,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401840,1,OK,44.8347736,-5.4463096,44.5728372,8.3450322,-71.922,-17.616,-183.975,0.0349998,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401840,1,OK,46.4922155,-8.9171848,45.8231030,-79.1278471,-64.001,-16.016,-183.829,0.0287859,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401848,1,OK,43.6841392,4.1533539,43.5259485,33.8604738,60.099,-11.838,-189.632,0.0439218,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401848,1,OK,44.2668712,2.9148644,44.1906696,7.6355840,53.417,-9.688,-188.419,0.0266786,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401848,1,OK,44.8310896,-5.4460793,44.5691416,8.3659996,-71.944,-17.616,-183.979,0.0349112,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401848,1,OK,46.4877159,-8.9186203,45.8182781,-79.1508140,-64.016,-16.011,-183.826,0.0292044,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401856,1,OK,43.6878373,4.1448670,43.5303152,33.8479781,60.099,-11.849,-189.638,0.0435440,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401856,1,OK,44.2779751,2.9128251,44.2019098,7.6373379,53.424,-9.690,-188.417,0.0265028,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401856,1,OK,44.8304037,-5.4419802,44.5688460,8.3913695,-71.962,-17.616,-183.985,0.0353571,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401856,1,OK,46.4832916,-8.9178807,45.8138619,-79.1422486,-64.035,-16.007,-183.833,0.0295374,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401864,1,OK,43.6957861,4.1412348,43.5385847,33.8393096,60.109,-11.859,-189.642,0.0428018,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401864,1,OK,44.2824766,2.9056965,44.2067957,7.6467231,53.427,-9.704,-188.412,0.0267711,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401864,1,OK,44.8215479,-5.4395246,44.5601465,8.3470284,-71.970,-17.618,-183.986,0.0349998,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401864,1,OK,46.4765685,-8.9174952,45.8070386,-79.1443836,-64.050,-16.011,-183.834,0.0289166,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401872,1,OK,43.7025708,4.1422087,43.5453326,33.8438196,60.121,-11.881,-189.654,0.0427288,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401872,1,OK,44.2924700,2.9036074,44.2169244,7.6532319,53.439,-9.722,-188.408,0.0269719,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401872,1,OK,44.8232432,-5.4409687,44.5617176,8.3669092,-71.984,-17.618,-183.990,0.0349916,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401872,1,OK,46.4781490,-8.9152856,45.8089934,-79.1445023,-64.058,-16.007,-183.837,0.0291224,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401880,1,OK,43.7118909,4.1399873,43.5548732,33.8430938,60.132,-11.898,-189.654,0.0427098,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401880,1,OK,44.3054542,2.8998032,44.2301410,7.6656985,53.446,-9.729,-188.402,0.0271082,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401880,1,OK,44.8257587,-5.4392505,44.5644224,8.3474035,-71.987,-17.611,-183.999,0.0351953,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401880,1,OK,46.4780546,-8.9157381,45.8088278,-79.1425029,-64.058,-16.007,-183.835,0.0294021,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401888,1,OK,43.7196619,4.1363083,43.5629668,33.8481712,60.145,-11.922,-189.659,0.0431153,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401888,1,OK,44.3168086,2.8932065,44.2418681,7.6703583,53.453,-9.747,-188.401,0.0271928,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401888,1,OK,44.8345869,-5.4363791,44.5736089,8.3433167,-71.985,-17.602,-183.994,0.0354192,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401888,1,OK,46.4836918,-8.9163282,45.8145084,-79.1370735,-64.058,-16.006,-183.835,0.0294822,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401896,1,OK,43.7273462,4.1380996,43.5705571,33.8753025,60.155,-11.942,-189.652,0.0425415,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401896,1,OK,44.3310252,2.8866220,44.2564630,7.6774418,53.461,-9.762,-188.398,0.0278861,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401896,1,OK,44.8357091,-5.4344481,44.5749278,8.3362489,-71.981,-17.607,-183.988,0.0355550,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401896,1,OK,46.4864496,-8.9161148,45.8173639,-79.1393473,-64.056,-16.007,-183.832,0.0300660,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401904,1,OK,43.7355952,4.1342089,43.5791471,33.8964230,60.168,-11.962,-189.647,0.0431030,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401904,1,OK,44.3396677,2.8819214,44.2653710,7.6929551,53.472,-9.788,-188.399,0.0280254,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401904,1,OK,44.8345791,-5.4309572,44.5741244,8.3104394,-71.970,-17.605,-183.983,0.0354368,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401904,1,OK,46.4868208,-8.9154003,45.8178528,-79.1437026,-64.052,-16.010,-183.837,0.0305198,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401912,1,OK,43.7413455,4.1247882,43.5856435,33.9100053,60.176,-11.985,-189.643,0.0432714,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11401912,1,OK,44.3453591,2.8731872,44.2715275,7.7035477,53.476,-9.811,-188.397,0.0284179,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401912,1,OK,44.8312058,-5.4332877,44.5704954,8.2655135,-71.953,-17.607,-183.988,0.0348976,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11401912,1,OK,46.4925983,-8.9177188,45.8234135,-79.1458652,-64.034,-16.005,-183.843,0.0316485,0
