Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042528,1,OK,64.2082132,20.2722673,62.3652533,-32.6026609,34.848,62.575,-302.432,0.0263229,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042528,1,OK,63.9150311,20.9574689,61.9103689,-44.5071114,38.153,64.830,-296.149,0.0273206,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042528,1,OK,91.6199153,4.5229468,-91.6249771,-3.0742898,58.310,-35.656,-168.594,0.0484171,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042536,1,OK,64.2091567,20.2701228,62.3666902,-32.5972222,34.843,62.581,-302.449,0.0267264,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042536,1,OK,63.9164018,20.9535308,61.9126680,-44.5009650,38.145,64.833,-296.141,0.0278018,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042536,1,OK,91.6215646,4.5220582,-91.6266296,-3.0773624,58.312,-35.660,-168.595,0.0483796,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042544,1,OK,64.2155687,20.2658944,62.3744542,-32.5885586,34.845,62.589,-302.446,0.0249517,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042544,1,OK,63.9166060,20.9460717,61.9144146,-44.5001283,38.134,64.834,-296.122,0.0280411,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042544,1,OK,91.6210001,4.5209018,-91.6260607,-3.0762764,58.310,-35.659,-168.595,0.0483155,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042552,1,OK,64.2174394,20.2623641,62.3771628,-32.5817713,34.842,62.594,-302.416,0.0248558,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042552,1,OK,63.9148179,20.9550966,61.9106213,-44.5014401,38.143,64.818,-296.119,0.0282105,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042552,1,OK,91.6190685,4.5228541,-91.6241274,-3.0725914,58.311,-35.657,-168.600,0.0482338,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042560,1,OK,64.2169523,20.2691298,62.3753278,-32.5723312,34.840,62.590,-302.428,0.0250188,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042560,1,OK,63.9170163,20.9540919,61.9132233,-44.4987626,38.130,64.825,-296.115,0.0286926,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042560,1,OK,91.6224835,4.5226295,-91.6275526,-3.0791103,58.314,-35.665,-168.607,0.0476562,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042568,1,OK,64.2200170,20.2719796,62.3780974,-32.5657030,34.842,62.603,-302.453,0.0243397,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042568,1,OK,63.9227456,20.9570909,61.9188562,-44.4901896,38.128,64.844,-296.135,0.0290704,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042568,1,OK,91.6207531,4.5223076,-91.6258161,-3.0757919,58.307,-35.660,-168.606,0.0474045,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042576,1,OK,64.2159008,20.2732317,62.3733958,-32.5662412,34.829,62.600,-302.460,0.0244423,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042576,1,OK,63.9243885,20.9606293,61.9199242,-44.4911037,38.122,64.854,-296.144,0.0286280,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042576,1,OK,91.6212470,4.5231059,-91.6263133,-3.0768864,58.297,-35.665,-168.601,0.0475008,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042584,1,OK,64.2051220,20.2744143,62.3614889,-32.5837044,34.812,62.581,-302.447,0.0251862,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042584,1,OK,63.9276142,20.9669253,61.9221540,-44.4821970,38.121,64.858,-296.147,0.0288650,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042584,1,OK,91.6193233,4.5227730,-91.6243829,-3.0732601,58.292,-35.663,-168.597,0.0472834,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042592,1,OK,64.2086400,20.2766051,62.3648767,-32.5715167,34.800,62.589,-302.448,0.0244446,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042592,1,OK,63.9217765,20.9686951,61.9154276,-44.4934911,38.107,64.850,-296.141,0.0281260,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042592,1,OK,91.6202076,4.5238334,-91.6252723,-3.0749657,58.286,-35.668,-168.595,0.0477744,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042600,1,OK,64.2147400,20.2762194,62.3715605,-32.5577588,34.798,62.604,-302.467,0.0231672,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4042600,1,OK,63.9230452,20.9672716,61.9171018,-44.4988851,38.107,64.861,-296.158,0.0282250,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4042600,1,OK,91.6185935,4.5237863,-91.6236531,-3.0718813,58.283,-35.669,-168.591,0.0478611,0
