Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491008,1,OK,58.4220646,11.5403276,57.6925340,-8.3788845,39.593,11.473,-267.896,0.0346051,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491008,1,OK,59.9313918,11.4088662,59.2604445,-26.1008168,38.398,15.700,-261.994,0.0205755,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491008,1,OK,60.7193006,-12.0385937,59.9942502,48.2756306,-52.938,-21.684,-236.188,0.0339448,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491008,1,OK,57.1411469,-12.9100009,56.1761125,-17.6847293,-55.602,-17.871,-229.555,0.0172048,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491016,1,OK,58.4210450,11.5430610,57.6911320,-8.3830307,39.597,11.470,-267.909,0.0346401,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491016,1,OK,59.9309884,11.4082769,59.2601010,-26.1049694,38.399,15.699,-261.996,0.0206431,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491016,1,OK,60.7158352,-12.0424169,59.9902103,48.2772798,-52.947,-21.690,-236.178,0.0344376,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491016,1,OK,57.1398863,-12.9072765,56.1752232,-17.6630643,-55.602,-17.872,-229.542,0.0171931,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491024,1,OK,58.4186603,11.5455017,57.6883634,-8.3827407,39.602,11.468,-267.911,0.0343274,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491024,1,OK,59.9290304,11.4087296,59.2580354,-26.1117920,38.398,15.698,-262.000,0.0203093,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491024,1,OK,60.7174074,-12.0384305,59.9923206,48.2568507,-52.945,-21.687,-236.179,0.0359560,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491024,1,OK,57.1403676,-12.9045000,56.1761488,-17.6819541,-55.603,-17.870,-229.541,0.0172786,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491032,1,OK,58.4205365,11.5445993,57.6904102,-8.3803881,39.599,11.475,-267.910,0.0338767,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491032,1,OK,59.9245631,11.4076999,59.2535702,-26.1139650,38.393,15.690,-261.992,0.0202483,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491032,1,OK,60.7257330,-12.0325442,60.0016194,48.2408736,-52.933,-21.663,-236.176,0.0366336,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491032,1,OK,57.1420304,-12.9034307,56.1780378,-17.7002931,-55.603,-17.863,-229.544,0.0180463,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491040,1,OK,58.4184164,11.5453564,57.6881313,-8.3739192,39.596,11.471,-267.905,0.0337739,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491040,1,OK,59.9221675,11.4116852,59.2506310,-26.1179212,38.398,15.680,-261.984,0.0196006,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491040,1,OK,60.7338151,-12.0342182,60.0097368,48.2264480,-52.933,-21.649,-236.180,0.0357163,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491040,1,OK,57.1404918,-12.9062401,56.1760105,-17.7064495,-55.602,-17.868,-229.534,0.0167472,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491048,1,OK,58.4176103,11.5466885,57.6871299,-8.3791293,39.597,11.464,-267.927,0.0334429,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491048,1,OK,59.9239672,11.4090385,59.2527973,-26.1074682,38.397,15.682,-261.981,0.0206763,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491048,1,OK,60.7330512,-12.0369351,60.0086157,48.2291668,-52.933,-21.651,-236.182,0.0358115,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491048,1,OK,57.1475225,-12.9044622,56.1835766,-17.7273140,-55.594,-17.851,-229.538,0.0163065,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491056,1,OK,58.4129654,11.5435125,57.6827616,-8.3859791,39.590,11.459,-267.930,0.0330858,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491056,1,OK,59.9237998,11.4114408,59.2523369,-26.1074078,38.399,15.682,-261.985,0.0200586,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491056,1,OK,60.7368639,-12.0386659,60.0123293,48.2338950,-52.936,-21.644,-236.184,0.0353670,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491056,1,OK,57.1440754,-12.9052238,56.1798839,-17.7335884,-55.594,-17.856,-229.535,0.0161494,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491064,1,OK,58.4165363,11.5457241,57.6861495,-8.3890473,39.595,11.469,-267.918,0.0329672,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491064,1,OK,59.9275889,11.4077769,59.2566690,-26.1035535,38.393,15.693,-261.964,0.0191740,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491064,1,OK,60.7383611,-12.0327852,60.0145947,48.2298058,-52.928,-21.637,-236.170,0.0352473,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491064,1,OK,57.1518817,-12.8971837,56.1892150,-17.7710520,-55.584,-17.837,-229.536,0.0172535,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491072,1,OK,58.4207683,11.5448390,57.6906178,-8.3908745,39.598,11.476,-267.926,0.0337032,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491072,1,OK,59.9313481,11.4111960,59.2601201,-26.0966054,38.398,15.698,-261.964,0.0195145,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491072,1,OK,60.7411514,-12.0336975,60.0173560,48.2126581,-52.936,-21.633,-236.176,0.0349830,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491072,1,OK,57.1552496,-12.8944289,56.1931308,-17.8020042,-55.585,-17.830,-229.538,0.0173704,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491080,1,OK,58.4212178,11.5444036,57.6911365,-8.3935767,39.599,11.476,-267.945,0.0343151,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11491080,1,OK,59.9312423,11.4123349,59.2598747,-26.0922460,38.402,15.699,-261.971,0.0201443,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491080,1,OK,60.7449362,-12.0354510,60.0210382,48.2118290,-52.940,-21.632,-236.185,0.0339590,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11491080,1,OK,57.1550178,-12.8955779,56.1927142,-17.8051116,-55.589,-17.830,-229.536,0.0173364,0
