Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,116598
1,0,PATTERN_START,0,116599
1, 1, SUCCESS, 0, 2335
1, 2, SUCCESS, 0, 3284
1, 3, SUCCESS, 0, 1920
1, 4, SUCCESS, 0, 1391
1, 5, SUCCESS, 0, 4692
1, 6, SUCCESS, 0, 2542
1,0,PATTERN_FINISH,0,133156
2,0,PATTERN_START,0,138157
2, 1, SUCCESS, 0, 1786
2, 2, SUCCESS, 0, 2388
2, 3, SUCCESS, 0, 1763
2, 4, SUCCESS, 0, 1255
2, 5, SUCCESS, 0, 2604
2, 6, SUCCESS, 0, 2165
2,0,PATTERN_FINISH,0,150512
3,0,PATTERN_START,0,155512
3, 1, SUCCESS, 0, 1930
3, 2, SUCCESS, 0, 1601
3, 3, SUCCESS, 0, 2006
3, 4, SUCCESS, 0, 1698
3, 5, SUCCESS, 0, 2408
3, 6, SUCCESS, 0, 1690
3,0,PATTERN_FINISH,0,167239
4,0,PATTERN_START,0,239415
4, 1, SUCCESS, 0, 1231
4, 2, ERROR, 1, 179
4, 2, SUCCESS, 0, 3227
4, 3, SUCCESS, 0, 2083
4, 4, SUCCESS, 0, 882
4, 5, SUCCESS, 0, 2192
4, 6, SUCCESS, 0, 1684
4,0,PATTERN_FINISH,0,251109
5,0,PATTERN_START,0,256109
5, 1, SUCCESS, 0, 3585
5, 2, SUCCESS, 0, 4945
5, 3, SUCCESS, 0, 3101
5, 4, SUCCESS, 0, 1882
5, 5, ERROR, 1, 173
5, 5, SUCCESS, 0, 2529
5, 6, SUCCESS, 0, 1970
5,0,PATTERN_FINISH,0,274518
6,0,PATTERN_START,0,279518
6, 1, SUCCESS, 0, 3874
6, 2, SUCCESS, 0, 1951
6, 3, SUCCESS, 0, 1871
6, 4, ERROR, 1, 638
6, 4, ERROR, 2, 641
6, 4, ERROR, 3, 647
6, 4, ERROR, 4, 649
6, 4, ERROR, 5, 652
6, 4, ERROR, 6, 653
6, 4, ERROR, 7, 661
6, 4, ERROR, 8, 666
6, 4, ERROR, 9, 673
6, 4, ERROR, 10, 687
6, 4, ERROR, 11, 775
6, 4, ERROR, 12, 776
6, 4, ERROR, 13, 776
6, 4, ERROR, 14, 777
6, 4, ERROR, 15, 778
6, 4, ERROR, 16, 785
6, 4, ERROR, 17, 786
6, 4, ERROR, 18, 788
6, 4, ERROR, 19, 789
6, 4, ERROR, 20, 795
6, 4, ERROR, 21, 796
6, 4, ERROR, 22, 799
6, 4, ERROR, 23, 799
6, 4, ERROR, 24, 802
6, 4, ERROR, 25, 804
6, 4, ERROR, 26, 805
6, 4, ERROR, 27, 806
6, 4, ERROR, 28, 808
6, 4, ERROR, 29, 809
6, 4, ERROR, 30, 811
6, 4, ERROR, 31, 811
6, 4, ERROR, 32, 812
6, 4, ERROR, 33, 814
6, 4, ERROR, 34, 816
6, 4, ERROR, 35, 819
6, 4, ERROR, 36, 822
6, 4, ERROR, 37, 824
6, 4, ERROR, 38, 829
6, 4, ERROR, 39, 834
6, 4, ERROR, 40, 837
6, 4, ERROR, 41, 850
6, 4, ERROR, 42, 851
6, 4, ERROR, 43, 854
6, 4, ERROR, 44, 867
6, 4, ERROR, 45, 870
6, 4, ERROR, 46, 872
6, 4, ERROR, 47, 884
6, 4, ERROR, 48, 1160
6, 4, ERROR, 49, 1200
6, 4, ERROR, 50, 1210
6, 4, ERROR, 51, 1212
6, 4, ERROR, 52, 1217
6, 4, ERROR, 53, 1223
6, 4, ERROR, 54, 1226
6, 4, ERROR, 55, 1227
6, 4, ERROR, 56, 1229
6, 4, ERROR, 57, 1229
6, 4, ERROR, 58, 1233
6, 4, ERROR, 59, 1238
6, 4, ERROR, 60, 1242
6, 4, ERROR, 61, 1243
6, 4, ERROR, 62, 1249
6, 4, SUCCESS, 0, 2489
6, 5, SUCCESS, 0, 2234
6, 6, SUCCESS, 0, 2354
6,0,PATTERN_FINISH,0,294685
0,0,TASK_FINISH,0,294686

