Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610960,1,OK,56.0432363,16.0577783,54.4618114,5.4689671,26.579,4.827,-250.434,0.0567603,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610960,1,OK,57.3955781,15.5769732,55.9869600,-13.7984572,22.865,9.350,-246.228,0.0426054,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10610960,1,OK,92.1275108,-0.2407689,-92.1275296,4.2368742,57.158,-35.916,-168.348,0.0398850,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610968,1,OK,56.4467551,15.7829984,54.9447555,5.5656725,26.866,4.423,-251.108,0.0539797,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610968,1,OK,57.7977266,15.3758350,56.4480951,-13.5201671,23.212,8.922,-246.938,0.0337413,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10610968,1,OK,92.1252714,-0.2412045,-92.1252902,4.2324081,57.154,-35.909,-168.342,0.0397417,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610976,1,OK,56.4957043,15.7353984,55.0059441,5.5552833,27.449,3.611,-252.100,0.0428642,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610976,1,OK,57.8697234,15.2454028,56.5475096,-13.5804450,23.674,8.194,-247.713,0.0312188,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10610976,1,OK,92.1245237,-0.2401940,-92.1245424,4.2309389,57.158,-35.905,-168.349,0.0400126,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610984,1,OK,56.4564995,15.8339508,54.9449443,5.2494037,26.677,4.046,-251.494,0.0500730,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610984,1,OK,57.8334264,15.3693868,56.4868614,-13.8799929,22.972,8.638,-247.147,0.0329771,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10610984,1,OK,92.1248199,-0.2396032,-92.1248385,4.2315243,57.157,-35.910,-168.359,0.0402757,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610992,1,OK,56.4312536,16.0974981,54.8652171,5.1856528,25.903,4.406,-251.177,0.0489821,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10610992,1,OK,57.7960484,15.6567220,56.3945561,-13.8742258,22.187,8.998,-246.917,0.0340747,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10610992,1,OK,92.1239975,-0.2401196,-92.1240162,4.2298514,57.160,-35.913,-168.361,0.0404123,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611000,1,OK,56.4378927,16.3484732,54.8208331,5.2201712,24.962,4.764,-251.061,0.0480366,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611000,1,OK,57.6295991,16.0268999,56.1485541,-13.8293309,21.230,8.836,-247.431,0.0382844,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10611000,1,OK,92.1228449,-0.2390618,-92.1228634,4.2275391,57.160,-35.911,-168.359,0.0400011,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611008,1,OK,56.3325114,16.5905266,54.6581641,5.2802195,24.312,5.212,-250.780,0.0542219,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611008,1,OK,57.6263352,16.1639158,56.1185654,-13.9341260,20.603,9.652,-246.584,0.0315911,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10611008,1,OK,92.1241240,-0.2395075,-92.1241426,4.2300927,57.157,-35.915,-168.362,0.0398757,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611016,1,OK,56.2892657,16.7251232,54.5834998,5.2240234,23.835,5.444,-250.621,0.0564769,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611016,1,OK,57.6218533,16.2669300,56.0936898,-14.0043509,20.069,9.997,-246.389,0.0316946,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10611016,1,OK,92.1246081,-0.2400645,-92.1246267,4.2310464,57.157,-35.916,-168.365,0.0395775,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611024,1,OK,56.3580132,16.8697401,54.6257907,4.9799488,23.369,5.366,-250.860,0.0531718,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611024,1,OK,57.6895264,16.4407700,56.1312042,-14.1121089,19.729,9.930,-246.662,0.0332776,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10611024,1,OK,92.1238939,-0.2407700,-92.1239127,4.2296185,57.157,-35.913,-168.356,0.0398499,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611032,1,OK,56.5559068,16.9522179,54.8192227,4.6909379,23.213,5.178,-251.496,0.0519865,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10611032,1,OK,57.8664917,16.5279884,56.3017840,-14.2947701,19.576,9.712,-247.249,0.0293757,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,10611032,1,OK,92.1241898,-0.2398551,-92.1242084,4.2301874,57.156,-35.913,-168.352,0.0395444,0
