Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716744,1,OK,44.4591698,1.9623685,44.4248968,-6.3746267,59.474,-3.300,-202.900,0.0440015,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716744,1,OK,46.4150398,2.1116986,46.3779691,-29.4936205,59.067,1.956,-198.102,0.0289310,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716744,1,OK,51.6225753,-8.1723848,51.1555425,54.7370348,-64.384,-16.452,-197.970,0.0519069,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716744,1,OK,47.9406538,-8.2138431,47.4025491,-32.4341980,-65.819,-11.095,-192.166,0.0217994,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716752,1,OK,44.4862843,1.9667308,44.4518912,-6.4321967,59.225,-3.395,-202.830,0.0493433,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716752,1,OK,46.4407328,2.1227861,46.4033052,-29.5019234,58.828,1.870,-197.999,0.0335345,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716752,1,OK,51.4844657,-8.4337453,50.9842124,54.9526148,-63.587,-16.081,-197.593,0.0525018,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716752,1,OK,47.8073970,-8.4600578,47.2333961,-32.6996808,-64.927,-10.694,-191.683,0.0207295,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716760,1,OK,44.4722094,2.0235271,44.4357815,-6.5558146,59.068,-3.639,-202.818,0.0478617,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716760,1,OK,46.4782863,2.1876522,46.4385863,-29.3555563,58.680,1.681,-197.984,0.0404288,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716760,1,OK,51.3291236,-8.6254075,50.8026288,54.9628784,-62.829,-15.777,-197.077,0.0515639,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716760,1,OK,47.6770667,-8.6629234,47.0720178,-32.7255358,-64.104,-10.358,-191.204,0.0286193,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716768,1,OK,44.5517180,1.9927144,44.5164899,-6.5779681,58.871,-3.769,-202.688,0.0482528,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716768,1,OK,46.4895228,2.2375996,46.4480038,-29.3899627,58.576,1.448,-197.871,0.0448999,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716768,1,OK,51.2589374,-8.7890928,50.7106062,55.0192853,-62.140,-15.546,-196.697,0.0522679,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716768,1,OK,47.6034840,-8.8345844,46.9722092,-32.8070039,-63.401,-10.132,-190.839,0.0290559,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716776,1,OK,44.6126766,2.0488873,44.5755120,-6.6045153,58.761,-3.907,-202.571,0.0465227,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716776,1,OK,46.5292787,2.1714338,46.4902355,-29.5271100,58.330,1.321,-197.641,0.0347387,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716776,1,OK,51.1568988,-8.9298583,50.5885241,55.0776354,-61.542,-15.488,-196.369,0.0474476,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716776,1,OK,47.5076778,-8.9690776,46.8545208,-33.2916429,-62.744,-10.022,-190.483,0.0229683,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716784,1,OK,44.5770825,2.1423649,44.5363956,-6.6071710,58.681,-4.151,-202.514,0.0429273,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716784,1,OK,46.5404650,2.2261554,46.4994432,-29.5013491,58.191,1.123,-197.635,0.0325733,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716784,1,OK,51.0781353,-9.0105089,50.4976530,55.0357345,-60.958,-15.338,-195.809,0.0569613,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716784,1,OK,47.3914225,-9.1064502,46.7149987,-33.1945117,-62.225,-9.963,-190.008,0.0237659,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716792,1,OK,44.5937880,2.1435602,44.5530793,-6.5592106,58.398,-4.330,-202.398,0.0464374,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716792,1,OK,46.5482361,2.2906011,46.5048141,-29.4004945,57.978,0.910,-197.502,0.0364286,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716792,1,OK,50.9386113,-9.1080268,50.3423207,55.1928819,-60.515,-15.413,-195.301,0.0510029,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716792,1,OK,47.3145599,-9.2110537,46.6203599,-33.1298870,-61.764,-9.939,-189.449,0.0203990,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716800,1,OK,44.6215219,2.2535575,44.5765672,-6.6278026,58.314,-4.635,-202.387,0.0375219,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716800,1,OK,46.5715341,2.3396688,46.5262668,-29.4711287,57.845,0.627,-197.393,0.0365102,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716800,1,OK,50.8154892,-9.1716490,50.2080280,55.3042109,-60.263,-15.507,-194.889,0.0521369,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716800,1,OK,47.2611795,-9.2677979,46.5569251,-33.2782781,-61.485,-9.877,-189.011,0.0246547,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716808,1,OK,44.7080766,2.2654167,44.6627841,-6.6664995,58.230,-4.876,-202.262,0.0381530,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716808,1,OK,46.6407988,2.3557518,46.5950175,-29.4814089,57.747,0.350,-197.276,0.0301363,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716808,1,OK,50.7230401,-9.1373728,50.1181730,55.3658511,-60.102,-15.407,-194.294,0.0484486,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716808,1,OK,47.1092265,-9.2667216,46.4013393,-33.5651938,-61.353,-9.876,-188.528,0.0212131,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716816,1,OK,44.7378900,2.3205933,44.6904114,-6.6825317,58.149,-5.355,-202.081,0.0400088,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10716816,1,OK,46.6975820,2.4764868,46.6470823,-29.4513599,57.801,-0.115,-197.194,0.0300764,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716816,1,OK,50.6811039,-9.1288872,50.0764667,55.4636551,-60.183,-15.358,-193.872,0.0492493,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10716816,1,OK,47.0302308,-9.2371318,46.3249633,-33.5477055,-61.416,-9.873,-188.068,0.0272773,0
