Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77280,1,OK,54.9829193,3.5459682,54.9058790,-22.4106994,67.422,107.079,-321.138,0.0191576,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77280,1,OK,54.4903094,6.7293288,54.2061984,-39.9402254,64.824,111.770,-315.957,0.0444338,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77280,1,OK,81.9778269,73.3110041,60.9246124,-12.5186279,46.362,4.327,-160.828,0.0302251,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77320,1,OK,55.0283353,3.6150270,54.9483937,-22.5686376,67.366,106.943,-321.135,0.0339019,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77320,1,OK,54.4824040,6.7192741,54.1990649,-40.0885008,64.606,111.562,-315.791,0.0335697,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77320,1,OK,81.9203989,73.2933230,60.7308660,-12.6070929,46.362,4.326,-160.866,0.0298191,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77328,1,OK,54.9792997,3.6882122,54.8959293,-22.5437606,67.367,106.953,-321.108,0.0315319,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77328,1,OK,54.4445093,6.8077072,54.1531962,-40.1046550,64.622,111.589,-315.804,0.0348066,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77328,1,OK,81.9088220,73.2901328,60.6911162,-12.6253298,46.365,4.323,-160.872,0.0300583,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77336,1,OK,54.9736916,3.7608060,54.8869812,-22.4965372,67.411,106.972,-321.137,0.0296099,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77336,1,OK,54.4501734,6.8986142,54.1510285,-40.0324796,64.658,111.616,-315.838,0.0357897,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77336,1,OK,81.8998564,73.2876262,60.6604005,-12.6395695,46.366,4.323,-160.869,0.0304849,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77344,1,OK,54.9896865,3.8119951,54.9006469,-22.4734281,67.434,106.966,-321.190,0.0293048,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77344,1,OK,54.4774747,6.9602477,54.1732251,-40.0054416,64.691,111.628,-315.915,0.0359383,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77344,1,OK,81.8935327,73.2859361,60.6385903,-12.6490338,46.365,4.323,-160.876,0.0305622,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77352,1,OK,55.0116874,3.8474305,54.9210548,-22.4593057,67.469,106.933,-321.268,0.0321312,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77352,1,OK,54.5077504,6.9758215,54.2024692,-39.9510014,64.680,111.606,-315.941,0.0371486,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77352,1,OK,81.8870668,73.2839879,60.6167019,-12.6593228,46.362,4.323,-160.878,0.0308422,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77360,1,OK,55.0490648,3.8516724,54.9583579,-22.3701084,67.487,106.932,-321.304,0.0318719,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77360,1,OK,54.5324555,6.9860264,54.2265534,-39.8659452,64.685,111.569,-315.984,0.0371784,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77360,1,OK,81.8811841,73.2801136,60.6007317,-12.6686439,46.359,4.327,-160.875,0.0315525,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77368,1,OK,55.0777407,3.8344908,54.9879392,-22.2679156,67.505,106.928,-321.319,0.0307901,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77368,1,OK,54.5574682,6.9675802,54.2534747,-39.7775294,64.674,111.538,-315.997,0.0381722,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77368,1,OK,81.8780509,73.2784725,60.5914348,-12.6734026,46.361,4.324,-160.879,0.0318602,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77376,1,OK,55.0962820,3.8178142,55.0073231,-22.1752852,67.556,106.917,-321.360,0.0322282,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77376,1,OK,54.5769258,6.9394087,54.2756227,-39.6953440,64.689,111.502,-316.017,0.0395820,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77376,1,OK,81.8718017,73.2747669,60.5737075,-12.6827824,46.358,4.327,-160.884,0.0318494,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77384,1,OK,55.1206446,3.7715766,55.0339113,-22.1029092,67.614,106.929,-321.406,0.0343693,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,77384,1,OK,54.5870834,6.8818336,54.2909103,-39.6414128,64.699,111.488,-316.050,0.0396084,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,77384,1,OK,81.8663548,73.2725724,60.5563154,-12.6915631,46.353,4.327,-160.870,0.0316047,0
