LapReact Mini
Test Start, 120284
Pattern 1, Position 1, ERROR 1, Timestamp 1666
Pattern 1, Position 1, ERROR 2, Timestamp 1669
Pattern 1, Position 1, ERROR 3, Timestamp 1676
Pattern 1, Position 1, ERROR 4, Timestamp 1677
Pattern 1, Position 1, ERROR 5, Timestamp 1685
Pattern 1, Position 1, ERROR 6, Timestamp 1689
Pattern 1, Position 1, ERROR 7, Timestamp 1690
Pattern 1, Position 1, ERROR 8, Timestamp 1700
Pattern 1, Position 1, SUCCESS , Timestamp 5318
Pattern 1, Position 2, SUCCESS , Timestamp 3612
Pattern 1, Position 3, SUCCESS , Timestamp 4053
Pattern 1, Position 4, ERROR 9, Timestamp 550
Pattern 1, Position 4, ERROR 10, Timestamp 556
Pattern 1, Position 4, ERROR 11, Timestamp 558
Pattern 1, Position 4, ERROR 12, Timestamp 559
Pattern 1, Position 4, ERROR 13, Timestamp 567
Pattern 1, Position 4, ERROR 14, Timestamp 653
Pattern 1, Position 4, ERROR 15, Timestamp 677
Pattern 1, Position 4, ERROR 16, Timestamp 682
Pattern 1, Position 4, ERROR 17, Timestamp 697
Pattern 1, Position 4, ERROR 18, Timestamp 706
Pattern 1, Position 4, ERROR 19, Timestamp 736
Pattern 1, Position 4, ERROR 20, Timestamp 749
Pattern 1, Position 4, ERROR 21, Timestamp 750
Pattern 1, Position 4, ERROR 22, Timestamp 756
Pattern 1, Position 4, ERROR 23, Timestamp 760
Pattern 1, Position 4, ERROR 24, Timestamp 764
Pattern 1, Position 4, ERROR 25, Timestamp 776
Pattern 1, Position 4, ERROR 26, Timestamp 782
Pattern 1, Position 4, ERROR 27, Timestamp 786
Pattern 1, Position 4, ERROR 28, Timestamp 3156
Pattern 1, Position 4, ERROR 29, Timestamp 3163
Pattern 1, Position 4, ERROR 30, Timestamp 3186
Pattern 1, Position 4, ERROR 31, Timestamp 3571
Pattern 1, Position 4, ERROR 32, Timestamp 3588
Pattern 1, Position 4, ERROR 33, Timestamp 3592
Pattern 1, Position 4, ERROR 34, Timestamp 3654
Pattern 1, Position 4, ERROR 35, Timestamp 3666
Pattern 1, Position 4, ERROR 36, Timestamp 3673
Pattern 1, Position 4, ERROR 37, Timestamp 3681
Pattern 1, Position 4, ERROR 38, Timestamp 3708
Pattern 1, Position 4, ERROR 39, Timestamp 3798
Pattern 1, Position 4, ERROR 40, Timestamp 3801
Pattern 1, Position 4, ERROR 41, Timestamp 3807
Pattern 1, Position 4, ERROR 42, Timestamp 3809
Pattern 1, Position 4, ERROR 43, Timestamp 3812
Pattern 1, Position 4, ERROR 44, Timestamp 3821
Pattern 1, Position 4, SUCCESS , Timestamp 3822
Pattern 1, Position 5, ERROR 45, Timestamp 20
Pattern 1, Position 5, ERROR 46, Timestamp 21
Pattern 1, Position 5, ERROR 47, Timestamp 28
Pattern 1, Position 5, SUCCESS , Timestamp 3096
Pattern 1, Position 6, SUCCESS , Timestamp 2659
Test Start, 148243
Pattern 2, Position 1, SUCCESS , Timestamp 3905
Pattern 2, Position 2, SUCCESS , Timestamp 4240
Pattern 2, Position 3, SUCCESS , Timestamp 2877
Pattern 2, Position 4, ERROR 1, Timestamp 466
Pattern 2, Position 4, ERROR 2, Timestamp 468
Pattern 2, Position 4, SUCCESS , Timestamp 2709
Pattern 2, Position 5, SUCCESS , Timestamp 4025
Pattern 2, Position 6, SUCCESS , Timestamp 3520
Test Start, 174916
Pattern 3, Position 1, SUCCESS , Timestamp 3634
Pattern 3, Position 2, SUCCESS , Timestamp 2426
Pattern 3, Position 3, ERROR 1, Timestamp 382
Pattern 3, Position 3, SUCCESS , Timestamp 2821
Pattern 3, Position 4, SUCCESS , Timestamp 2169
Pattern 3, Position 5, SUCCESS , Timestamp 2489
Pattern 3, Position 6, ERROR 2, Timestamp 200
Pattern 3, Position 6, SUCCESS , Timestamp 2172
Test Start, 231700
Pattern 4, Position 1, ERROR 1, Timestamp 1955
Pattern 4, Position 1, ERROR 2, Timestamp 1958
Pattern 4, Position 1, ERROR 3, Timestamp 1973
Pattern 4, Position 1, ERROR 4, Timestamp 1989
Pattern 4, Position 1, ERROR 5, Timestamp 2001
Pattern 4, Position 1, ERROR 6, Timestamp 2003
Pattern 4, Position 1, ERROR 7, Timestamp 2004
Pattern 4, Position 1, ERROR 8, Timestamp 2013
Pattern 4, Position 1, ERROR 9, Timestamp 2014
Pattern 4, Position 1, ERROR 10, Timestamp 2021
Pattern 4, Position 1, ERROR 11, Timestamp 2181
Pattern 4, Position 1, ERROR 12, Timestamp 2188
Pattern 4, Position 1, ERROR 13, Timestamp 2194
Pattern 4, Position 1, ERROR 14, Timestamp 2212
Pattern 4, Position 1, ERROR 15, Timestamp 2216
Pattern 4, Position 1, ERROR 16, Timestamp 2230
Pattern 4, Position 1, ERROR 17, Timestamp 2249
Pattern 4, Position 1, ERROR 18, Timestamp 2250
Pattern 4, Position 1, ERROR 19, Timestamp 2274
Pattern 4, Position 1, ERROR 20, Timestamp 2278
Pattern 4, Position 1, ERROR 21, Timestamp 2281
Pattern 4, Position 1, ERROR 22, Timestamp 2306
Pattern 4, Position 1, ERROR 23, Timestamp 2329
Pattern 4, Position 1, ERROR 24, Timestamp 2508
Pattern 4, Position 1, ERROR 25, Timestamp 2510
Pattern 4, Position 1, ERROR 26, Timestamp 2511
Pattern 4, Position 1, SUCCESS , Timestamp 2537
