Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464760,1,OK,56.7231516,9.6696574,56.1795065,-18.4393654,33.655,-5.748,-249.477,0.0338807,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464760,1,OK,56.7928286,11.0987422,56.0750650,-38.1059075,32.149,-1.091,-243.648,0.0287493,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464760,1,OK,90.3271350,3.2737694,-90.3276698,0.6341158,58.674,-35.615,-168.655,0.0457850,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464768,1,OK,56.7237445,9.6660228,56.1805265,-18.4413568,33.652,-5.744,-249.471,0.0340544,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464768,1,OK,56.7927554,11.0996533,56.0748696,-38.1035197,32.151,-1.091,-243.653,0.0288212,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464768,1,OK,90.2276718,3.2140726,-90.2280305,0.4421133,58.570,-35.807,-168.399,0.0413985,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464776,1,OK,56.7219472,9.6670760,56.1785716,-18.4512745,33.651,-5.749,-249.485,0.0347036,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464776,1,OK,56.7906209,11.1018663,56.0723842,-38.1001865,32.156,-1.101,-243.664,0.0295220,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464776,1,OK,90.1107480,3.2461351,-90.1109260,0.2151109,58.356,-35.945,-168.345,0.0368809,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464784,1,OK,56.7237326,9.6654329,56.1805816,-18.4448249,33.658,-5.749,-249.489,0.0341317,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464784,1,OK,56.7897507,11.1047137,56.0711141,-38.0996980,32.165,-1.105,-243.653,0.0294540,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464784,1,OK,90.1062958,3.2375215,-90.1064657,0.2064658,58.359,-35.928,-168.332,0.0391704,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464792,1,OK,56.7271701,9.6665956,56.1839580,-18.4476433,33.664,-5.743,-249.480,0.0335818,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464792,1,OK,56.7895129,11.1053991,56.0707792,-38.1022788,32.174,-1.107,-243.646,0.0291816,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464792,1,OK,90.1095077,3.2522923,-90.1096843,0.2126626,58.328,-35.920,-168.284,0.0314409,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464800,1,OK,56.7285436,9.6664613,56.1853754,-18.4423353,33.668,-5.739,-249.472,0.0333273,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464800,1,OK,56.7921937,11.1075557,56.0732492,-38.0962932,32.180,-1.102,-243.655,0.0289062,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464800,1,OK,90.1334528,3.2534464,-90.1336683,0.2591228,58.339,-35.937,-168.318,0.0337646,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464808,1,OK,56.7297419,9.6680139,56.1864215,-18.4396137,33.669,-5.733,-249.459,0.0331748,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464808,1,OK,56.7929611,11.1062045,56.0742162,-38.0843109,32.178,-1.101,-243.657,0.0294852,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464808,1,OK,90.1587586,3.2691352,-90.1590174,0.3081381,58.292,-35.965,-168.256,0.0391354,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464816,1,OK,56.7260598,9.6658896,56.1829051,-18.4383557,33.656,-5.743,-249.460,0.0325559,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464816,1,OK,56.7891570,11.1059178,56.0703449,-38.0894638,32.169,-1.107,-243.652,0.0288923,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464816,1,OK,90.1605802,3.2721325,-90.1608424,0.3116266,58.369,-35.968,-168.382,0.0341318,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464824,1,OK,56.7287423,9.6663146,56.1855949,-18.4317455,33.651,-5.742,-249.455,0.0318489,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464824,1,OK,56.7908441,11.1047500,56.0722328,-38.0893082,32.162,-1.102,-243.652,0.0284694,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464824,1,OK,90.1657289,3.2806305,-90.1660009,0.3216354,58.403,-35.957,-168.369,0.0353100,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464832,1,OK,56.7299243,9.6669026,56.1867344,-18.4377737,33.654,-5.738,-249.447,0.0318296,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3464832,1,OK,56.7920871,11.1078163,56.0731052,-38.0841975,32.167,-1.098,-243.648,0.0279617,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3464832,1,OK,90.1968089,3.2757709,-90.1971310,0.3819694,58.395,-35.977,-168.389,0.0338475,0
